Question	Which activity is an example of a chemical change?	question
Answer	burning wood to produce ashes	answer
0	combustion is a kind of chemical change	gold
1	action means activity	nongold
2	combustion is a kind of activity	gold
3	wood burns	nongold
4	fire causes burning	gold
5	burning wood is used to produce heat	nongold
6	fire is a kind of chemical reaction	nongold
7	chemical reactions cause chemical change	nongold
8	a source of something emits; produces; generates; provides that something	nongold
9	An example of combustion is explosion	nongold
10	chemical change is a kind of chemical reaction	nongold
11	acid can cause chemical change	nongold
12	burning is a kind of action	nongold
13	a function is an activity	nongold
14	to combust means to catch fire	gold
15	adding is a kind of activity	nongold
16	An example of a chemical change is acid breaking down substances	nongold
17	combustion means fire converts chemical energy into light energy and heat energy	nongold
18	a kind of something is an example of that something	gold
19	a tree contains wood	nongold
20	reproducing is a kind of activity	nongold
21	a chemical reaction is a kind of process	nongold
22	combustion is a kind of exergonic reaction	nongold
23	producing is similar to causing	nongold
24	an event is a kind of action	nongold
25	to give off means to be the source of	nongold
26	chemical reactions cause new substances; different substances to form	nongold
27	fire destroys plants in an environment	nongold
28	action can cause change	nongold
29	a flame are a part of a fire	nongold
30	combustion is a kind of exothermic reaction	nongold
31	adding heat to an object sometimes causes chemical reactions	nongold
32	change is a kind of process	nongold
33	wood is a strong material	nongold
34	generate means produce	nongold
35	emit means produce	nongold
36	wood is a kind of natural material	nongold
37	wood is a kind of object	nongold
38	a change is a kind of event	nongold
39	fire gives off light; heat; smoke	nongold
40	dry wood easily burns	nongold
41	chemicals means substances	nongold
42	creating is a kind of activity	nongold
43	chemical change is the opposite of physical change	nongold
44	if something causes an increase in something else then that something produces that something else	nongold
45	mixing is a kind of activity	nongold
46	combining; mixing two substances chemically causes chemical reactions	nongold
47	adding something is a kind of change	nongold
48	a chemical reaction producing a lot of gas and heat in a short time causes an explosion	nongold
49	producing is a kind of process	nongold
50	to produce means to result in	nongold
51	to produce means to provide	nongold
52	reducing is a kind of change	nongold
53	dead plants means dead plant material	nongold
54	a fire requires  oxygen to burn	nongold
55	a reaction is a kind of process	nongold
56	wood is a kind of nonmetal	nongold
57	rust forming is a kind of chemical change	nongold
58	An example of a chemical change is electrical energy breaking down a compound	nongold
59	to change means to cause a change	nongold
60	smoke is similar to dust; ash	nongold
61	to produce means to create	nongold
62	converting is similar to producing	nongold
63	a tree is a kind of matter	nongold
64	boiling is a kind of event	nongold
65	a process is a kind of event	nongold
66	to be formed by is similar to being produced by	nongold
67	producing is similar to discharging	nongold
68	heat means heat energy	nongold
69	an increase is a kind of change	nongold
70	destruction means to destroy	nongold
71	photosynthesis is a kind of chemical reaction	nongold
72	cooking causes a chemical reaction	nongold
73	burning a living thing usually causes harm to that living thing	nongold
74	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
75	combustibility means the ability of combustion	nongold
76	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
77	decomposition is a kind of process	nongold
78	polluting is a kind of activity	nongold
79	if something causes a process then that something is required for that process	nongold
80	a forest fire is a kind of event	nongold
81	a tree is a kind of plant	nongold
82	to be a source of something means to cause that something	nongold
83	material means substance	nongold
84	An example of a chemical property is how a material reacts chemically	nongold
85	sulfur dioxide is formed by the combustion of fossil fuels	nongold
86	putting out a fire stops the burning of that fire	nongold
87	if something is a raw material in a process then that something is required for that process	nongold
88	answering questions requires information	nongold
89	a motion is a kind of event; action	nongold
90	a living thing is a kind of object	nongold
91	make means produce	nongold
92	to cause an event is similar to being involved in that event	nongold
93	carbon monoxide is a kind of gas	nongold
94	gas is a kind of material	nongold
95	to be used for something means to be required by that something	nongold
96	if an object undergoes chemical change then that object will have new chemical properties	nongold
97	carbon dioxide is a kind of gas	nongold
98	producing is similar to releasing	nongold
99	if an event occurs by adding something then that event requires that something	nongold
