Question	Which system of the human body provides protection to most of the major organs?	question
Answer	skeletal system	answer
0	the skeletal system protects internal organs	gold
1	a skeletal system is a part of an animal for providing support; providing shape; providing protection	gold
2	a skeletal system is a part of an animal	gold
3	skeletal system is made of bones	gold
4	the skeleton is a part of the skeletal system	nongold
5	the skeletal system is a kind of body system	nongold
6	the muscular system is a kind of body; organ system	nongold
7	the skeletal system gives structure to the body in animals	nongold
8	organ system means body system	nongold
9	to protect means to defend	nongold
10	most means over 50% of something	nongold
11	a body system is a part of the body; an animal	nongold
12	protecting is a kind of function	nongold
13	a human is a kind of animal	gold
14	human is a kind of organism	nongold
15	an organ system is made of different parts of the body working together	nongold
16	protection means resistance to damage increases	nongold
17	an animal is a kind of organism	nongold
18	a body system is a kind of object	nongold
19	something hard; something strong can be used for protection	gold
20	protecting something means preventing harm to that something	nongold
21	system is similar to structure	nongold
22	system means a set of objects	nongold
23	a bone is a part of a body	nongold
24	to protect means to make safe	nongold
25	an animal is a kind of living thing	nongold
26	the body is a part of an organism	nongold
27	providing structure is a kind of function	nongold
28	the muscular system contains muscles	nongold
29	organs are a smaller level of organization than organ systems in living things	nongold
30	usually means most of the time	nongold
31	covering something is a kind of protection	nongold
32	damage means harm	nongold
33	a limb often contains bones	nongold
34	to provide something means to be the source of that something	nongold
35	limbs are part of an animal	nongold
36	the function of something is what that something  is used to do	nongold
37	to help; to benefit means to be of use	nongold
38	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
39	muscles push; pull bones to move the bones	nongold
40	a structure of something is synonymous with a part of that something	nongold
41	the integumentary system is a kind of body; organ system	nongold
42	muscle tissue is a kind of tissue	nongold
43	harming something has a  negative impact on; effect on that something	nongold
44	an organism is a living thing	nongold
45	life means living things	nongold
46	harm means injury	nongold
47	internal organs are a part of the body	nongold
48	a living thing is a kind of object	nongold
49	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
50	to be used for something means to be required by that something	nongold
51	helping something has a  positive impact on that something	nongold
52	providing support is a kind of function	nongold
53	to hurt means to harm	nongold
54	a bone is a part of some animals	nongold
55	all the other means the rest of	nongold
56	tissues are a smaller level of organization than organs in living things	nongold
57	being used for is similar to providing	nongold
58	requiring is similar to needing help	nongold
59	a human is a kind of mammal	nongold
60	a component of something means a part of that something	nongold
61	mostly means being the most	nongold
62	a component means a part of	nongold
63	something harmful can cause harm	nongold
64	a mechanism is a kind of system that performs a function	nongold
65	can be means able to be	nongold
66	to depend on; to rely on; to need means to require	nongold
67	an object is made of its parts	nongold
68	unit is similar to part	nongold
69	providing is a kind of function	nongold
70	a body part is a kind of object	nongold
71	provide is similar to give; make	nongold
72	shelter is a kind of place;building;structure for protection	nongold
73	death means to die	nongold
74	if something is required then that something must be provided	nongold
75	broken bones require healing	nongold
76	a function is a kind of characteristic	nongold
77	a whole is formed by its parts	nongold
78	answering questions requires information	nongold
79	to help means to aid	nongold
80	high is similar to increase	nongold
81	an event is a kind of action	nongold
82	causing is a kind of function	nongold
83	if two things perform the same function then those two things are similar	nongold
84	structure is a property of an object; a material; a substance	nongold
85	organs are made of different types of  cellular tissues	nongold
86	greatest means largest; highest; most amount of something	nongold
87	a type is synonymous with a kind	nongold
88	a structure is a kind of feature	nongold
89	a source of something emits; produces; generates; provides that something	nongold
90	helping bodily processes has a positive impact on an animal; an animal's health	nongold
91	affected means changed	nongold
92	something is used for that something's purpose	nongold
93	if something causes a process then that something is required for that process	nongold
94	anatomy studies the body structure of organisms	nongold
95	inhibitor means something that prevents something from happening	nongold
96	human is similar to individual	nongold
97	form is similar to body	nongold
98	if something contains something , then something is able to provide something	nongold
99	best means most positive	nongold
