Question	Which of the following is the major cause of tides?	question
Answer	gravitational pull of the Moon	answer
0	the gravitational pull of the Moon on Earth's oceans causes the tides	gold
1	the gravitational pull of the Sun on Earth's oceans causes the tides	nongold
2	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
3	ocean tides are a kind of phenomenon	nongold
4	the tide is when ocean levels periodically rise; fall	nongold
5	tidal means related to tides	nongold
6	spring tides occur during a new moon	nongold
7	gravity;gravitational force causes objects that have mass; substances to be pulled down; to fall on a planet	nongold
8	as gravitational pull of the moon decreases , the ocean tides will be lower	nongold
9	spring tides occur during a full moon	nongold
10	a moon is a kind of celestial object; body	nongold
11	as the gravitational pull of the moon on the Earth decreases , the size of the tides on Earth decrease	nongold
12	gravity pulls objects towards planets	nongold
13	a tide is a kind of natural event	nongold
14	pulling is a kind of motion	nongold
15	moons are large; solid; spherical	nongold
16	the Moon is Earth's moon	nongold
17	spring tide is similar to high tide	nongold
18	a pull is a kind of force	nongold
19	gravity is a kind of force	nongold
20	high tide is a stage in the tide cycle process	nongold
21	spring tide is when high tide is at its greatest distance from low tide	nongold
22	low tide is a stage in the tide cycle process	nongold
23	the moon orbits the Earth	nongold
24	a planet is a kind of celestial object; body	nongold
25	gravity causes orbits	nongold
26	a planet's  moon is smaller than that planet	nongold
27	moons orbit planets	nongold
28	a moon is located in space	nongold
29	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
30	the mass of a planet causes the pull of gravity on that planet	nongold
31	the lowest gravitational pull is during a quarter moon	nongold
32	the Moon is closer to the Earth than the Sun	nongold
33	type of moon; kind of moon means moon phase	nongold
34	the moon is the celestial object that is closest to the  Earth	nongold
35	the moon rotates on its axis	nongold
36	to be a source of something means to cause that something	nongold
37	a moon is a kind of satellite	nongold
38	the tide cycle occurs regularly twice per day	nongold
39	as mass of a planet; of a celestial body increases , the force of gravity on that planet will increase	nongold
40	to give is similar to to cause	nongold
41	extreme means very high in value	nongold
42	impact means effect	nongold
43	to cause means to make	nongold
44	the gravitational force of a planet; of a celestial object does not change the mass of an object on that planet or celestial body	nongold
45	the mass of an object causes the gravitational force exerted by that object	nongold
46	if an object escapes the gravitational pull of a planet then that object is no longer affected by the gravitational pull of that planet	nongold
47	to cause an event is similar to being involved in that event	nongold
48	as the mass of a planet; of a celestial object decreases , the surface gravity of that planet; of that celestial object weakens	nongold
49	an ocean is a kind of body of water	nongold
50	causing means influencing	nongold
51	to cause means to have an effect	nongold
52	a new moon is a kind of phase of the moon	nongold
53	to change means to cause a change	nongold
54	the moon does not contain air; water	nongold
55	an ocean contains waves	nongold
56	the new moon is when the dark half of the moon faces the Earth	nongold
57	the earth has more mass than the moon	nongold
58	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
59	to be formed by is similar to being produced by	nongold
60	if something is made by something else then that something is affected by that something else	nongold
61	to cause is similar to bring	nongold
62	as distance from an object decreases , the the pull of gravity on that object increases	nongold
63	high is similar to increase	nongold
64	the new moon is when the lighted half of the moon faces the Sun	nongold
65	creating is similar to causing	nongold
66	events occur at a specific place; at a specific time; with a specific frequency	nongold
67	low means down	nongold
68	intense means extreme	nongold
69	pull is similar to attract	nongold
70	to add means to increase	nongold
71	sea means ocean	nongold
72	due to means caused by	nongold
73	gravity accelerates an object while that object falls by pulling on it	nongold
74	revolving  around something means orbiting that something	nongold
75	the Moon has less water; air than Earth	nongold
76	affected means changed	nongold
77	to cause the formation of means to form	nongold
78	gravitational fore is a kind of non-contact force	nongold
79	determine is similar to cause	nongold
80	a cause of something is a reason for that something	nongold
81	tidal range is a measure of the vertical distance from high tide to low tide	nongold
82	pulling away is similar to separating	nongold
83	the Earth revolves around the sun	nongold
84	an animal is a kind of living thing	nongold
85	to slow; to slow down decreases speed	nongold
86	a living thing is a kind of object	nongold
87	low is similar to decrease	nongold
88	a motion is a kind of event; action	nongold
89	to happen means to occur	nongold
90	Earth is a kind of planet	nongold
91	each of the moon's phases occurs once per month	nongold
92	composed of means made of	nongold
93	causing is a kind of affecting	nongold
94	motion is when moves an object; something to a direction	nongold
95	form means kind	nongold
96	the solar system contains the moon	nongold
97	far means great in distance	nongold
98	a waning gibbous is a kind of phase of the moon	nongold
99	to cause means to result in	nongold
