Question	How hot is it on the surface of the Sun?	question
Answer	Much hotter than almost anything on Earth	answer
0	Earth is a kind of planet	nongold
1	hot means high in heat energy; temperature	nongold
2	a star is a kind of celestial object; celestial body	gold
3	a planet is a kind of celestial object; body	nongold
4	the Sun is a kind of star	gold
5	a hot; warm something is a source of heat	nongold
6	the surface of the sun is extremely hot in temperature with values as high as 20 000 000 ° C	nongold
7	if an object is hot then the surfaces of that object are hot	gold
8	a star is very hot in temperature	nongold
9	temperature is a measure of heat energy	nongold
10	warm means medium heat energy; temperature	nongold
11	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
12	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
13	heating means adding heat	nongold
14	heat means heat energy	nongold
15	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
16	heat means temperature increases	nongold
17	an increase is the opposite of a decrease	nongold
18	high is similar to increase	nongold
19	an increase is a kind of change	nongold
20	the sun is a source of radiation; heat called sunlight	nongold
21	warmer means greater; higher in temperature; warmth	nongold
22	to lower means to decrease	nongold
23	being  on something; placed in something; placed over something means touching  that something	nongold
24	warm is similar to hot	nongold
25	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
26	a planet is a kind of place	nongold
27	a decrease is a kind of change	nongold
28	increase means more	nongold
29	to add means to increase	nongold
30	sunlight produces heat	nongold
31	to a  human a air; environment temperature of 35 C to 50000000 C is considered very hot	nongold
32	sunlight means solar energy	nongold
33	the sun is a kind of yellow dwarf	nongold
34	the Sun is the  star that is closest to Earth	nongold
35	stars are some of the hottest objects	gold
36	hot is the opposite of  cold	nongold
37	greater means higher; more in value	nongold
38	adding heat means increasing temperature	nongold
39	the sun is average in temperature  for a star in our galaxy	nongold
40	solar energy is a kind of heat energy	nongold
41	low is similar to decrease	nongold
42	to a  human a air; environment temperature of 95 F to 50000000 F is considered very hot	nongold
43	a hot substance is a source of heat	nongold
44	to reduce means to decrease	nongold
45	the sun is a source of light; light energy called sunlight	nongold
46	a planet is exposed to the heat of the star around which it revolves	nongold
47	to a  human a air; environment temperature of 28 C to 35 C is considered hot	nongold
48	the Earth revolves around the sun	nongold
49	heat energy is synonymous with thermal energy	nongold
50	colder; cooler means lower in temperature	nongold
51	a planet is a kind of location	nongold
52	extreme means very high in value	nongold
53	being in the sun is synonymous with being in the sunlight	nongold
54	if liquid is boiling then that liquid is hot	nongold
55	warm up means increase temperature	nongold
56	if something exists on a surface then that surface contains that something	nongold
57	sunlight is a kind of solar energy	nongold
58	a source of something increases the amount of that something	nongold
59	Earth is a planet that is closer to the  Sun than Jupiter	nongold
60	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
61	bodies of water are located on Earth's surface	nongold
62	Earth is the planet that is third closest to the  Sun	nongold
63	to a  human a air; environment temperature of 82 F to 95 F is considered hot	nongold
64	as distance from the sun increases , planetary temperature will decrease	nongold
65	the sun is the source of solar energy called sunlight	nongold
66	to be in the sun means to be in the sunlight	nongold
67	if something emits something else then that something increases the amount of that something else	nongold
68	sunlight is a kind of light	nongold
69	less is similar to decrease	nongold
70	a surface is a part of an object	gold
71	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
72	if a planet cannot hold heat then that planet will have a large range of temperatures	nongold
73	a surface is a kind of object	nongold
74	the surface of the Earth is made of 70% ocean	nongold
75	little is similar to decrease	nongold
76	to give off means to be the source of	nongold
77	a source of something emits; produces; generates; provides that something	nongold
78	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
79	below means lower down	nongold
80	the ground means Earth's surface	nongold
81	the distance between the Sun and Earth causes liquid water to be able to exist on Earth	nongold
82	water is an thermal; thermal energy conductor	nongold
83	Jupiter is a kind of planet	nongold
84	as the cause of something decreases , that something will decrease	nongold
85	the atmosphere of a planet holds heat	nongold
86	the sun  is the source of energy for physical cycles on Earth	nongold
87	Mars is a kind of planet	nongold
88	adding something is a kind of change	nongold
89	water exists in three states on Earth	nongold
90	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
91	an animal is a kind of living thing	nongold
92	cold means low in temperature	nongold
93	high means a lot of something	nongold
94	heating is the opposite of cooling	nongold
95	temperature is an intensive property	nongold
96	Saturn is a kind of planet	nongold
97	solar energy is a kind of energy	nongold
98	intense means extreme	nongold
99	a hemisphere is a part of Earth	nongold
