Question	Which technological advancement has done the most to improve the accuracy of weather predictions?	question
Answer	satellites	answer
0	satellites have had the greatest; most positive impact on the accuracy of weather predictions	gold
1	satellite technology is used for predicting the weather	nongold
2	weather forecast means weather prediction	nongold
3	satellites are a kind of technological advancement	gold
4	to improve means to have a positive impact	gold
5	to advance means to improve	nongold
6	a satellite orbits a planet	nongold
7	to enhance means to increase	nongold
8	a satellite is a kind of instrument for observing Earth's surface	nongold
9	predicting weather requires studying weater	nongold
10	weather is a property of a environment	nongold
11	astronomy is the study of celestial (objects, bodies)	nongold
12	weather  usually happens in troposphere	nongold
13	better means good	nongold
14	storm is a kind of weather; weather event	nongold
15	satellites are used to take images from space	nongold
16	sky conditions are a property of weather	nongold
17	answering questions requires information	nongold
18	to depend on; to rely on; to need means to require	nongold
19	a weather report describes weather	nongold
20	high is similar to increase	nongold
21	an event is a kind of action	nongold
22	good means positive	nongold
23	helping something has a  positive impact on that something	nongold
24	most means over 50% of something	nongold
25	increase means more	nongold
26	technology is similar to tool	nongold
27	data means information	nongold
28	best means most positive	nongold
29	weather is  a measure of the condition of the air in a place at a certain time	nongold
30	technology is used for application of science	nongold
31	cloudy is a kind of  weather	nongold
32	weather is a source of wind and water for the weathering process	nongold
33	an increase is a kind of change	nongold
34	a process is a kind of event	nongold
35	an instrument is a piece of equipment	nongold
36	instrument means device	nongold
37	a source of something increases the amount of that something	nongold
38	can be means able to be	nongold
39	to improve the chances means to increase the likelihood	nongold
40	greatest means largest; highest; most amount of something	nongold
41	astronomy is a kind of branch of science	nongold
42	to be used for something means to be required by that something	nongold
43	calculation means measurement	nongold
44	a component of something means a part of that something	nongold
45	the function of something is what that something  is used to do	nongold
46	if something causes a process then that something is required for that process	nongold
47	a component means a part of	nongold
48	instrument means tool	nongold
49	helping means something can be done; completed more easily; better	nongold
50	hypothesis means scientific guess about the cause and effect of an event	nongold
51	100% probability means always	nongold
52	improving the design of something helps that something  to do its function	nongold
53	causing means influencing	nongold
54	an increase is the opposite of a decrease	nongold
55	something that happens is a kind of event	nongold
56	if something emits something else then that something increases the amount of that something else	nongold
57	a part of a process means a stage in a process	nongold
58	a measurement is a kind of data	nongold
59	Earth is a kind of planet	nongold
60	a type is synonymous with a kind	nongold
61	tornado is a kind of weather	nongold
62	a factor impacts something	nongold
63	satellites are found in space	nongold
64	if technology used for a process is improved then the product produced by that process will increase	nongold
65	to try means to make an effort	nongold
66	a cloud is a kind of weather	nongold
67	system means a set of objects	nongold
68	windy is a kind of weather	nongold
69	a source of something emits; produces; generates; provides that something	nongold
70	seconds are a kind of unit for measuring time	nongold
71	a human is a kind of animal	nongold
72	a moon is a kind of satellite	nongold
73	a machine is a kind of  device	nongold
74	if something is required for a process then that something positively impacts that process	nongold
75	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
76	a process usually requires all of the stages in that process	nongold
77	a hypothesis is a kind of scientific term	nongold
78	if something causes an increase in something else then that something produces that something else	nongold
79	faster means an increase; higher in speed	nongold
80	to cause an event is similar to being involved in that event	nongold
81	events occur at a specific place; at a specific time; with a specific frequency	nongold
82	to be good for means to have a positive impact on	nongold
83	according to is similar to be determined by	nongold
84	a motion is a kind of event; action	nongold
85	something is used for that something's purpose	nongold
86	precipitation is a kind of weather	nongold
87	mostly means being the most	nongold
88	rainy is a kind of weather	nongold
89	a step in a process means a stage in a process	nongold
90	warning  people of something requires knowing about; predicting that something	nongold
91	a scientist is a kind of human	nongold
92	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
93	how long something takes is a kind of measurement of time	nongold
94	preparing for a storm requires predicting the occurrence of that storm	nongold
95	to give is similar to to cause	nongold
96	to be formed by is similar to being produced by	nongold
97	usually means most of the time	nongold
98	indication is similar to a piece of information	nongold
99	calculating is similar to estimating	nongold
