Question	Which has the greatest effect on the color of a young eagle's eyes?	question
Answer	parents	answer
0	an eagle is a kind of animal	nongold
1	an eagle is a kind of bird	gold
2	an eagle is a kind of predator	nongold
3	an eagle is a kind of carnivore	nongold
4	eye color is an inherited characteristic	gold
5	greatest means largest; highest; most amount of something	nongold
6	impact means effect	nongold
7	to cause means to have an effect	nongold
8	a bird is a kind of living thing	nongold
9	color is a kind of physical; visual property	nongold
10	an animal is a kind of living thing	nongold
11	to impact means to affect	nongold
12	coloration means a thing's color	nongold
13	to change means to have an effect	nongold
14	eyes are a part of a human for seeing	nongold
15	color is a property of  an object; a material	nongold
16	a bird is a kind of animal	gold
17	a living thing is a kind of object	nongold
18	eyes are usually part of an animal for seeing	gold
19	the color of; coloration of fur is an inherited characteristic	nongold
20	the color of an environment means the color of the things that environment contains	nongold
21	coloration is a kind of adaptation for hiding;camouflage	nongold
22	an animal is a kind of organism	nongold
23	An example of camouflage is when something is; has the same color as its environment	nongold
24	the colors of parts of an organism are inherited characteristics	gold
25	high is similar to increase	nongold
26	answering questions requires information	nongold
27	children; young is synonymous with offspring	gold
28	increase means more	nongold
29	an increase is the opposite of a decrease	nongold
30	causing is a kind of affecting	nongold
31	colorless means no color	nongold
32	change is a kind of impact	nongold
33	a human is a kind of animal	nongold
34	eagles live in trees	nongold
35	an increase is a kind of change	nongold
36	trait is synonymous with characteristic	nongold
37	parents produce offspring	nongold
38	a child is a kind of young human	nongold
39	to act on means to affect	nongold
40	having an impact on something means altering that something	nongold
41	coloration means a pattern of colors	nongold
42	if a living thing requires something then that something has a positive impact on that living thing	nongold
43	an organism is a living thing	nongold
44	largest means greatest in size	nongold
45	An example of camouflage is when something changes color in order to have the same color as its environment	nongold
46	animals learn some behaviors from watching their parents	nongold
47	green is a kind of color	nongold
48	young means immature	nongold
49	furthest; farthest means greatest; most; highest in distance	nongold
50	the color of an object can be discovered by looking at that object	nongold
51	the effects of something is a property of that something	nongold
52	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
53	color is an intensive property	nongold
54	white is a kind of color	nongold
55	least is the opposite of greatest	nongold
56	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
57	affected means changed	nongold
58	causing means influencing	nongold
59	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	gold
60	hawks;eagles eat snakes;lizards; rats; rabbits; mice	nongold
61	an inherited characteristic is a kind of characteristic	nongold
62	if something affects a part of something else then that something affects that something else	nongold
63	a mother is a kind of female parent	nongold
64	variable means able to change	nongold
65	feature is synonymous with characteristic	nongold
66	dark eyes is a dominant trait in human	nongold
67	a father is a kind of male parent	nongold
68	a decrease is a kind of change	nongold
69	white fur is white in color	nongold
70	greater means higher; more in value	nongold
71	an part of an object is smaller than the entire object	nongold
72	a source of something increases the amount of that something	nongold
73	appearance is a property of objects; materials	nongold
74	coloration is used to find a mate by some animals	nongold
75	can be means able to be	nongold
76	a part of something means a characteristic of something	nongold
77	to reduce means to decrease	nongold
78	a type is synonymous with a kind	nongold
79	if something is made by something else then that something is affected by that something else	nongold
80	if an animal's fur is a color then that animal is that color	nongold
81	negative impact is the opposite of positive impact	nongold
82	an hawk is a kind of predator	nongold
83	trait means property	nongold
84	as the state  of matter changes , the color of the object will stay the same	nongold
85	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
86	best means most positive	nongold
87	a face is often a part of an animal	nongold
88	low is similar to decrease	nongold
89	to see means to look	nongold
90	less is similar to decrease	nongold
91	to lower means to decrease	nongold
92	dark means dark in color	nongold
93	characteristic means property	nongold
94	if the feathers of a bird are a color then that bird is that color	nongold
95	if something causes an increase in something else then that something produces that something else	nongold
96	to be affected by something is similar to depending on something	nongold
97	an animal is a member of an animal species	nongold
98	a structure of something is synonymous with a part of that something	nongold
99	down is part of a young bird	nongold
