Question	Mark wants to make lemonade for his friends. He uses water, lemon juice, and sugar. Which of these best describes the lemonade?	question
Answer	a mixture	answer
0	lemonade is made of water, lemon juice, and sugar	nongold
1	the properties of something are used for describing that something	nongold
2	lemon juice is a kind of substance	gold
3	a lemon is a kind of fruit	nongold
4	a mixture is a kind of substance	nongold
5	a beverage is a kind of liquid	nongold
6	water is a kind of substance	gold
7	a beverage is a kind of food	nongold
8	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
9	fruit juice is a kind of  drink	nongold
10	juice is a kind of liquid	nongold
11	sugar water is a kind of solution	nongold
12	a solution is a kind of mixture	nongold
13	sugar is a kind of pure substance	gold
14	a liquid is a kind of substance	nongold
15	sugar is a kind of food	nongold
16	sugar dissolves in water when they are combined	nongold
17	juice is a kind of solution	nongold
18	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
19	sugar is a kind of solid	nongold
20	lemon juice is a kind of acid	nongold
21	lemon juice is a kind of acid	nongold
22	food is a kind of substance	nongold
23	fruit juice is usually high in sugar	nongold
24	the properties of something can be used to identify; used to describe that something	nongold
25	fruit drink is a kind of beverage	nongold
26	drinking is a kind of water use	nongold
27	an mixture is formed by two or more substances combined together physically	gold
28	a lemon has strong odor	nongold
29	purity is a property of substance and includes ordered values of pure substance; mixture	nongold
30	water is a kind of liquid at room temperature	nongold
31	provide is similar to give; make	nongold
32	juice is a kind of matter	nongold
33	a solution is formed by one substance being dissolved in another substance	nongold
34	give off is similar to make	nongold
35	gas is a kind of substance	nongold
36	In the solution sugar water , the solute is sugar	nongold
37	solution is a kind of liquid	nongold
38	person is synonymous with human	nongold
39	water is a kind of matter	nongold
40	to be used for something means to be required by that something	nongold
41	if a substance is dissolved in another substance then that substance is added to that other substance	nongold
42	a solution is made of one substance dissolved in another substance	nongold
43	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
44	a container contains objects; material; substances	nongold
45	water is a kind of compound	nongold
46	water is a kind of object	nongold
47	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
48	a source of something emits; produces; generates; provides that something	nongold
49	consumption means use	nongold
50	sugary means high in sugar	nongold
51	a product is a kind of object	nongold
52	a lemon tree is a kind of plant	nongold
53	if a container contains something then that container touches that something	nongold
54	soda water is a kind of carbonated beverage	nongold
55	fruit is a kind of food	nongold
56	measuring is used for describing an object	nongold
57	substances are made of matter	nongold
58	taste is a kind of sense	nongold
59	both means two	nongold
60	fruit is  usually a solid	nongold
61	to cause means to make	nongold
62	soda is a kind of carbonated beverage	nongold
63	a  solution  is a kind of object	nongold
64	moisture means liquid; liquid water	nongold
65	if something is made of something; a material then that something contains that something; that material	nongold
66	sugar causes food to taste sweet	nongold
67	make means produce	nongold
68	material means substance	nongold
69	a carbonated beverage contains dissolved carbon dioxide	nongold
70	ethanol is a kind of substance	nongold
71	to be a combination of means to be made of	nongold
72	liquid is a kind of state of matter	nongold
73	a description sometimes provides information	nongold
74	a fruit is a kind of object	nongold
75	a human is a kind of animal	nongold
76	a person is a kind of animal	nongold
77	being  on something; placed in something; placed over something means touching  that something	nongold
78	In the solution sugar water , the solvent is water	nongold
79	food is a kind of object	nongold
80	matter; materials; substances are made of atoms; particles	nongold
81	sweet is a kind of flavor	nongold
82	an animal is a kind of organism	nongold
83	objects are made of materials; substances; matter	nongold
84	if something is soluble in something , then that something can be dissolved in something forming a solution	nongold
85	form means kind	nongold
86	a sugar cube is made of sugar	nongold
87	a mixture usually is made of objects with different physical properties	nongold
88	affected means changed	nongold
89	contents means the substance in a container	nongold
90	carbohydrates are made of sugars	nongold
91	humans drink beverages	nongold
92	an organism is a living thing	nongold
93	human is a kind of organism	nongold
94	made up of means contains; made of	nongold
95	table sugar is a kind of sugar	nongold
96	feeling is when an living thing senses through touch	nongold
97	high is similar to increase	nongold
98	if an object is made of a material then that object has the properties of that material	nongold
99	heat means heat energy	nongold
