Question	A student finds a round, smooth pebble on a beach. Which action made the pebble smooth?	question
Answer	waves moving	answer
0	rough is the opposite of smooth	nongold
1	a pebble is a kind of small rock	gold
2	wave action changes the shape of the beach by mechanical energy	nongold
3	sometimes weathering smooths; rounds rocks	gold
4	waves are made of moving water	gold
5	motion; movement means moving; to move	nongold
6	round means circular in shape	nongold
7	to round means to make more round	nongold
8	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
9	smooth is a kind of texture	nongold
10	rocks contacting; rubbing each other over long periods of time causes those rocks to smooth	nongold
11	sand has a rough surface	nongold
12	a body of water meets land at a beach	nongold
13	water easily passes through pebbles	nongold
14	a wave is a kind of object	nongold
15	a rock is a kind of object	nongold
16	a beach is a kind of location	nongold
17	the surface of a beach is formed by mechanical weathering	nongold
18	sand is a part of a beach	nongold
19	a surface is a part of an object	nongold
20	water is a kind of object	nongold
21	a surface is a kind of object	nongold
22	circular means having the shape of a circle	nongold
23	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
24	friction occurs when two object's surfaces move against each other	nongold
25	if someone walks on a surface then that someone touches that surface	nongold
26	a student is a kind of human	nongold
27	texture means how an object feels	nongold
28	an ocean contains waves	nongold
29	an ocean is a kind of body of water	nongold
30	to slow; to slow down decreases speed	nongold
31	a living thing is a kind of object	nongold
32	pebbles are a kind of material	nongold
33	a beach is usually part of an island	nongold
34	a motion is a kind of event; action	nongold
35	as the smoothness of something increases , the friction of that something will decrease when its surface moves against another surface	nongold
36	a human is a kind of animal	nongold
37	landform means surface feature; physical feature; land feature	nongold
38	felt is high in roughness	nongold
39	as the roughness of something increases , the friction of that something will increase when its surface moves against another surface	nongold
40	a shore is the land found at the edge of a body of water	nongold
41	ocean wave is a kind of wave	nongold
42	sliding is a kind of motion	nongold
43	an animal is a kind of living thing	nongold
44	a landform is a kind of object	nongold
45	to reduce means to decrease	nongold
46	down is soft	nongold
47	a beach is a kind of habitat; environment	nongold
48	distance moved; distance travelled is a measure of how far an object moves	nongold
49	motion is when moves an object; something to a direction	nongold
50	sliding is a kind of movement	nongold
51	sand  is a kind of solid	nongold
52	sand in water settles to the bottom of water	nongold
53	friction exerts force on moving objects	nongold
54	if an object slides across another object then those objects are touching	nongold
55	an event is a kind of action	nongold
56	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
57	round objects roll	nongold
58	to lower means to decrease	nongold
59	as roughness of a surface increases , friction will increase	nongold
60	friction acts to counter the motion of two objects when their surfaces are touching	nongold
61	a body of water is a kind of land feature	nongold
62	being  on something; placed in something; placed over something means touching  that something	nongold
63	objects are made of materials; substances; matter	nongold
64	travel means to move	nongold
65	a body of water is a kind of environment	nongold
66	soft is a kind of touch sensation	nongold
67	crumple means change shape from smooth; flat into compacted;irregular by mechanical force; kinetic energy	nongold
68	an object being pushed across another object causes their surfaces to move against each other	nongold
69	Rossby wave is a kind of ocean wave	nongold
70	forming is a kind of action	nongold
71	action means activity	nongold
72	to cause means to make	nongold
73	reflecting light; sound is the opposite of absorbing light; sound	nongold
74	sand  is a kind of substance	nongold
75	low means down	nongold
76	surface area is a property of shape	nongold
77	an object is made of its parts	nongold
78	counter means reduce; stop; resist	nongold
79	shape is a property of an object	nongold
80	an part of an object is smaller than the entire object	nongold
81	friction causes speed to decrease	nongold
82	setting is a kind of motion	nongold
83	sand  is a kind of material	nongold
84	vibration is a kind of motion	nongold
85	a rough surface is a part of sandpaper	nongold
86	Earth's surface is made of rock	nongold
87	waves travel outward from the source	nongold
88	revolving is a kind of action	nongold
89	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
90	height is a measure of length from the top of an object to the bottom of an object	nongold
91	moving is similar to travelling	nongold
92	a coast is where land meets the edge of a body of water	nongold
93	a landform is a kind of place	nongold
94	a landform is a kind of place	nongold
95	an aquatic animal is a kind of animal	nongold
96	becoming is a kind of action	nongold
97	lowering is a kind of motion	nongold
98	depth is a property of the shape of an object	nongold
99	moving in a circle means moving in a circular motion	nongold
