Question	In clear weather, a bright light can be seen for a long distance. In conditions of heavy fog, the visibility is greatly reduced. Which of the following explains the reduced visibility?	question
Answer	Light is scattered by water droplets in the air.	answer
0	drop means decrease	nongold
1	scattering light decreases visibility	gold
2	a droplet is a small amount of liquid	nongold
3	a droplet is a kind of little drop	gold
4	water droplets scatter light	gold
5	a drop is a small amount of liquid	gold
6	a drop is a kind of liquid small amount	nongold
7	clear weather means sunny; not cloudy; not rainy weather	nongold
8	fog is a kind of stratus cloud in contact with the ground	nongold
9	clouds are made of water vapor; rain droplets	nongold
10	fog is formed by water vapor condensing in the air	gold
11	visible means able to be seen	nongold
12	to reduce means to decrease	gold
13	sunlight is a kind of light	nongold
14	air is a kind of gas	nongold
15	difficulty seeing means visibility decreases	nongold
16	an increase is the opposite of a decrease	nongold
17	weather is  a measure of the condition of the air in a place at a certain time	nongold
18	if an object reflects light toward the eye then that object can be seen	nongold
19	water is a kind of liquid at room temperature	nongold
20	closer means lower; less; a decrease in distance	nongold
21	air is invisible	nongold
22	high pressure systems cause clear weather	nongold
23	water vapor is invisible	nongold
24	bright means bright; light in color	nongold
25	if something is visible , then that something can be observed	nongold
26	less means a reduced amount	nongold
27	to lower means to decrease	nongold
28	increase means more	nongold
29	to drop means to fall	nongold
30	visible light is a kind of  light	nongold
31	less is similar to decrease	nongold
32	air is a kind of medium for light	nongold
33	water vapor is found in the atmosphere	nongold
34	if an object reflects more light then that object is more easily seen	nongold
35	seeing requires light	nongold
36	loss means reduction	nongold
37	not visible means cannot be seen	nongold
38	the air is a kind of substance	nongold
39	water is a kind of substance	nongold
40	cloudy is a kind of sky condition	nongold
41	night is low in light; in visibility	nongold
42	low is similar to decrease	nongold
43	if something is in a dark place , then that something will not reflect enough light to be seen	nongold
44	hiding means visibility; ability to be seen decreases for camouflage	nongold
45	water is a kind of object	nongold
46	water absorbs light energy	nongold
47	visible light is able to be seen without using equipment	nongold
48	atmosphere means  air	nongold
49	as distance from a source of something increases , that something will decrease	nongold
50	ground water is a kind of water	nongold
51	dark means a low amount of light	nongold
52	light reflecting off of an object causes that object to be visible to the observer	nongold
53	reducing is a kind of change	nongold
54	absorbing something from the air decreases the  amount of  that something in the air	nongold
55	bright means a lot of light	nongold
56	high is similar to increase	nongold
57	rainwater is a kind of water	nongold
58	near; close is the opposite of far; away	nongold
59	air is a kind of matter	nongold
60	sight means to see	nongold
61	An example of moisture is water vapor in the atmosphere	nongold
62	water vapor has an impact on weather conditions associated with an air mass	nongold
63	sky conditions are a property of weather	nongold
64	far means great in distance	nongold
65	close means low in distance	nongold
66	a cloud is a kind of object	nongold
67	to view means to see	nongold
68	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
69	human eyes can only see light in the range of visible light	nongold
70	intensity of sunlight is similar to amount of sunlight	nongold
71	distant means great in distance	nongold
72	if something is outside during the day , then that something will reflect enough light to be seen	nongold
73	a source of something increases the amount of that something	nongold
74	air is a part of the environment	nongold
75	altitude is the distance from the ground to an object in the sky	nongold
76	a decrease in visibility while driving can cause people to crash their car	nongold
77	as the amount of a source of something decreases , the amount of that something will decrease	nongold
78	a decrease is a kind of change	nongold
79	water is a kind of medium for light	nongold
80	far is the opposite of close	nongold
81	a body of water is a kind of environment	nongold
82	a living thing is a kind of object	nongold
83	bad weather decreases visibility while driving	nongold
84	invisible means cannot be seen	nongold
85	distant means far away	nongold
86	rain is a kind of water	nongold
87	to reflect light means to scatter light	nongold
88	moving away from the source increases the distance	nongold
89	light means light energy	nongold
90	low means low in elevation; height; altitude	nongold
91	to see means to look	nongold
92	distance moved; distance travelled is a measure of how far an object moves	nongold
93	moisture means liquid; liquid water	nongold
94	condition is a property of an environment	nongold
95	a plane travels through the atmosphere	nongold
96	clouds are formed by water vapor rising into colder regions of the atmosphere and condensing	nongold
97	water is a kind of matter	nongold
98	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
99	to limit means to decrease	nongold
