Question	What is the correct explanation for why we have day and night on Earth?	question
Answer	Earth turns on its axis.	answer
0	Earth is a kind of planet	gold
1	the Earth rotates on its axis	gold
2	a Rotation of the Earth on Earth's axis; itself takes 1; one day	nongold
3	turning is a kind of motion	nongold
4	cycles of day and night occur once per day	nongold
5	the sun rising and setting causes cycles of day and night	nongold
6	the moon rotates on its axis	nongold
7	the Earth revolves around the sun	nongold
8	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
9	a planet is a kind of celestial object; body	nongold
10	a planet rotating causes cycles of day and night on that planet	gold
11	Earth rotating on its axis occurs once per day	nongold
12	revolving is a kind of motion	nongold
13	rotate means turn	gold
14	if it is night then the sun has set	nongold
15	the day time is part of one day	nongold
16	turns is similar to changes	nongold
17	to turn means to change	nongold
18	the Sun is a kind of star	nongold
19	setting is a kind of motion	nongold
20	the night time is part of one day	nongold
21	diurnal motion is when  objects in the sky appear  to move due to Earth's rotation on its axis	nongold
22	rotation is a kind of motion	nongold
23	the Earth rotating on its axis causes the sun to appear to move across the sky during the day	nongold
24	a complete revolution of the Earth around the sun takes 1; one year; solar year; Earth year	nongold
25	all the time means at day and at night	nongold
26	revolving  around something means orbiting that something	nongold
27	if a human is on a rotating planet then other celestial bodies will appear to move from that human's perspective due to  the rotation of that planet	nongold
28	a moon is a kind of celestial object; body	nongold
29	rising is a kind of motion	nongold
30	sunlight is a kind of light	nongold
31	Earth's rotation causes time zones	nongold
32	the sun is not a star in the night sky	nongold
33	a motion is a kind of event; action	nongold
34	the moon orbits the Earth	nongold
35	the sun sets in the west	nongold
36	Earth's revolution is a kind of cycle	nongold
37	a cause of something is a reason for that something	nongold
38	Earth's angle of tilt causes the length of day and night to vary	nongold
39	the sun is a source of light; light energy called sunlight	nongold
40	revolving is a kind of action	nongold
41	movements of celestial bodies are a kind of event	nongold
42	days are a kind of unit for measuring time	nongold
43	a planet is a kind of place	nongold
44	an event is a kind of action	nongold
45	the sun setting is a kind of event	nongold
46	the sun rises in the east	nongold
47	a rotation is a kind of movement	nongold
48	a human is a kind of animal	nongold
49	turning on is a kind of process	nongold
50	the Earth revolving around the Sun causes the seasons to change; to occur on its axis	nongold
51	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
52	the sun rising; setting occurs once per day	nongold
53	events occur at a specific place; at a specific time; with a specific frequency	nongold
54	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
55	a star is a kind of celestial object; celestial body	nongold
56	an increase is a kind of change	nongold
57	Celestial bodies move in orbits in space around other celestial bodies	nongold
58	a component of something means a part of that something	nongold
59	the Moon is Earth's moon	nongold
60	north is the opposite of south	nongold
61	a phase of the moon is a kind of state	nongold
62	an animal is a kind of living thing	nongold
63	length of time means period of time	nongold
64	to turn means to convert	nongold
65	some celestial bodies rotate in space	nongold
66	Earth is a planet that is closer to the  Sun than Jupiter	nongold
67	as the rotation speed of a planet increases , the length of day and night will decrease on that planet	nongold
68	sunlight is a kind of solar energy	nongold
69	motion; movement means moving; to move	nongold
70	if something is caused by something else , then that something can be explained by that something else	nongold
71	latitude is a property of a location; place on Earth	nongold
72	a living thing is a kind of object	nongold
73	a cycle is a kind of process	nongold
74	the Earth revolving around the sun causes stars to appear  in different areas in the sky at different times of year	nongold
75	a process is a kind of event	nongold
76	a planet is a kind of location	nongold
77	the sun rising is a kind of event	nongold
78	a landform is a kind of object	nongold
79	motion is when moves an object; something to a direction	nongold
80	a component means a part of	nongold
81	astronomy is the study of celestial (objects, bodies)	nongold
82	an animal is a kind of organism	nongold
83	a full moon is a kind of phase of the moon	nongold
84	Mars is a kind of planet	nongold
85	increase means more	nongold
86	a part of a process means a stage in a process	nongold
87	movement is a kind of change	nongold
88	north; northward is a kind of direction	nongold
89	phase means state	nongold
90	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
91	high is similar to increase	nongold
92	Tuesday is a kind of  time	nongold
93	a first quarter is a kind of phase of the moon	nongold
94	shift means move	nongold
95	can be means able to be	nongold
96	a change is a kind of event	nongold
97	a landform is a kind of place	nongold
98	a landform is a kind of place	nongold
99	an object is made of its parts	nongold
