Question	Why is it winter in North America when it is summer in South America?	question
Answer	North America receives less direct sunlight during the winter.	answer
0	South America is a kind of continent	nongold
1	North America is located in the Northern Hemisphere	gold
2	South America is located in the Southern Hemisphere	gold
3	north is the opposite of south	nongold
4	North Carolina is a state located in the United States of America	nongold
5	winter in the Northern Hemisphere is during the summer in the Southern Hemisphere	gold
6	to receive sunlight means to absorb sunlight	nongold
7	winter in the Southern Hemisphere is during the summer in the Nouthern Hemisphere	nongold
8	receiving sunlight  is synonymous with absorbing sunlight	nongold
9	when a hemisphere is tilted away from the sun , that hemisphere receives less direct sunlight	gold
10	North Dakota is a state located in the United States of America	nongold
11	less is similar to decrease	nongold
12	the amount of daylight is least in the winter	nongold
13	summer has the most sunlight	nongold
14	South Carolina is a state located in the United States of America	nongold
15	when a hemisphere is tilted towards the sun , that hemisphere receives more direct sunlight	nongold
16	daylight means sunlight	nongold
17	summer is a kind of season	nongold
18	sunshine means sunlight	nongold
19	winter is the opposite of summer	nongold
20	if something is outside during the day then that something will receive sunlight	nongold
21	South Dakota is a state located in the United States of America	nongold
22	the amount of daylight is greatest in the summer	nongold
23	winter is a kind of season	nongold
24	less means a reduced amount	nongold
25	winter is a part of the year	nongold
26	sunlight means solar energy	nongold
27	the United States of America is a kind of location	nongold
28	less is the opposite of more	nongold
29	spring is a kind of season	nongold
30	the sunlight occurs during the day	nongold
31	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
32	summer is when a hemisphere is tilted towards the sun	gold
33	Washington; Washington State is a state located in the United States of America	nongold
34	Autumn is a kind of season	nongold
35	colder; cooler means lower in temperature	nongold
36	daylight is when the sun shines on a location	nongold
37	Vermont is a state located in the United States of America	nongold
38	winter is when a hemisphere is tilted away from the sun	gold
39	increase means more	nongold
40	an increase is the opposite of a decrease	nongold
41	spring increases the amount of available food in an environment	nongold
42	lower means less	nongold
43	West Virginia is a state located in the United States of America	nongold
44	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
45	winter has cold temperatures;weather	nongold
46	Indiana is a state located in the United States of America	nongold
47	sunlight is a kind of light	nongold
48	Ohio is a state located in the United States of America	nongold
49	Massachusetts is a state located in the United States of America	nongold
50	if sunlight is blocked from an area then that area lacks sunlight	nongold
51	the southern United States receives a lot of sunlight	nongold
52	snow falls during the winter in some environments	nongold
53	warmer means greater; higher in temperature; warmth	nongold
54	the sun is a source of light; light energy called sunlight	nongold
55	as the distance of a location from the North Pole becomes smaller; closer , the amount of daylight received by that location will decrease during the winter	nongold
56	the sun is a source of radiation; heat called sunlight	nongold
57	to lower means to decrease	nongold
58	daylight occurs during the day	nongold
59	summer follows spring	nongold
60	seasons cause change to the environment	nongold
61	sunlight produces heat	nongold
62	amount of sunlight causes changing weather patterns	nongold
63	a decrease is a kind of change	nongold
64	Kentucky is a state located in the United States of America	nongold
65	sunlight is a kind of solar energy	nongold
66	as the distance of a location from the North Pole becomes smaller; closer , the  amount of daylight received by that location will increase during the summer	nongold
67	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
68	Delaware is a state located in the United States of America	nongold
69	Oklahoma is a state located in the United States of America	nongold
70	Kansas is a state located in the United States of America	nongold
71	Alaska is a state located in the United States of America	nongold
72	spring has warm temperatures; weather	nongold
73	cooler means colder	nongold
74	every summer  is a kind of period of time	nongold
75	spring follows winter	nongold
76	low is similar to decrease	nongold
77	winter in a hemisphere occurs when the Pole located in that hemisphere is tilted away from the Sun	nongold
78	Idaho is a state located in the United States of America	nongold
79	an environment is a kind of place	nongold
80	Louisiana is a state located in the United States of America	nongold
81	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
82	being in the sun is synonymous with being in the sunlight	nongold
83	the sun is the source of solar energy called sunlight	nongold
84	Pennsylvania is a state located in the United States of America	nongold
85	winter means environmental; outdoor temperature decreases	nongold
86	Wyoming is a state located in the United States of America	nongold
87	Oregon is a state located in the United States of America	nongold
88	American Samoa (United States) is located in the southern hemisphere	nongold
89	Arkansas is a state located in the United States of America	nongold
90	Iowa is a state located in the United States of America	nongold
91	California is a state located in the United States of America	nongold
92	when the season changes , the amount of daylight will change	nongold
93	Maryland is a state located in the United States of America	nongold
94	temperature is a property of weather	nongold
95	Minnesota is a state located in the United States of America	nongold
96	cold means low in temperature	nongold
97	RhodeIsland is a state located in the United States of America	nongold
98	New York; New York State is a state located in the United States of America	nongold
99	an increase is a kind of change	nongold
