Question	Mrs. Tucker gives her class samples of different soil types. Which action best helps Tanisha identify each soil type?	question
Answer	touching it	answer
0	classifying is when one sorts something by kind; type	nongold
1	to touch means to contact	nongold
2	being  on something; placed in something; placed over something means touching  that something	nongold
3	a motion is a kind of event; action	nongold
4	the properties of something can be used to identify; used to describe that something	gold
5	if one surface; one substance; one object touches something then one is exposed to that something	nongold
6	an event is a kind of action	nongold
7	the composition of something can be used to identify that something	nongold
8	best means most positive	nongold
9	classifying means grouping objects; materials by their properties	nongold
10	action means activity	nongold
11	soil is a kind of material	gold
12	helping something has a  positive impact on that something	nongold
13	being in something means touching that something	nongold
14	helping means something can be done; completed more easily; better	nongold
15	a type is synonymous with a kind	nongold
16	to be used  for something means to help to do that something	nongold
17	helping means to assist in a change	nongold
18	sample is similar to small amount of substance; matter	nongold
19	identifying is similar to determining	nongold
20	action can cause change	nongold
21	soil is usually part of an environment	nongold
22	transferring is similar to giving	nongold
23	often soil is found in an environment	nongold
24	soil is made of solid particles	nongold
25	identifying sometimes requires examining	nongold
26	something's function can be used to describe; identify that something	nongold
27	to help; to benefit means to be of use	nongold
28	bringing is a kind of action	nongold
29	touching is when a body part makes contact with the surface of an object	nongold
30	to enable is to help	nongold
31	touching something means feeling that something	nongold
32	to help means to aid	nongold
33	studying a soil sample means studying the microorganisms in that soil	nongold
34	soil contains water; humus; weathered rocks; organic matter	nongold
35	soil is found on the surface of the Earth	nongold
36	variety means different kinds; different types	nongold
37	placing is a kind of action	nongold
38	high is similar to increase	nongold
39	actions mean behavior	nongold
40	different types of soil have different textures	gold
41	to identify means to discover	nongold
42	forming is a kind of action	nongold
43	person is synonymous with human	nongold
44	becoming is a kind of action	nongold
45	to be helpful means to help to do	nongold
46	answering questions requires information	nongold
47	a plant is a kind of organism	nongold
48	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
49	concluding is a kind of action	nongold
50	revolving is a kind of action	nongold
51	provide is similar to give; make	nongold
52	a living thing is a kind of object	nongold
53	burning is a kind of action	nongold
54	a positive impact is a helpful effect	nongold
55	a human is a kind of animal	nongold
56	better means good	nongold
57	the shape  of an object can be discovered through feeling that object; touching that object	nongold
58	negative impact is the opposite of positive impact	nongold
59	good means positive	nongold
60	an part of an object is smaller than the entire object	nongold
61	if one is holding an object then one is touching that object	nongold
62	passing is a kind of action	nongold
63	soil is a part of the ground outside	nongold
64	brushing is a kind of action	nongold
65	a process is a kind of event	nongold
66	form means kind	nongold
67	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
68	flowing is a kind of action	nongold
69	a plant is a kind of living thing	nongold
70	a student is a kind of human	nongold
71	touch is a kind of sense	nongold
72	sitting is a kind of action	nongold
73	category means kind	nongold
74	an animal is a kind of living thing	nongold
75	requiring is similar to needing help	nongold
76	an organism eating is a kind of action	nongold
77	affected means changed	nongold
78	can be means able to be	nongold
79	to add means to increase	nongold
80	high quality; rich; good soil has a high number of nutrients; amount of nitrogen	nongold
81	to make something easier means to help	nongold
82	to slow; to slow down decreases speed	nongold
83	solution is similar to a positive impact	nongold
84	the composition of the soil causes the texture of the soil to be different	nongold
85	process is similar to method	nongold
86	if an organism undertakes an action with a positive effect , then that organism will learn to do that action more	nongold
87	the function of something is what that something  is used to do	nongold
88	classifying is a kind of skill	nongold
89	recycling is a kind of action	nongold
90	dissolving is a kind of action	nongold
91	a reaction is a kind of process	nongold
92	cooking is a kind of action	nongold
93	to distinguish means to tell the difference between	nongold
94	to rub; to rub together means to move against	nongold
95	if an object is held under a substance then that object is touching that substance	nongold
96	a surface is a part of an object	nongold
97	classifying requires comparing	nongold
98	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
99	variable means able to change	nongold
