Question	Plants need iron to grow. What parts of plants take in iron?	question
Answer	roots	answer
0	taking in something means receiving; absorbing; getting something	nongold
1	roots are a part of a plant; tree	gold
2	take in means absorb	gold
3	a plant; living thing requires nutrients to grow	nongold
4	a stem is often a part of plant	nongold
5	taking in something means acquiring that something	nongold
6	to depend on; to rely on; to need means to require	nongold
7	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
8	plant parts are made of plants	nongold
9	iron is a kind of metal	nongold
10	a plant requires soil for survival; to grow	nongold
11	all living things grow	nongold
12	taking is the opposite of giving; leaving	nongold
13	green plants are a kind of producer	nongold
14	a plant is a kind of living thing	nongold
15	a tree is a kind of plant	nongold
16	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
17	a structure of something is synonymous with a part of that something	nongold
18	a leaf is a part of a  green plant	nongold
19	a plant requires photosynthesis to grow; survive	nongold
20	metal is a kind of natural resource	nongold
21	requiring something means needing that something	nongold
22	a tree is a kind of living thing	nongold
23	a root is a kind of object	nongold
24	a plant is a kind of organism	nongold
25	a leaf is a part of a tree	nongold
26	requiring is similar to needing help	nongold
27	metal is a kind of material	nongold
28	iron is a kind of element	nongold
29	a producer is a kind of living thing	nongold
30	iron is a kind of solid	nongold
31	steel is a kind of metal	nongold
32	a plants; living things require water for survival; to grow	nongold
33	ferrous metals contain iron	nongold
34	a leaf is a kind of plant	nongold
35	growing is a kind of process	nongold
36	metal is a kind of substance	nongold
37	a source of something emits; produces; generates; provides that something	nongold
38	growth means size;number;value;strength increases	nongold
39	plants are a part of the environment	nongold
40	an object is made of its parts	nongold
41	a branch is a part of a tree	nongold
42	a plant; living thing requires food for survival	nongold
43	growing means a plant's height;mass;size increase	nongold
44	take away means decreasing	nongold
45	to be used for something means to be required by that something	nongold
46	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
47	a part of a process means a stage in a process	nongold
48	a living thing is a kind of object	nongold
49	taking in and releasing means exchanging	nongold
50	an part of an object is smaller than the entire object	nongold
51	an animal; living thing requires nutrients for survival	nongold
52	if something requires something else then that something requires a source of that something else	nongold
53	metal is a nonrenewable resource	nongold
54	if something causes a process then that something is required for that process	nongold
55	rocks sometimes contain iron	nongold
56	a plant is a member of a plant species	nongold
57	a component means a part of	nongold
58	providing something means making;delivering something	nongold
59	iron is a kind of mineral	gold
60	copper is a kind of metal	nongold
61	to provide something means to be the source of that something	nongold
62	metals are made of metal	nongold
63	a part of a living thing is a natural structure	nongold
64	unit is similar to part	nongold
65	when a plant grows , the roots of that plant may become longer	nongold
66	if an object is made of something then the parts of that object are made of that something	nongold
67	a component of something means a part of that something	nongold
68	a leaf is a kind of object	nongold
69	what something needs is a property of that something	nongold
70	an object; material; substance comes from that object or material's source	nongold
71	if something is a raw material in a process then that something is required for that process	nongold
72	high is similar to increase	nongold
73	a whole is formed by its parts	nongold
74	iron in contact with water and oxygen will rust	nongold
75	vegetation means plants	nongold
76	forming is similar to growing	nongold
77	aluminum is a kind of metal	nongold
78	some species of tree are deciduous	nongold
79	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
80	a metal is a kind of element	nongold
81	make means produce	nongold
82	an organism requires energy for growth; repair	nongold
83	if a living thing requires something then that something has a positive impact on that living thing	nongold
84	growth is a kind of process	nongold
85	an animal is a kind of living thing	nongold
86	iron is more dense than water	nongold
87	a type is synonymous with a kind	nongold
88	a tree contains wood	nongold
89	zinc is a kind of metal	nongold
90	take apart means break down	nongold
91	an organism is a living thing	nongold
92	structure is a property of an object; a material; a substance	nongold
93	chemical weathering causes iron in rock to oxidize	nongold
94	to produce means to provide	nongold
95	a plant requires water to grow	nongold
96	harming something has a  negative impact on; effect on that something	nongold
97	if something gains something from something else then that something else is a source of that something	nongold
98	to give off means to be the source of	nongold
99	to be formed by is similar to being produced by	nongold
