Question	Which of the following is found farthest from the center of an atom?	question
Answer	electron	answer
0	electrons are found farthest from the center of the atom	gold
1	furthest; farthest means greatest; most; highest in distance	nongold
2	to be found in means to be contained in	nongold
3	far is the opposite of close	nongold
4	electrons surround; orbit the nucleus of an atom	nongold
5	an electron is a kind of charged particle	nongold
6	an atom is made of protons; neutrons; electrons	gold
7	distant means far away	nongold
8	near; close is the opposite of far; away	nongold
9	an atom is the smallest particle; unit that has the properties of an element	nongold
10	far means great in distance	nongold
11	distance is a property of space and includes ordered values of close; far	nongold
12	an atom is a kind of object	nongold
13	proximity means distance	nongold
14	matter; materials; substances are made of atoms; particles	nongold
15	an atom is exceptionally small in size	nongold
16	closer means lower; less; a decrease in distance	nongold
17	distant means great in distance	nongold
18	electron configuration is a property of elements	nongold
19	atoms are made of particles	nongold
20	an element is made of one kind of atoms	nongold
21	a molecule is made of atoms chemically combined; bonded	nongold
22	the outer electron shell is a part of the electron configuration	nongold
23	an  element is a kind of atom	nongold
24	an electron has a negative charge	nongold
25	near means close	nongold
26	the location of an object can be used to describe that object	nongold
27	protons are found in the nucleus of an atom	nongold
28	close means low in distance	nongold
29	if something is a part of something then that something can be found in that something	nongold
30	contains means located in	nongold
31	a molecule is a kind of object	nongold
32	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
33	located means situated	nongold
34	an ion with negative charge is formed by atom  gaining electrons	nongold
35	an ion with positive charge is formed by atom  losing electrons	nongold
36	objects are made of materials; substances; matter	nongold
37	hydrogen is a kind of element	nongold
38	made of is similar to contains	nongold
39	the structure  of an atom can be used for identifying the element	nongold
40	the basic unit of matter is atom	nongold
41	made up of means contains; made of	nongold
42	elements in group 18 on the Periodic Table of Elements have full; complete outer electron shells	nongold
43	nucleus is synonymous with core; center	nongold
44	a molecule is a kind of particle	nongold
45	can be means able to be	nongold
46	if something does not move then that something can be found in the same location	nongold
47	a particle is a kind of object	nongold
48	composed of means made of	nongold
49	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
50	a molecule is exceptionally small in size	nongold
51	interatomic means existing or acting between atoms	nongold
52	found in means existing in	nongold
53	an energy level means an electron shell	nongold
54	toward is the opposite of away	nongold
55	an element is identified by its number of protons	nongold
56	as distance from a source of something increases , that something will decrease	nongold
57	the nucleus of an atom is usually made of both protons and neutrons	nongold
58	valence electron means the electrons on the outer electron shell	nongold
59	if something is made of something; a material then that something contains that something; that material	nongold
60	outermost is similar to distant	nongold
61	if something is located in some place , then the presence of that something can be found in that location	nongold
62	to detect means to find	nongold
63	a molecule is the smallest particle; unit that has the properties of a compound	nongold
64	particles in objects are a kind of matter	nongold
65	atomic number is a property of elements	nongold
66	atom cannot be divided into smaller substances	nongold
67	length is a measure of distance from one end of an object to the other end of that object	nongold
68	matter is made of molecules	nongold
69	Neptune is the furthest planet from the sun in the solar system	nongold
70	place; location is synonymous with position	nongold
71	elements on the right side of the periodic table tends to form ions by gaining electrons	nongold
72	to be made of something means to be formed of that something	nongold
73	a nonmetal is a kind of element	nongold
74	a proton is a part of an atom; an element	nongold
75	to discover means to find	nongold
76	elements in carbon family have four valence electrons	nongold
77	place is synonymous with location	nongold
78	the properties of something are used for describing that something	nongold
79	high is similar to increase	nongold
80	most of the mass of an atom is located in the nucleus	nongold
81	a source of something emits; produces; generates; provides that something	nongold
82	a pure substance is made of only one kind of atom; molecule	nongold
83	apart means away	nongold
84	area is similar to location	nongold
85	objects contain chemical energy	nongold
86	all elements are a kind of pure substance	nongold
87	approximately means about	nongold
88	the four planets farthest from the sun are made of gas	nongold
89	hydrogen contains chemical energy	nongold
90	charge is a property of an object; a material; a substance and includes ordered values of negatively-charged; neutral; positively-charged	nongold
91	the number in chemical formula shows the number of atoms of each element in a molecule	nongold
92	an ion has a net positive; net negative charge	nongold
93	if something is a part of something else then that something else contains that something	nongold
94	to contain means to have inside	nongold
95	galaxies are located  millions of light years from Earth	nongold
96	if the outermost electron shell of an atom is full; complete , then the  element of those atoms will not react with other elements easily	nongold
97	an electron microscope creates a picture	nongold
98	towards means closer to something	nongold
99	near means local	nongold
