Question	A turtle eating worms is an example of	question
Answer	taking in nutrients	answer
0	an animal; living thing requires nutrients for survival	nongold
1	a turtle is a kind of animal	gold
2	a turtle is a kind of omnivore	gold
3	a turtle is a kind of reptile	nongold
4	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
5	a worm is a kind of living thing	nongold
6	a worm is a kind of animal	gold
7	take in means absorb	nongold
8	eating;digestion is when an organism takes in nutrients from food into itself by eating	gold
9	taking in something means receiving; absorbing; getting something	nongold
10	a food contains nutrients for living things	nongold
11	an animal needs to eat food for nutrients	gold
12	taking in something means acquiring that something	nongold
13	an animal is a kind of living thing	nongold
14	a plant; living thing requires food for survival	nongold
15	to eat means to consume food	nongold
16	an organism is a living thing	nongold
17	taking is the opposite of giving; leaving	nongold
18	diet means what an animal eats	nongold
19	a sea turtle is a kind of animal	nongold
20	predators; carnivores; omnivores eat other animals	gold
21	an aquatic animal is a kind of animal	nongold
22	food is what an animal eats	nongold
23	a kind of something is an example of that something	nongold
24	if an animal eats another animal then that animal is a carnivore or omnivore or predator	gold
25	an animal is a kind of organism	nongold
26	if a living thing requires something then that something has a positive impact on that living thing	nongold
27	predators eat prey	gold
28	to depend on; to rely on; to need means to require	nongold
29	nutrients are a kind of resource	nongold
30	if an organism eats something then that something is a source of frood to that organism	nongold
31	taking in and releasing means exchanging	nongold
32	a living thing is a kind of object	nongold
33	living things eat their food source	nongold
34	to be used for something means to be required by that something	nongold
35	prey is a kind of food for predators	gold
36	a predator eats other animals for food	nongold
37	life means living things	nongold
38	a reptile is a kind of animal	nongold
39	nutrients are a kind of substance	nongold
40	consumption means use	nongold
41	a worm has a tube-like body	nongold
42	requiring something means needing that something	nongold
43	carnivores; omnivores are predators	gold
44	a nutrient is a kind of object	nongold
45	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
46	a sea turtle lives in the ocean	nongold
47	carnivores only eat animals	nongold
48	become prey means get eaten	nongold
49	if something causes a process then that something is required for that process	nongold
50	to prey on an animal means to eat that animal	nongold
51	carnivores; omnivores; herbivores are a kind of animal	nongold
52	to digest means to break down food	nongold
53	eating prey requires catching prey	nongold
54	an organism eating is a kind of action	nongold
55	an animal is a kind of consumer	nongold
56	answering questions requires information	nongold
57	nutrients are a kind of material	nongold
58	a human is a kind of animal	nongold
59	alligators eat frogs; turtles; fish; mice; birds	nongold
60	if something is required for a process then that something positively impacts that process	nongold
61	an earthworm is a kind of animal	nongold
62	digestion is when stomach acid breaks down food	nongold
63	nutrients are a kind of matter	nongold
64	nutrients are simpler than food	nongold
65	reptiles have been on Earth for 370000000 years	nongold
66	digestion is a kind of bodily process	nongold
67	organisms mean life	nongold
68	a worm is a kind of decomposer	nongold
69	survive means live	nongold
70	survive means live	nongold
71	nonliving; non-living; die is the opposite of living; alive; live	nongold
72	eating something decreases the amount of that something	nongold
73	reptiles produce amniotic eggs	nongold
74	a reptile is a kind of vertebrate	nongold
75	a diatom is a kind of organism	nongold
76	living things all require energy for survival	nongold
77	reptiles reproduce through internal fertilization	nongold
78	organisms are a part of an environment	nongold
79	to give is similar to to cause	nongold
80	producing is similar to discharging	nongold
81	omnivores eat plants; animals	nongold
82	an animal requires enough nutrients to maintain good health; survive	nongold
83	a source of something emits; produces; generates; provides that something	nongold
84	consumers eat other organisms	nongold
85	a predator is a kind of animal	nongold
86	high is similar to increase	nongold
87	can be means able to be	nongold
88	a plant; living thing requires nutrients to grow	nongold
89	prey  is a kind of animal	nongold
90	aquatic animal means water animal	nongold
91	take away means decreasing	nongold
92	food is a kind of resource	nongold
93	a crab is a kind of water animal	nongold
94	a plant is a kind of organism	nongold
95	a diatom is a kind of producer	nongold
96	a lizard is a kind of animal	nongold
97	to be formed by is similar to being produced by	nongold
98	a plant is a kind of living thing	nongold
99	death means to die	nongold
