Question	Which of the following converts electrical energy into motion?	question
Answer	electric fan	answer
0	a fan converts electrical energy into mechanical energy; heat energy; sound energy	nongold
1	an electric fan is a kind of electrical device for cooling; ventilation	gold
2	an electric motor is  a part of an electric fan for rotating the vanes in the fan	gold
3	motion; movement means moving; to move	gold
4	the vanes rotating in an electric fan causes air to move	gold
5	electrical devices convert from electrical energy; electricity into other forms of energy	gold
6	a motion is a kind of event; action	nongold
7	a ceiling fan is a kind of fan	nongold
8	an electric motor converts electrical energy into mechanical energy	nongold
9	a source of something emits; produces; generates; provides that something	nongold
10	vibration is a kind of motion	nongold
11	rotation is a kind of motion	gold
12	electrical energy is a kind of energy	nongold
13	electricity means electrical energy	gold
14	to convert means to change	nongold
15	converting is similar to producing	nongold
16	revolving is a kind of motion	nongold
17	a heat engine converts heat energy into mechanical energy	nongold
18	to turn means to convert	nongold
19	pulling is a kind of motion	nongold
20	turning is a kind of motion	nongold
21	movement is a kind of change	nongold
22	rolling is a kind of motion	nongold
23	An example of mechanical energy is an object in motion	nongold
24	emit means produce	nongold
25	a rotation is a kind of movement	nongold
26	moving something is a kind of function	nongold
27	fans are used for cooling humans;rooms	nongold
28	converting is similar to generating	nongold
29	speaker converts electrical energy; electricity into vibrations; sound energy	nongold
30	rotating is similar to moving	nongold
31	an electric motor is a kind of electrical device	nongold
32	generate means produce	nongold
33	flowing is a kind of motion	nongold
34	walking is a kind of motion	nongold
35	moving is similar to travelling	nongold
36	setting is a kind of motion	nongold
37	flying is a kind of motion through air; space	nongold
38	rising is a kind of motion	nongold
39	heat is a kind of energy	nongold
40	sliding is a kind of motion	nongold
41	to transform means to convert	nongold
42	the formation of lightning converts mechanical energy into electrical energy	nongold
43	forming is similar to converting	nongold
44	energy conversion is similar to energy transformation	nongold
45	converting is similar to turning into	nongold
46	a revolution occurs when something revolves around something else	nongold
47	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
48	make means produce	nongold
49	if something generates energy for something else then that something powers that something else	nongold
50	shaking is a kind of motion	nongold
51	revolving is a kind of action	nongold
52	flight is similar to a movement in the air made by an airplane	nongold
53	electric devices require electrical energy to function	nongold
54	a generator converts kinetic energy into electrical energy; electricity	nongold
55	light is a kind of energy	nongold
56	light is a kind of energy	nongold
57	pushing is a kind of motion	nongold
58	lowering is a kind of motion	nongold
59	to produce means to provide	nongold
60	a living thing is a kind of object	nongold
61	an animal is a kind of living thing	nongold
62	to produce means to create	nongold
63	metal is an  electrical; electrical energy conductor	nongold
64	electricity is used as an energy source by electrical devices	nongold
65	objects are made of materials; substances; matter	nongold
66	some light bulbs convert electrical energy; electricity into light energy and heat energy	nongold
67	if something transfers something else then that something is a source of something else	nongold
68	an event is a kind of action	nongold
69	raising is a kind of motion	nongold
70	motion is when moves an object; something to a direction	nongold
71	convert is similar to transfer	nongold
72	running is a kind of movement	nongold
73	speed is a measure of how fast an object is moving	nongold
74	to create means to make	nongold
75	a process is a kind of event	nongold
76	mechanical energy is a kind of energy	nongold
77	an increase is a kind of change	nongold
78	motion is a source of kinetic energy in an object	nongold
79	a doorbell converts electrical energy; electricity into sound energy	nongold
80	to be formed by is similar to being produced by	nongold
81	sliding is a kind of movement	nongold
82	converting is a kind of function	nongold
83	a device is a kind of object	nongold
84	solar energy is a kind of energy	nongold
85	if something is powered by something else then that something requires a source of that something else	nongold
86	skidding is a kind of motion	nongold
87	electricity is made of moving charges; moving charged particles	nongold
88	energy transformation means one kind of energy changes into another kind of energy	nongold
89	moving in a circle means moving in a circular motion	nongold
90	solar energy is a kind of heat energy	nongold
91	products are formed; are produced; are created	nongold
92	to generate means to create	nongold
93	contracting is a kind of movement	nongold
94	rattle is a kind of motion	nongold
95	waving is a kind of motion	nongold
96	rubbing  is a kind of motion	nongold
97	riding is a kind of motion	nongold
98	creating means making	nongold
99	to increase is similar to to create	nongold
