Question	A delta can be seen from the air at the mouth of the Mississippi River. This delta was formed by	question
Answer	deposition of sediment.	answer
0	a delta is formed by sediment depositing at the mouth of a river by water fanning out	gold
1	the Mississippi Delta is a kind of delta	nongold
2	a delta is a kind of geologic structure; landform	nongold
3	an estuary is a kind of body of water	nongold
4	sediment is formed from rock	nongold
5	erosion causes deposition	nongold
6	Mississippi is a state located in the United States of America	nongold
7	sedimentary rocks are formed by deposition; cementation	nongold
8	sediment is formed by weathering	nongold
9	deposition is a kind of natural process	nongold
10	to be made of something means to be formed of that something	nongold
11	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
12	to cause the formation of means to form	nongold
13	sedimentary is a kind of rock	nongold
14	soil and sediment deposited by a river are usually high; rich in nutrients	nongold
15	fossils are formed when layers of sediment cover the remains of organisms over time	nongold
16	a river is a kind of flowing body of water	nongold
17	deposition means to move an object from one location to a  different location	nongold
18	to be formed by is similar to being produced by	nongold
19	a river is a kind of channel for water	nongold
20	sediment falls to the bottom of bodies of water	nongold
21	the formation of something is a kind of process	nongold
22	a riverbed is a part of a river	nongold
23	to form means to create	nongold
24	sediment is a kind of matter	nongold
25	soil erosion is when wind; moving water; gravity move soil from fields; environments	nongold
26	erosion is a kind of process	nongold
27	to view means to see	nongold
28	to be formed by is to be the result of	nongold
29	composed of means made of	nongold
30	stalactites are formed by deposition	nongold
31	nearly all fossils are found in sedimentary rock	nongold
32	sedimentary rocks are made of small particles	nongold
33	an ocean is a kind of body of water	nongold
34	deposition is a kind of constructive force	nongold
35	sediment is similar to soil	nongold
36	if something is made of something else then the formation of that something requires that something else	nongold
37	sight means to see	nongold
38	atmosphere means  air	nongold
39	made up of means contains; made of	nongold
40	a process is a kind of event	nongold
41	state means form	nongold
42	a whole is formed by its parts	nongold
43	organisms can be preserved in sedimentary rock	nongold
44	to make means to form	nongold
45	the formation of rock is a kind of process	nongold
46	only fossils formed from organisms that lived in the sea are found in the oldest layers of sedimentary rock	nongold
47	air is a kind of gas	nongold
48	a stream is a kind of body of water	nongold
49	sinkholes; caves are formed by precipitation; infiltration	nongold
50	sea means ocean	nongold
51	to change into means to form	nongold
52	sight is a kind of sense	nongold
53	an aquatic animal is a kind of animal	nongold
54	a body of water contains water	nongold
55	to see means to look	nongold
56	soil erosion is a kind of event	nongold
57	a valley is formed by a river flowing	nongold
58	weathering; erosion usually occurs over a period of many years	nongold
59	rocks; soil; materials interacting with wind; moving water over long periods of time causes weathering	nongold
60	when a river floods , that river deposits soil; sediment in flood plains	nongold
61	if something causes a process then that something is required for that process	nongold
62	to produce means to create	nongold
63	water is a kind of object	nongold
64	the atmosphere is a kind of area	nongold
65	to happen means to occur	nongold
66	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
67	a part of a process means a stage in a process	nongold
68	aquatic animals; plants live in bodies of water	nongold
69	the earliest sediments of oxidized rock can provide evidence for oxygen accumulation in Earth's atmosphere	nongold
70	soil erosion means soil loss through wind;water; animals	nongold
71	visible means able to be seen	nongold
72	answering questions requires information	nongold
73	desublimation; deposition means matter; a substance changes from a gas into a solid by decreasing heat energy	nongold
74	fossil means preserved remains of ancient organisms	nongold
75	Missouri is a state located in the United States of America	nongold
76	a structure of something is synonymous with a part of that something	nongold
77	to be formed means to be originated	nongold
78	fossil fuels; fossils are formed from dead organisms over time	nongold
79	an ocean contains waves	nongold
80	something that happens is a kind of event	nongold
81	something that contains water is similar to a body of water	nongold
82	erosion causes a river to become deeper and wider	nongold
83	furthest; farthest means greatest; most; highest in distance	nongold
84	sand  is a kind of material	nongold
85	products are formed; are produced; are created	nongold
86	a source of something emits; produces; generates; provides that something	nongold
87	form means kind	nongold
88	can be means able to be	nongold
89	limestone is a kind of sedimentary rock	nongold
90	to create means to make	nongold
91	erosion is a kind of change	nongold
92	greatest means largest; highest; most amount of something	nongold
93	to increase is similar to to create	nongold
94	weathering is a kind of erosion	nongold
95	events occur at a specific place; at a specific time; with a specific frequency	nongold
96	soil is formed by rocks eroding	nongold
97	breaking down is a kind of forming	nongold
98	an event is a kind of action	nongold
99	to decompose means to separate	nongold
