Question	Electricity to play your radio can be made using renewable or nonrenewable resources. Which of the following resources are renewable?	question
Answer	wind and sunlight	answer
0	wind is a renewable; inexhaustible resource	gold
1	fossil fuels are a nonrenewable resource	nongold
2	wind is a source of energy	nongold
3	solar energy is a renewable; inexhaustible resource	gold
4	a renewable resource is a kind of natural resource	nongold
5	wind is used for producing electricity	nongold
6	renewable is the opposite of nonrenewable	nongold
7	fossil fuels are a kind of energy resource	nongold
8	sunlight means solar energy	nongold
9	electricity means electrical energy	nongold
10	sunlight is a kind of solar energy	gold
11	a radio converts electrical energy into vibrations; sound energy	nongold
12	a fossil fuel is a kind of natural resource	nongold
13	a radio is a kind of electrical device	nongold
14	a radio is used for communication	nongold
15	a radio contains a speaker	nongold
16	solar energy is a source of electricity	nongold
17	a source of something emits; produces; generates; provides that something	nongold
18	an energy source is a kind of resource	nongold
19	a portable radio is a kind of radio	nongold
20	renewable resources are often available for many years	nongold
21	electrical energy is a kind of energy	nongold
22	natural gas is a nonrenewable resource	nongold
23	oil is a nonrenewable resource	nongold
24	the sun is a source of light; light energy called sunlight	nongold
25	solar energy is a kind of energy	nongold
26	can be means able to be	nongold
27	the sun is the source of solar energy called sunlight	nongold
28	oil is a kind of fossil fuel	nongold
29	resources sometimes are used for energy	nongold
30	producing renewable electric energy requires renewable resources	nongold
31	the sun is a source of radiation; heat called sunlight	nongold
32	to be used for something means to be required by that something	nongold
33	make means produce	nongold
34	a material is a kind of resource	nongold
35	answering questions requires information	nongold
36	natural gas is a kind of fossil fuel	nongold
37	nonrenewable resources forming occurs over a period of 300000000 years which is considered a  very long time to a human	nongold
38	a radio is a kind of tool	nongold
39	a renewable resource is a kind of naturally replaced resource	nongold
40	solar power means solar energy	nongold
41	electricity is used as an energy source by electrical devices	nongold
42	renewable resources can be used over again	nongold
43	an inexhaustible resource is a kind of renewable resource	nongold
44	metal is a nonrenewable resource	nongold
45	if something is powered by something else then that something requires a source of that something else	nongold
46	both means two	nongold
47	to cause means to make	nongold
48	solar energy is a kind of heat energy	nongold
49	sunlight is a kind of light	nongold
50	making something requires resources	nongold
51	a renewable resource can be renewed	nongold
52	if something causes a process then that something is required for that process	nongold
53	petroleum is a kind of fossil fuel	nongold
54	plants are a kind of resource	nongold
55	to depend on; to rely on; to need means to require	nongold
56	if something requires something else then that something requires a source of that something else	nongold
57	emit means produce	nongold
58	if something generates energy for something else then that something powers that something else	nongold
59	wind means moving air	nongold
60	a component means a part of	nongold
61	to power means to provide energy for	nongold
62	to provide something means to be the source of that something	nongold
63	oil is a kind of energy resource	nongold
64	a component of something means a part of that something	nongold
65	to be formed by is similar to being produced by	nongold
66	an event is a kind of action	nongold
67	a type is synonymous with a kind	nongold
68	sunlight produces heat	nongold
69	to create means to make	nongold
70	where something  comes from is a source of that something	nongold
71	generate means produce	nongold
72	sound is a kind of energy	nongold
73	metal is a kind of natural resource	nongold
74	solar energy is a kind of light	nongold
75	a renewable resource can be replaced	nongold
76	a source of something increases the amount of that something	nongold
77	high is similar to increase	nongold
78	the radio converts radio waves into mechanical waves in the speaker	nongold
79	if something comes from something else then that something else is a source of that something	nongold
80	the function of something is what that something  is used to do	nongold
81	an object; material; substance comes from that object or material's source	nongold
82	creating means making	nongold
83	solar energy is an inexhaustible resource	nongold
84	a process is a kind of event	nongold
85	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
86	to be a combination of means to be made of	nongold
87	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
88	a nonrenewable resource is limited in supply	nongold
89	consumption means use	nongold
90	using renewable resources to generate power reduces greenhouse gases	nongold
91	windy means high wind speeds	nongold
92	a  plant requires sunlight for photosynthesis	nongold
93	if something is required for a process then that something positively impacts that process	nongold
94	if something transfers something else then that something is a source of something else	nongold
95	if something is a raw material then that something comes directly from a source	nongold
96	fuel is a kind of energy source	nongold
97	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
98	to be made of something means to be formed of that something	nongold
99	all elements are a kind of pure substance	nongold
