Question	Light travels fastest through which of the following?	question
Answer	a vacuum	answer
0	light travels fastest through a vacuum	gold
1	light can travel through a vacuum	nongold
2	space is a vacuum	nongold
3	the space between the Sun and earth is a vacuum	nongold
4	fastest means greatest in  speed	nongold
5	a vacuum has no matter in it	nongold
6	waves usually cannot travel through a vacuum	nongold
7	faster means an increase; higher in speed	nongold
8	faster means increased rate	nongold
9	electromagnetic waves can travel through a vacuum and matter	nongold
10	sound cannot travel through a vacuum	nongold
11	light travels faster than sound	nongold
12	sound travels fastest through solid	nongold
13	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
14	sunlight is a kind of light	nongold
15	light means light energy	nongold
16	media; medium means the material something travel through	nongold
17	travel means to move	nongold
18	fast means quickly	nongold
19	particles in a solid are slower than particles in a liquid	nongold
20	speed is a measure of how fast an object is moving	nongold
21	speed is  a measure of how fast the wave passes the medium	nongold
22	furthest; farthest means greatest; most; highest in distance	nongold
23	high speed means fast	nongold
24	to pass through means to move through	nongold
25	transport means to move; to make travel	nongold
26	light is a kind of electromagnetic radiation	nongold
27	speed is a property of an object and includes values of slow; fast	nongold
28	moving is similar to travelling	nongold
29	high is similar to increase	nongold
30	if an object accelerates then that object will go faster	nongold
31	particles in a liquid are slower than particles in a gas	nongold
32	fast is the opposite of slow	nongold
33	to pass means to travel	nongold
34	rate is similar to speed	nongold
35	answering questions requires information	nongold
36	twice the speed of is simiar to  faster	nongold
37	to run through means to transfer	nongold
38	quickly means in a short period of time	nongold
39	material means substance	nongold
40	light is a kind of energy	nongold
41	light is a kind of energy	nongold
42	to undergo is similar to to pass through	nongold
43	as kinetic energy of an object increases , that object will travel faster	nongold
44	increase means more	nongold
45	slowest means lowest in  speed	nongold
46	solid is a kind of state of matter	nongold
47	rapidly means quickly	nongold
48	to depend on; to rely on; to need means to require	nongold
49	if something enters something else then that something is in that something else	nongold
50	refraction is when light passes from one medium to another medium	nongold
51	distance moved; distance travelled is a measure of how far an object moves	nongold
52	gas is a kind of state of matter	nongold
53	passing through is similar to entering	nongold
54	an increase is the opposite of a decrease	nongold
55	to lower means to decrease	nongold
56	can be means able to be	nongold
57	both means two	nongold
58	radiation is when electromagnetic waves transfers heat and light energy	nongold
59	an event is a kind of action	nongold
60	a source of something emits; produces; generates; provides that something	nongold
61	particles in objects are a kind of matter	nongold
62	to add means to increase	nongold
63	sound travels slowest through gas	nongold
64	a room is a kind of container	nongold
65	once means one time	nongold
66	denser means more dense	nongold
67	a solid is a kind of substance	nongold
68	speed up means increase	nongold
69	greatest means largest; highest; most amount of something	nongold
70	light is a kind of wave	nongold
71	to pass into means to enter	nongold
72	a living thing is a kind of object	nongold
73	an increase is a kind of change	nongold
74	a process is a kind of event	nongold
75	variable means able to change	nongold
76	matter; materials; substances are made of atoms; particles	nongold
77	seconds are a kind of unit for measuring time	nongold
78	state means form	nongold
79	a component of something means a part of that something	nongold
80	a component means a part of	nongold
81	if something required by something else is in a place then that something else may be in that place	nongold
82	state of matter means physical state	nongold
83	physical state means state of matter	nongold
84	liquid is a kind of state of matter	nongold
85	a container contains objects; material; substances	nongold
86	if a medium is denser , then the medium will be another medium	nongold
87	gas is a kind of substance	nongold
88	form means kind	nongold
89	a source of something increases the amount of that something	nongold
90	an object; material; substance comes from that object or material's source	nongold
91	to give is similar to to cause	nongold
92	to reach somewhere requires traveling	nongold
93	a type is synonymous with a kind	nongold
94	an animal is a kind of living thing	nongold
95	once per means every	nongold
96	volume is a property of matter	nongold
97	substances are made of matter	nongold
98	to slow; to slow down decreases speed	nongold
99	a state is a kind of place	nongold
