Question	Sodium chloride, commonly called "table salt," is made up of sodium and chlorine that have been combined chemically. Which term best describes sodium chloride?	question
Answer	Compound	answer
0	sodium chloride is always made of chemically combined chlorine and sodium	gold
1	chlorine is a kind of element	gold
2	table salt means sodium chloride	nongold
3	hydrogen chloride is made of hydrogen and chlorine	nongold
4	table salt is a kind of salt	nongold
5	a compound is made of two or more elements that have been chemically combined	gold
6	combining; mixing two substances chemically causes chemical reactions	nongold
7	sodium chloride means salt	nongold
8	sodium chloride is a kind of chemical compound	nongold
9	sodium chloride is a kind of substance	nongold
10	sodium is a kind of element	gold
11	salt is a kind of pure substance	nongold
12	hydrochloric acid is made of hydrogen chloride dissolved in water	nongold
13	to be a combination of means to be made of	nongold
14	made up of means contains; made of	nongold
15	a compound is a kind of substance	nongold
16	compound is a kind of chemical	nongold
17	sodium chloride dissolves in water when they are combined	nongold
18	the properties of something are used for describing that something	nongold
19	a compound can be chemically separated into the elements that it is made of	nongold
20	a chemical compound is a kind of compound	nongold
21	best means most positive	nongold
22	chlorine is a kind of green, poisonous gas	nongold
23	to be made of something means to be formed of that something	nongold
24	salt is a kind of solid	nongold
25	composed of means made of	nongold
26	if a substance is made of one element , then the substance is called an element	nongold
27	to add means to combine	nongold
28	sodium is a kind of metal	nongold
29	lithium; sodium; potassium; rubidium; caesium; francium is located in alkali metals; group 1 on the periodic table	nongold
30	potassium is a kind of element	nongold
31	all elements are a kind of pure substance	nongold
32	substances are made of elements	nongold
33	hydrochloric acid is a kind of acid	nongold
34	zinc chloride is a kind of compound	nongold
35	an element is a kind of  substance	nongold
36	In the solution salt water , the solute is salt	nongold
37	made of is similar to contains	nongold
38	to be made of means to consist of	nongold
39	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
40	a liquid is a kind of substance	nongold
41	NaCl means sodium chloride	nongold
42	Fluorine(F); Chlorine(Cl); Bromine(Br); Iodine(I); Astatine(At) is located in halogens family; group 17 on the periodic table	nongold
43	if something is dissolved , then that something is the solute	nongold
44	a source of something emits; produces; generates; provides that something	nongold
45	chemical reactivity is a property of elements and includes ordered values of reactive; unreactive	nongold
46	hydrogen is a kind of element	nongold
47	An example of a chemical property is the elements a compound is made of	nongold
48	a nonmetal is a kind of element	nongold
49	salt is soluble in water	nongold
50	chemicals means substances	nongold
51	an mixture is formed by two or more substances combined together physically	nongold
52	if something is made of something; a material then that something contains that something; that material	nongold
53	chromium is a kind of metal	nongold
54	water is a kind of compound	nongold
55	sodium chloride is a kind of molecule	nongold
56	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
57	substances have chemical properties	nongold
58	plus means to combine	nongold
59	nonmetal means nonmetals	nongold
60	both means two	nongold
61	a compound is a kind of material	nongold
62	sodium carbonate is a kind of  compound	nongold
63	a solute can be dissolved in a solvent when they are combined	nongold
64	when two substances together form a compound then those substances cannot be physically separated	nongold
65	if two substances together form a mixture then those substances can be separated from one another by physical changes	nongold
66	acidity is a property of chemicals; substances and includes ordered values of basic; neutral; acidic	nongold
67	an element cannot be decomposed into two or more different substances by simple chemical methods	nongold
68	if something is made of something else , then that something else will be the component of that something	nongold
69	Calcium; Beryllium; Strontium; Radium; Barium; Magnesium is located in alkaline earth metal family; group 2 on the periodic table	nongold
70	a solid is a kind of substance	nongold
71	neutralization is when an acid and a base react to form water and salt	nongold
72	to convert means to change	nongold
73	salt is made of salt crystals	nongold
74	organic compounds do not contain potassium	nongold
75	a description sometimes provides information	nongold
76	can be means able to be	nongold
77	ammonia is a kind of base	nongold
78	K means potassium	nongold
79	if the elements have similar chemical reactivity , then the elements will react with other elements in a similar way	nongold
80	mixture means solids combined together that maintain their physical properties	nongold
81	the chemistry of something is similar to what that something is made of	nongold
82	if solids are combined physically , then the physical properties of the solids will stay the same	nongold
83	typically means usually	nongold
84	if a substance is dissolved in another substance then that substance is added to that other substance	nongold
85	material means substance	nongold
86	a halogen is a kind of element	nongold
87	chemical reactions cause chemical change	nongold
88	nonmetal means not metal	nongold
89	the parts of something make up that something	nongold
90	if something is made of something else then that something can be broken down into that something else	nongold
91	not is similar to the opposite of	nongold
92	composition means the (materials, substances) of which something is composed	nongold
93	state means form	nongold
94	salt water is made of salt and water	nongold
95	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
96	Na means sodium	nongold
97	make means produce	nongold
98	if something comes from something else then that something else is a source of that something	nongold
99	if something is a source of something else then that something usually contains that something else	nongold
