Question	The Moon has the greatest effect on Earth's	question
Answer	ocean tides	answer
0	ocean tides are a kind of phenomenon	nongold
1	to cause means to have an effect	gold
2	the gravitational pull of the Moon on Earth's oceans causes the tides	gold
3	an ocean is a kind of body of water	nongold
4	the gravitational pull of the Sun on Earth's oceans causes the tides	nongold
5	a moon is a kind of celestial object; body	nongold
6	the Moon is Earth's moon	nongold
7	Earth is a kind of planet	nongold
8	impact means effect	nongold
9	tidal means related to tides	nongold
10	to impact means to affect	nongold
11	to change means to have an effect	nongold
12	as the gravitational pull of the moon on the Earth decreases , the size of the tides on Earth decrease	nongold
13	a planet is a kind of celestial object; body	nongold
14	a tide is a kind of natural event	nongold
15	greatest means largest; highest; most amount of something	nongold
16	the tide is when ocean levels periodically rise; fall	nongold
17	moons are large; solid; spherical	nongold
18	greater means higher; more in value	nongold
19	an ocean contains waves	nongold
20	influence means effect	nongold
21	if something has a positive impact on something else then increasing the amount of that something has a positive impact on that something else	nongold
22	oceans are located on Earth	nongold
23	increase means more	nongold
24	sea means ocean	nongold
25	furthest; farthest means greatest; most; highest in distance	nongold
26	high is similar to increase	nongold
27	as gravitational pull of the moon decreases , the ocean tides will be lower	nongold
28	the moon orbits the Earth	nongold
29	harming something has a  negative impact on; effect on that something	nongold
30	an increase is the opposite of a decrease	nongold
31	to add means to increase	nongold
32	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
33	an increase is a kind of change	nongold
34	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
35	high tide is a stage in the tide cycle process	nongold
36	low tide is a stage in the tide cycle process	nongold
37	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
38	low is similar to decrease	nongold
39	ocean wave is a kind of wave	nongold
40	oceans contains most of  earth's water	nongold
41	negative impact is the opposite of positive impact	nongold
42	largest amount means most	nongold
43	having an impact on something means altering that something	nongold
44	to reduce means to decrease	nongold
45	the surface of the Earth is made of 70% ocean	nongold
46	less is similar to decrease	nongold
47	causing is a kind of affecting	nongold
48	answering questions requires information	nongold
49	change is a kind of impact	nongold
50	a factor impacts something	nongold
51	if something causes an increase in something else then that something produces that something else	nongold
52	a decrease is a kind of change	nongold
53	spring tides occur during a full moon	nongold
54	highest means largest; greatest; most in height	nongold
55	the Sun is a kind of star	nongold
56	the Moon has less water; air than Earth	nongold
57	largest means greatest in size	nongold
58	higher means greater; above in value; amount; number	nongold
59	if something affects a part of something else then that something affects that something else	nongold
60	lowest means least in value; amount; number	nongold
61	type of moon; kind of moon means moon phase	nongold
62	spring tides occur during a new moon	nongold
63	a source of something emits; produces; generates; provides that something	nongold
64	extreme means very high in value	nongold
65	moons; comets; planets are part of the solar system	nongold
66	to lower means to decrease	nongold
67	solution is similar to a positive impact	nongold
68	a star is a kind of celestial object; celestial body	nongold
69	helping something has a  positive impact on that something	nongold
70	to act on means to affect	nongold
71	an event is a kind of action	nongold
72	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
73	ocean current is a kind of water	nongold
74	causing means influencing	nongold
75	oceans cover 70% of the surface of the earth	nongold
76	heat means heat energy	nongold
77	a motion is a kind of event; action	nongold
78	hot means high in heat energy; temperature	nongold
79	the ocean system is a kind of system	nongold
80	moons orbit planets	nongold
81	decreasing something positive has a negative impact on a thing	nongold
82	a full moon is a kind of phase of the moon	nongold
83	spring tide is when high tide is at its greatest distance from low tide	nongold
84	the ocean contains large amounts of salt water	nongold
85	Earth's surface is made of rock	nongold
86	if something is required for a process then that something positively impacts that process	nongold
87	less is the opposite of more	nongold
88	best means most positive	nongold
89	influence means impact	nongold
90	waves are made of moving water	nongold
91	a planet's  moon is smaller than that planet	nongold
92	the earth has more mass than the moon	nongold
93	decreasing something negative has a positive impact on a thing	nongold
94	to change means to cause a change	nongold
95	affected means changed	nongold
96	the moon reflects sunlight towards the Earth	nongold
97	to be a source of something means to cause that something	nongold
98	to be good for means to have a positive impact on	nongold
99	variable means able to change	nongold
