Question	During which stage of an insect's life cycle does the female lay eggs?	question
Answer	adult	answer
0	a female insect lays eggs during the adult stage of an insect's life cycle	gold
1	some adult animals lay eggs	nongold
2	an insect is a kind of animal	nongold
3	reproduction is a stage in the life cycle process	nongold
4	An example of reproduction is laying eggs	nongold
5	adulthood is a stage in the life cycle process	nongold
6	life means living things	nongold
7	an animal is a kind of living thing	nongold
8	some animals have offspring by laying eggs	nongold
9	a living thing is a kind of object	nongold
10	all living things have life cycles	nongold
11	an organism is a living thing	nongold
12	organisms move through the stages of the life cycle	nongold
13	most insects reproduce by sexual reproduction	nongold
14	an insect is a kind of prey	nongold
15	reproduction occurs during adulthood	nongold
16	An insect is a pollinating animal	nongold
17	laying eggs is a kind of property of an animal	nongold
18	a larva is a kind of young; baby insect	nongold
19	an animal is a kind of organism	nongold
20	incomplete metamorphosis is when an insect reaches the adult stage without being a pupa	nongold
21	live birth means developing inside the mother instead of an egg	nongold
22	a part of a process means a stage in a process	nongold
23	a process usually requires all of the stages in that process	nongold
24	the last stage of a life cycle occurs at the end of a life cycle	nongold
25	a mother is a kind of female parent	nongold
26	an ant is a kind of insect	nongold
27	adult is similar to mature	nongold
28	reproduction produces; produce offspring	nongold
29	a cycle is a kind of process	nongold
30	gamete development is a stage in the sexual reproduction process	nongold
31	an insect has three body parts	nongold
32	a step in a process means a stage in a process	nongold
33	reproduction increases the number; population of a living thing	nongold
34	young means immature	nongold
35	an egg is a kind of food	nongold
36	if a living thing requires something then that something has a positive impact on that living thing	nongold
37	an egg is a kind of object	nongold
38	answering questions requires information	nongold
39	if an animal hatches from an egg then that animal is born	nongold
40	a cycle happens; occurs repeatedly	nongold
41	the cocoons being created occurs during the the pupa stage in a life cycle	nongold
42	to reproduce means to have; to produce offspring	nongold
43	a mother births offspring	nongold
44	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	nongold
45	reproductive behavior is an inherited characteristic	nongold
46	reproduction is a kind of process	nongold
47	gamete means sex cell	nongold
48	metamorphosis is a stage in the life cycle process of some animals	nongold
49	laying down is a kind of action	nongold
50	fertilization is a stage in the sexual reproduction process	nongold
51	two females can not usually reproduce with each other	nongold
52	an event is a kind of action	nongold
53	to produce means to result in	nongold
54	a source of something emits; produces; generates; provides that something	nongold
55	high is similar to increase	nongold
56	an animal requires a mate to fertilize an egg	nongold
57	living things can all reproduce	nongold
58	lifetime is similar to life cycle	nongold
59	to be formed by is similar to being produced by	nongold
60	a type is synonymous with a kind	nongold
61	a component of something means a part of that something	nongold
62	a process is a kind of event	nongold
63	an insect usually has a small size	nongold
64	birds lay eggs	nongold
65	to happen means to occur	nongold
66	an animal; living thing requires nutrients for survival	nongold
67	a component means a part of	nongold
68	death means to die	nongold
69	embryos are a stage in the animal development process	nongold
70	an animal is a kind of eukaryote	nongold
71	producing is similar to causing	nongold
72	to be used for something means to be required by that something	nongold
73	if something causes a process then that something is required for that process	nongold
74	growth is a stage in the life cycle process	nongold
75	reptiles lay eggs	nongold
76	organisms mean life	nongold
77	to attract females; males means to attract mates	nongold
78	fertilization is when an egg cell becomes fertilized	nongold
79	amphibians lay eggs	nongold
80	sexual reproduction is a kind of reproduction	nongold
81	an egg cell is a kind of sex cell	nongold
82	nonliving; non-living; die is the opposite of living; alive; live	nongold
83	a motion is a kind of event; action	nongold
84	the reproductive system is a kind of body system	nongold
85	events occur at a specific place; at a specific time; with a specific frequency	nongold
86	can be means able to be	nongold
87	once per means every	nongold
88	In the mammal life cycle , birth start	nongold
89	a plant; living thing requires food for survival	nongold
90	if an event is required for a process then that event must occur before that process can occur	nongold
91	animals require fertilization to reproduce	nongold
92	if something causes an increase in something else then that something produces that something else	nongold
93	a zygote is a kind of fertilized ovum; egg	nongold
94	increase means more	nongold
95	something that happens is a kind of event	nongold
96	insects have been on Earth for 400000000 years	nongold
97	to depend on; to rely on; to need means to require	nongold
98	the reproductive system is used for continuing the species	nongold
99	to cause an event is similar to being involved in that event	nongold
