Question	Which statement about photosynthesis and respiration is true?	question
Answer	Photosynthesis stores energy and respiration releases energy.	answer
0	photosynthesis stores; captures energy	gold
1	respiration releases energy	gold
2	to emit means to release	nongold
3	carbohydrates store chemical energy	nongold
4	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
5	converting is similar to releasing	nongold
6	contain is similar to store	nongold
7	photosynthesis is a kind of chemical  process	nongold
8	if something converts one kind of energy into other kinds of energy then that something originally stores that energy as the first kind of energy	nongold
9	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
10	producing is similar to releasing	nongold
11	the photosynthetic life performs photosynthesis	nongold
12	if something releases something else then that something is the source of that something else	nongold
13	photosynthesis is a kind of chemical reaction	nongold
14	to store means to hold	nongold
15	a source of something emits; produces; generates; provides that something	nongold
16	produce is similar to release	nongold
17	photosynthesizing means performing photosynthesis	nongold
18	heat is a kind of energy	nongold
19	chemical energy is a kind of energy	nongold
20	an exothermic process releases heat energy; light energy	nongold
21	most chemical reactions release or absorb heat energy	nongold
22	food contains carbohydrates	nongold
23	solar energy is a kind of energy	nongold
24	food is a source of energy for animals; plants	nongold
25	food is a kind of chemical energy	nongold
26	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
27	cellular respiration is a kind of process	nongold
28	emit means produce	nongold
29	a  plant requires sunlight for photosynthesis	nongold
30	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
31	solar energy is a kind of heat energy	nongold
32	if something transfers something else then that something is a source of something else	nongold
33	cellular respiration is when cells break down; extract energy from food to produce energy	nongold
34	cellular respiration is when a cell converts from oxygen and carbohydrates into carbon dioxide, water, and energy	nongold
35	to add means to increase	nongold
36	cellular respiration is cellular digestion	nongold
37	if something causes an increase in something else then that something produces that something else	nongold
38	heat means heat energy	nongold
39	green plants are a kind of producer	nongold
40	living things require respiration to use energy	nongold
41	cellular respiration is a source of energy for cell activities	nongold
42	exergonic chemical reactions only release energy	nongold
43	if something transfers energy to something else then that something else absorbs that energy	nongold
44	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
45	converting is similar to producing	nongold
46	releasing energy is a kind of function	nongold
47	solar energy is a kind of light	nongold
48	a process is a kind of event	nongold
49	hydrogen contains chemical energy	nongold
50	high is similar to increase	nongold
51	products are formed; are produced; are created	nongold
52	conversion is a kind of process	nongold
53	life means living things	nongold
54	a plant requires photosynthesis to grow; survive	nongold
55	if something generates energy for something else then that something powers that something else	nongold
56	In the cellular respiration process heat is a by-product in animals	nongold
57	usually plants store the food they produce for future use	nongold
58	a plant is a kind of living thing	nongold
59	a leaf performs photosynthesis; gas exchange	nongold
60	sunlight is a kind of solar energy	nongold
61	producing is a kind of process	nongold
62	energy transformation means one kind of energy changes into another kind of energy	nongold
63	the sun is the source of energy for life on Earth	nongold
64	a food contains nutrients for living things	nongold
65	both means two	nongold
66	if something is made of something; a material then that something contains that something; that material	nongold
67	plants are a source of oxygen through photosynthesis	nongold
68	to exhale means to release	nongold
69	evaporation is a kind of process	nongold
70	to give off means to be the source of	nongold
71	thermal energy is a kind of energy	nongold
72	if something is a raw material in a process then that something is required for that process	nongold
73	combustion is a kind of chemical change	nongold
74	a part of a process means a stage in a process	nongold
75	organisms are made of carbon	nongold
76	photosynthesis is a source of oxygen	nongold
77	to contain means to have inside	nongold
78	an increase is a kind of change	nongold
79	a tree is a kind of plant	nongold
80	a source of something supplies that something	nongold
81	an organism is a living thing	nongold
82	if something gains something from something else then that something else is a source of that something	nongold
83	a plant; living thing requires food for survival	nongold
84	if something absorbs something else then that something will contain that something else	nongold
85	a producer is a kind of living thing	nongold
86	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
87	cellular energy is a kind of chemical energy	nongold
88	if something is a part of something else then that something else contains that something	nongold
89	an event is a kind of action	nongold
90	In the cellular respiration; animal respiration process carbon dioxide is a waste product	nongold
91	a plant is a kind of organism	nongold
92	if something causes a process then that something is required for that process	nongold
93	Earth is a kind of planet	nongold
94	food is a kind of substance	nongold
95	if something is a source of something else then that something usually contains that something else	nongold
96	made up of means contains; made of	nongold
97	In the food chain process a  green plant has the role of  producer	nongold
98	nutrients are a source of energy for living things	nongold
99	an organism breaks down sugar to release energy	nongold
