Question	In Florida, both panthers and bobcats prey on white-tailed deer. How will their competition for food most likely be affected if white-tailed deer populations in Florida suddenly decreases?	question
Answer	Competition will increase between bobcats and panthers.	answer
0	a bobcat is a kind of predator	gold
1	a panther is a kind of predator	gold
2	as the population of prey decreases , competition between predators will increase	gold
3	if two animals eat the same prey then those animals compete for that prey	nongold
4	whitetail deer is a kind of deer	nongold
5	as  population of prey decreases , the population of predators will  decrease	nongold
6	harming an animal species causes that animal's population to decrease	nongold
7	if two animals have the same food source then those two animals compete for food	nongold
8	an animal is a kind of living thing	nongold
9	as population of predators decreases , the population of prey will increase in an environment	nongold
10	a predator eats other animals for food	nongold
11	a deer is a kind of animal	nongold
12	a deer is a kind of prey	gold
13	panda is a kind of animal	nongold
14	an increase is the opposite of a decrease	nongold
15	as population of predators increases , the population of prey will decrease in an environment	nongold
16	hunting; overhunting decreases animal populations	nongold
17	eating something decreases the amount of that something	nongold
18	killing a living thing decreases the number; population size of that living thing	nongold
19	a living thing is a kind of object	nongold
20	a decrease is a kind of change	nongold
21	to prey on an animal means to eat that animal	nongold
22	as competition for resources decreases , the ability to compete for resources will increase	nongold
23	white fur is white in color	nongold
24	as the population of an animal decreases , the population of that animal's source of food will decrease	nongold
25	an increase is a kind of change	nongold
26	predators eat prey	nongold
27	affected means changed	nongold
28	competition may cause animals to fight; to make threatening sounds; to act aggressively towards members of their own species	nongold
29	harming an animal species has a  negative impact on the population size of that species	nongold
30	a living thing surviving has a positive impact on that living thing's ability to compete for resources	nongold
31	fur is usually part of a mammal	nongold
32	impact means effect	nongold
33	harming something has a  negative impact on; effect on that something	nongold
34	If an organism survives competition for resources then this organism will survive; reproduce for  natural selection	nongold
35	reproduction increases the number; population of a living thing	nongold
36	to impact means to affect	nongold
37	an animal; living thing requires nutrients for survival	nongold
38	a predator is a kind of animal	nongold
39	negative impacts on a species will decrease populations of a species	nongold
40	as the cause of something decreases , that something will decrease	nongold
41	if a new predator begins eating prey then the population of that prey will decrease	nongold
42	if an animal eats another animal then that animal is a carnivore or omnivore or predator	nongold
43	an animal is a kind of organism	nongold
44	if something affects a part of something else then that something affects that something else	nongold
45	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
46	if a living thing requires something then that something has a positive impact on that living thing	nongold
47	predators; carnivores; omnivores eat other animals	nongold
48	prey is a kind of food for predators	nongold
49	a predator usually kills its prey to eat it	nongold
50	population increase means more survive	nongold
51	prey  is a kind of animal	nongold
52	as a resource required by an organism decreases , the competition among organisms that require that resource will increase	nongold
53	killing means changing a living thing from alive to dead by harming	nongold
54	change is a kind of impact	nongold
55	fur is often part of an animal	nongold
56	an animal needs to eat food for nutrients	nongold
57	eating prey requires catching prey	nongold
58	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
59	causing is a kind of affecting	nongold
60	Florida is a state located in the United States of America	nongold
61	an organism is a living thing	nongold
62	as the rate of  reproduction decreases , the population will decrease	nongold
63	increase means more	nongold
64	a mammal is a kind of animal	nongold
65	to change means to have an effect	nongold
66	to eat means to consume food	nongold
67	if an organism eats something then that something is a source of frood to that organism	nongold
68	living things eat their food source	nongold
69	food is what an animal eats	nongold
70	high is similar to increase	nongold
71	white is a kind of color	nongold
72	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
73	both means two	nongold
74	a rabbit is a kind of prey	nongold
75	survive means live	nongold
76	survive means live	nongold
77	a food contains nutrients for living things	nongold
78	a rabbit is a kind of mammal	nongold
79	if living things with one trait outnumber those living things with a different trait in a population then the living things with that one trait probably have a better chance of surviving and reproducing	nongold
80	coloration is a kind of adaptation for hiding;camouflage	nongold
81	a deer is a kind of herbivore	nongold
82	harming an environment causes harm to the living things; to the organisms in that environment	nongold
83	as the amount of a source of something decreases , the amount of that something will decrease	nongold
84	a population is all of the interbreeding members  of a certain species in an ecosystem	nongold
85	if the population of an organism increases then the ecosystem may become overpopulated with that organism	nongold
86	positive impacts on a species will increase populations of a species	nongold
87	hawks;eagles eat snakes;lizards; rats; rabbits; mice	nongold
88	a source of something increases the amount of that something	nongold
89	a rabbit is a kind of animal	nongold
90	humans changing an environment causes animal populations to decrease in that environment	nongold
91	low is similar to decrease	nongold
92	hunting is when an animal kills another animal to eat that animal	nongold
93	diet means what an animal eats	nongold
94	coloration means a thing's color	nongold
95	if an animal takes a resource from another animal then that animal competes for resources successfully	nongold
96	gaining is similar to increasing	nongold
97	an organism's environment affects that organism's acquired characteristics	nongold
98	as the ability to survive; ability to reproduce of a living thing increases , the likelyhood of  passing on its traits to its decendents will increase	nongold
99	killing means harming something causing death	nongold
