Question	A baby horse will inherit all of these traits from its parents except	question
Answer	preferred food.	answer
0	a horse is a kind of animal	nongold
1	a food preference is a kind of preference	gold
2	a baby is the offspring of a parent	nongold
3	a baby is the offspring of a parent	gold
4	a baby is a kind of young animal	nongold
5	favorite means highest preference	nongold
6	a puppy is a young; baby dog	nongold
7	inheriting is when an inherited characteristic is copied; is passed from parent to offspring by genetics;DNA	gold
8	a father is a kind of male parent	nongold
9	children; young is synonymous with offspring	nongold
10	preferences are generally learned characteristics	gold
11	an inherited characteristic is a kind of characteristic	nongold
12	a child is a kind of young human	nongold
13	trait is synonymous with characteristic	gold
14	a mother is a kind of female parent	nongold
15	offspring receive genes from their parents through inheritence; DNA; sexual reproduction	nongold
16	inherited characteristics are the opposite of learned characteristics; acquired characteristics	gold
17	selection means choosing	nongold
18	a food contains nutrients for living things	nongold
19	food is what an animal eats	nongold
20	baby animals become adult animals	nongold
21	if a trait is chosen , then the trait is desirable	nongold
22	food is a kind of object	nongold
23	baby is similar to immature	nongold
24	an animal is a kind of living thing	nongold
25	an animal is a kind of organism	nongold
26	a living thing is a kind of object	nongold
27	an organism is a living thing	nongold
28	a plant; living thing requires food for survival	nongold
29	parents produce offspring	nongold
30	characteristic means property	nongold
31	an animal being born; being hatched when food is available has a positive impact on that animal's survival; health	nongold
32	to eat means to consume food	nongold
33	to reproduce means to have; to produce offspring	nongold
34	a mammal is a kind of animal	nongold
35	a son is a kind of male offspring	nongold
36	an animal needs to eat food for nutrients	nongold
37	a mane is a part of a horse	nongold
38	except means not	nongold
39	living things can all reproduce	nongold
40	a human is a kind of mammal	nongold
41	the  diet of an animal is an inherited characteristic	nongold
42	an animal; living thing requires nutrients for survival	nongold
43	a human is a kind of animal	nongold
44	what an object is made of is a kind of characteristic	nongold
45	young means immature	nongold
46	a mother births offspring	nongold
47	diet means what an animal eats	nongold
48	trait means property	nongold
49	as the ability to survive; ability to reproduce of a living thing increases , the likelyhood of  passing on its traits to its decendents will increase	nongold
50	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
51	selective breeding is when an organism receives selective genetic traits from its parents by human design	nongold
52	newborn is similar to baby	nongold
53	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
54	offspring receives half of the genes from each parent	nongold
55	a kitten is a young; baby cat	nongold
56	a part of something means a characteristic of something	nongold
57	reproduction produces; produce offspring	nongold
58	a boy is a kind of young male human	nongold
59	a type is synonymous with a kind	nongold
60	a dog is a kind of animal	nongold
61	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
62	a cat is a kind of animal	nongold
63	species is an inherited characteristic	nongold
64	genetic variation in offspring has a positive impact on an organism's; offspring's survival; health; ability to reproduce	nongold
65	a cat is a kind of mammal	nongold
66	the color of; coloration of fur is an inherited characteristic	nongold
67	a learned characteristic is a kind of acquired characteristic	nongold
68	the condition of parts of an organism are acquired characteristics	nongold
69	heredity is similar to inheritance	nongold
70	reproductive behavior is an inherited characteristic	nongold
71	food is a kind of substance	nongold
72	an adaptation is a kind of characteristic	nongold
73	answering questions requires information	nongold
74	high is similar to increase	nongold
75	the mother is a source of food for an embryo through the placenta	nongold
76	a horse weighs, on average between 400 and 550 kg	nongold
77	a kind of something is an example of that something	nongold
78	genes is a vehicle for passing inherited characteristics from parent to offspring	nongold
79	intelligence is an acquired characteristic	nongold
80	animals learn some behaviors from watching their parents	nongold
81	unique  is the opposite of diverse	nongold
82	incomplete dominance is when offspring exhibit a combination of a property caused by the genes of its parents	nongold
83	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	nongold
84	living things eat their food source	nongold
85	an part of an object is smaller than the entire object	nongold
86	having food has a positive impact on an organism's health	nongold
87	the colors of parts of an organism are inherited characteristics	nongold
88	a wise choice is a good choice	nongold
89	a behavior is a kind of characteristic	nongold
90	skills are learned characteristics; behaviors	nongold
91	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
92	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
93	what something needs is a property of that something	nongold
94	if something comes from something else then that something else is a source of that something	nongold
95	cub is a kind of offspring	nongold
96	Natural selection is when organisms with beneficial traits survive competition to  reproduce and pass their beneficial traits onto their offispring; the successive generation	nongold
97	to breed is similar to to reproduce	nongold
98	an animal is a member of an animal species	nongold
99	prey is a kind of food for predators	nongold
