Question	Otto pushed a toy car across a floor. The car traveled fast across the wood, but it slowed to a stop on the carpet. Which best explains what happened when the car reached the carpet?	question
Answer	Friction increased.	answer
0	a toy car is a kind of object	nongold
1	friction causes the speed of an object to decrease	nongold
2	friction causes speed to decrease	nongold
3	as roughness of a surface increases , friction will increase	gold
4	to slow; to slow down decreases speed	gold
5	friction occurs when two object's surfaces move against each other	nongold
6	as the roughness of something increases , the friction of that something will increase when its surface moves against another surface	nongold
7	carpet has a rough surface	gold
8	as the smoothness of something increases , the friction of that something will decrease when its surface moves against another surface	nongold
9	motion; movement means moving; to move	nongold
10	friction exerts force on moving objects	nongold
11	force causes the speed of an object to increase; to decrease	nongold
12	ground means floor	nongold
13	an object being pushed across another object causes their surfaces to move against each other	nongold
14	faster means an increase; higher in speed	nongold
15	wood has a smooth surface	gold
16	a car is a kind of object	nongold
17	the floor is a kind of object	nongold
18	fast is the opposite of slow	nongold
19	fast means quickly	nongold
20	as an object is moving down , the speed of the object  will increase	nongold
21	speed is a measure of how fast an object is moving	nongold
22	as force exerted on an object increases , distance travelled will increase	nongold
23	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
24	a car is a kind of vehicle	gold
25	distance moved; distance travelled is a measure of how far an object moves	nongold
26	travel means to move	nongold
27	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
28	carpet is a kind of material	nongold
29	if an object slides across another object then those objects are touching	nongold
30	wood is a kind of object	nongold
31	friction acts to counter the motion of two objects when their surfaces are touching	gold
32	a car is a kind of automobile	nongold
33	to reduce means to decrease	gold
34	wood is an thermal; thermal energy insulator	nongold
35	reducing is similar to slowing	nongold
36	a surface is a part of an object	gold
37	friction causes the temperature of an object to increase	nongold
38	wood is a thermal; thermal energy insulator	nongold
39	stop means not move	nongold
40	moving is similar to travelling	nongold
41	speed is a property of an object and includes values of slow; fast	nongold
42	a surface is a kind of object	nongold
43	friction is a kind of force	nongold
44	a vehicle is a kind of object	nongold
45	friction converts mechanical energy into heat energy	nongold
46	faster means increased rate	nongold
47	an automobile is a kind of vehicle	nongold
48	increase means more	nongold
49	counter means reduce; stop; resist	gold
50	if a wheel travels on a surface then the wheel touches that surface	gold
51	pushing is a kind of motion	nongold
52	to lower means to decrease	nongold
53	a vehicle is used for travel	nongold
54	high speed means fast	nongold
55	rough is the opposite of smooth	gold
56	vibration is a kind of motion	nongold
57	an increase is the opposite of a decrease	nongold
58	pushing something can cause that something  to move	nongold
59	heat means heat energy	nongold
60	a human is a kind of animal	nongold
61	as the speed of an object increases , the force that object exerts will increase	nongold
62	low means down	nongold
63	an increase is a kind of change	nongold
64	a surface is a part of a material	nongold
65	as kinetic energy of an object increases , that object will travel faster	nongold
66	a living thing is a kind of object	nongold
67	high is similar to increase	nongold
68	stop; stopped means zero; 0; no speed	nongold
69	speed up means increase	nongold
70	pushing an object requires force	nongold
71	furniture often is made of wood	nongold
72	an animal is a kind of living thing	nongold
73	to add means to increase	nongold
74	friction is used for stopping a vehicle by brakes	nongold
75	heat means temperature increases	nongold
76	push is a kind of force; application of force	nongold
77	temperature is a measure of heat energy	nongold
78	wheels are a part of a car	gold
79	if an object accelerates then that object will go faster	nongold
80	lowering is a kind of motion	nongold
81	texture means how an object feels	nongold
82	wheels; gears usually move against other surfaces	nongold
83	soft is a kind of touch sensation	nongold
84	a wall is a kind of surface	nongold
85	felt is high in roughness	nongold
86	sliding is a kind of motion	nongold
87	as an object moves faster , the kinetic energy of that object will increase	nongold
88	gradual means slow; over time	nongold
89	if one surface; one substance; one object touches something then one is exposed to that something	nongold
90	a decrease is a kind of change	nongold
91	if someone walks on a surface then that someone touches that surface	nongold
92	if a  car is being driven , then the car will be moving	nongold
93	wood is a strong material	nongold
94	heating means adding heat	nongold
95	texture is a property of  surfaces; materials; objects and includes ordered  values of smooth; rough	nongold
96	smooth is a kind of texture	nongold
97	low is similar to decrease	nongold
98	objects are made of materials; substances; matter	nongold
99	wood is a light material	nongold
