Question	What happens to water when it boils?	question
Answer	It changes into water vapor.	answer
0	boiling point means temperature at which a liquid boils; above which a liquid boils	nongold
1	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
2	boiling is a kind of phase change	nongold
3	when a gas in an open container evaporates; boils , that gas spreads out into the air	nongold
4	boiling is when liquids are heated above their boiling point	nongold
5	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	gold
6	water is a kind of liquid at room temperature	gold
7	water vapor;steam cooling causes that water vapor;steam to condense	nongold
8	heating means adding heat	nongold
9	vapor is synonymous with gas	nongold
10	temperature is a measure of heat energy	nongold
11	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
12	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
13	water is a kind of substance	gold
14	steam;water vapor is a kind of water above 100 degrees celsius	nongold
15	heat means heat energy	nongold
16	to add means to increase	nongold
17	water is an thermal; thermal energy conductor	nongold
18	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
19	to give off means to be the source of	nongold
20	a liquid is a kind of substance	nongold
21	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
22	boiling is a kind of event	nongold
23	adding heat means increasing temperature	nongold
24	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
25	gas is a kind of substance	nongold
26	heat energy is synonymous with thermal energy	nongold
27	heat means temperature increases	nongold
28	boiling point is the highest temperature a liquid can reach	nongold
29	boiling means the volume of a liquid decreases	nongold
30	humidity is a kind of water vapor	nongold
31	gas is a kind of nonmetal	nongold
32	boiling point is a property of a substance; material	nongold
33	gas is a kind of state of matter	nongold
34	the boiling point of water is 212F; 100C; 373K	nongold
35	a phase change is a kind of physical change	nongold
36	gaseous means of gas	nongold
37	steam; water vapor is a kind of water phase	nongold
38	sublimation means matter; a substance changes from a solid into a gas by increasing heat energy	nongold
39	a solid is a kind of substance	nongold
40	a volatile substance gives off gas	nongold
41	condensing is when gasses are  cooled below their boiling point	nongold
42	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
43	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
44	An example of moisture is water vapor in the atmosphere	nongold
45	to change into means to form	nongold
46	volume has no impact on boiling; melting; freezing point	nongold
47	an increase is a kind of change	nongold
48	water is a kind of matter	nongold
49	Earth contains water; ice; (steam, water vapor)	nongold
50	temperature changing can cause phase changes	nongold
51	melting is a kind of phase change	nongold
52	mass has no impact on boiling; melting; freezing point	nongold
53	moisture means liquid; liquid water	nongold
54	conductivity is a property of a material; substance	nongold
55	ability to undergo a phase change is a property of a substance; material	nongold
56	liquid is a kind of state of matter	nongold
57	a  gas is a kind of  element	nongold
58	evaporating is a kind of phase change	nongold
59	to reduce means to decrease	nongold
60	water vapor is found in the atmosphere	nongold
61	freezing is a kind of phase change	nongold
62	oxygen is a kind of gas at room temperature	nongold
63	all elements are a kind of pure substance	nongold
64	if something emits something else then that something increases the amount of that something else	nongold
65	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
66	to combust means to catch fire	nongold
67	boiling point is a kind of physical  property	nongold
68	variable means able to change	nongold
69	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
70	a body of water contains water	nongold
71	solid is a kind of state of matter	nongold
72	affected means changed	nongold
73	gas is a kind of material	nongold
74	heat means the transfer of thermal energy	nongold
75	to lower means to decrease	nongold
76	steam is a kind of gas	nongold
77	to convert means to change	nongold
78	all planets do not contain water; ice; (steam, water vapor)	nongold
79	when gas compresses , the temperature of the gas increases	nongold
80	a source of something emits; produces; generates; provides that something	nongold
81	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
82	gas is a kind of object	nongold
83	the atmosphere contains gases; liquids; solids	nongold
84	material means substance	nongold
85	air is usually a thermal; thermal energy insulator	nongold
86	carbon dioxide is a kind of gas	nongold
87	a source of something increases the amount of that something	nongold
88	the Earth's atmosphere is made of 23.133 percent oxygen by mass	nongold
89	melting is when solids are heated above their melting point	nongold
90	objects are made of materials; substances; matter	nongold
91	desublimation; deposition means matter; a substance changes from a gas into a solid by decreasing heat energy	nongold
92	water vapor is a kind of greenhouse gas	nongold
93	becoming is similar to changing	nongold
94	heat energy can change the state of matter	nongold
95	heat energy  can be used to heat up  an object	nongold
96	water is a kind of object	nongold
97	an object; material; substance comes from that object or material's source	nongold
98	water contains dissolved oxygen	nongold
99	combustion is a kind of chemical change	nongold
