Question	A student wants to look under a heavy rock. Which simple machine would be BEST to use to lift the rock?	question
Answer	Lever	answer
0	a lever is used for lifting;moving heavy objects	gold
1	a lever is a kind of simple machine	gold
2	a simple machine is a kind of tool	nongold
3	a student is a kind of human	nongold
4	a machine is a kind of  device	nongold
5	a complex machine is made of more than one simple machine	nongold
6	a machine is a kind of object	nongold
7	to lift means to move up	nongold
8	if a tool is made of a simple machine then that tool uses the principle demonstrated in that simple machine	nongold
9	a rock is a kind of object	gold
10	a lever can be used to hit an object	nongold
11	a pulley is used for lifting; lowering objects	nongold
12	motion; movement means moving; to move	nongold
13	to be used for something means to be required by that something	nongold
14	beneath means below	nongold
15	a simple machine requires mechanical energy to function	nongold
16	to see means to look	nongold
17	lowering is a kind of motion	nongold
18	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
19	counter means reduce; stop; resist	nongold
20	rock is a kind of material	nongold
21	the bottom is the lowest part of something	nongold
22	looking is similar to observing	nongold
23	low means down	nongold
24	a human is a kind of animal	nongold
25	travel means to move	nongold
26	objects are made of materials; substances; matter	nongold
27	a pulley is a kind of simple machine	nongold
28	pulling is a kind of motion	nongold
29	a surface is a part of an object	nongold
30	person is synonymous with human	nongold
31	not looking means not seeing	nongold
32	distance moved; distance travelled is a measure of how far an object moves	nongold
33	underground means under ground	nongold
34	An example of exerting force on an object is lifting an object	nongold
35	mechanical energy exerted by an object can be used to push or pull another object	nongold
36	a tool is a kind of object	nongold
37	speed is a measure of how fast an object is moving	nongold
38	under water means covered by water; in water	nongold
39	the ground is at the bottom of an area	nongold
40	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
41	the principle of a lever is used for increasing gripping force by pliers	nongold
42	a motion is a kind of event; action	nongold
43	low means low in elevation; height; altitude	nongold
44	moving is similar to travelling	nongold
45	heavy means a large amount of weight	nongold
46	below means lower down	nongold
47	device means tool	nongold
48	height is a measure of length from the top of an object to the bottom of an object	nongold
49	a rock is usually a solid	nongold
50	a device is a kind of object	nongold
51	a surface is a part of a material	nongold
52	to reduce means to decrease	nongold
53	a surface is a kind of object	nongold
54	a pedal is a kind of lever	nongold
55	weathering; mechanical weathering means breaking down rocks; surface materials from a larger whole  into smaller pieces by weather	nongold
56	sight means to see	nongold
57	best means most positive	nongold
58	to place in is similar to to move to	nongold
59	the function of something is what that something  is used to do	nongold
60	weight means the force of gravity acting on an object	nongold
61	extreme means very high in value	nongold
62	to be lowered into a substance means to be placed into that substance	nongold
63	to slow; to slow down decreases speed	nongold
64	motion is when moves an object; something to a direction	nongold
65	as the size of an object appears larger , that object will be seen;be observed more easily; better	nongold
66	vibration is a kind of motion	nongold
67	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
68	instrument means tool	nongold
69	rock means stone	nongold
70	high is similar to increase	nongold
71	if an object is made of a material then that object has the properties of that material	nongold
72	strong means high in strength	nongold
73	wheels; gears usually move against other surfaces	nongold
74	downward means down	nongold
75	Weight is  the  force of gravity acting on an object	nongold
76	sight is a kind of sense	nongold
77	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
78	inspect; observe means examine	nongold
79	being  on something; placed in something; placed over something means touching  that something	nongold
80	metal is a kind of material	nongold
81	look at means observe	nongold
82	to lower means to decrease	nongold
83	a living thing is a kind of object	nongold
84	place; location is synonymous with position	nongold
85	affected means changed	nongold
86	speed is a property of an object and includes values of slow; fast	nongold
87	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
88	instrument means device	nongold
89	can be means able to be	nongold
90	lighter means lower; less in weight	nongold
91	an part of an object is smaller than the entire object	nongold
92	high speed means fast	nongold
93	an inclined plane is a kind of simple machine	nongold
94	skidding causes friction	nongold
95	height is a property of the size of an object	nongold
96	low is similar to decrease	nongold
97	raising is a kind of motion	nongold
98	an object is made of its parts	nongold
99	a landform is a kind of object	nongold
