Question	What is the main source of heat for Earth's surface?	question
Answer	the Sun	answer
0	the sun is the source of solar energy called sunlight	nongold
1	the Sun is a kind of star	nongold
2	Earth is a kind of planet	nongold
3	heat means heat energy	nongold
4	a source of heat can be used to heat something	nongold
5	a source of heat can be used to heat something	nongold
6	a source of something emits; produces; generates; provides that something	nongold
7	if something comes from something else then that something else is a source of that something	nongold
8	the sun is a source of radiation; heat called sunlight	gold
9	heating means adding heat	nongold
10	where something  comes from is a source of that something	nongold
11	the ground means Earth's surface	nongold
12	the sun is a source of light; light energy called sunlight	nongold
13	sunlight produces heat	nongold
14	temperature is a measure of heat energy	nongold
15	sunlight means solar energy	nongold
16	solar energy is a kind of heat energy	nongold
17	sunlight is a kind of solar energy	nongold
18	a surface is a part of an object	nongold
19	the surface of the sun is extremely hot in temperature with values as high as 20 000 000 ° C	nongold
20	if something requires something else then that something requires a source of that something else	nongold
21	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	gold
22	an object; material; substance comes from that object or material's source	nongold
23	a surface is a kind of object	nongold
24	a planet is a kind of celestial object; body	nongold
25	a surface is a part of a material	nongold
26	sunlight is a kind of light	nongold
27	if something transfers something else then that something is a source of something else	nongold
28	bodies of water are located on Earth's surface	nongold
29	a star is a kind of celestial object; celestial body	nongold
30	a moon is a kind of celestial object; body	nongold
31	absorbing sunlight causes objects to heat	nongold
32	Earth's surface is made of rock	nongold
33	a source of something increases the amount of that something	nongold
34	a hot; warm something is a source of heat	nongold
35	heat means temperature increases	nongold
36	a wall is a kind of surface	nongold
37	to add means to increase	nongold
38	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
39	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
40	a hot substance is a source of heat	nongold
41	if heat is absorbed from a source then that heat source will cool	nongold
42	if something emits something else then that something increases the amount of that something else	nongold
43	unequal heating of Earth's surface by the Sun causes global wind patterns	nongold
44	adding heat means increasing temperature	nongold
45	the sun setting is a kind of event	nongold
46	the Earth revolves around the sun	nongold
47	sunshine means sunlight	nongold
48	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
49	the Moon is Earth's moon	nongold
50	to give off means to be the source of	nongold
51	if one surface; one substance; one object touches something then one is exposed to that something	nongold
52	if something exists on a surface then that surface contains that something	nongold
53	hot means high in heat energy; temperature	nongold
54	can be means able to be	nongold
55	an increase is a kind of change	nongold
56	the surface of the Earth is made of 70% ocean	nongold
57	the moon reflects sunlight towards the Earth	nongold
58	water is an thermal; thermal energy conductor	nongold
59	the sun rising; setting occurs once per day	nongold
60	the sun  is the source of energy for physical cycles on Earth	gold
61	solar power means solar energy	nongold
62	a body of water is a source of water	nongold
63	an event is a kind of action	nongold
64	a component means a part of	nongold
65	if something is powered by something else then that something requires a source of that something else	nongold
66	landform means surface feature; physical feature; land feature	nongold
67	the  moon's surface contains flat areas	nongold
68	to receive sunlight means to absorb sunlight	nongold
69	if something is places over a heat source then that something is exposed to that heat source	nongold
70	a planet is exposed to the heat of the star around which it revolves	nongold
71	natural events usually cause changes to Earth's surface	nongold
72	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
73	a component of something means a part of that something	nongold
74	the sun rising is a kind of event	nongold
75	affected means changed	nongold
76	to provide something means to be the source of that something	nongold
77	if something is a raw material then that something comes directly from a source	nongold
78	receiving sunlight  is synonymous with absorbing sunlight	nongold
79	the function of something is what that something  is used to do	nongold
80	if something causes a process then that something is required for that process	nongold
81	to be a source of something means to cause that something	nongold
82	to power means to provide energy for	nongold
83	high is similar to increase	nongold
84	to be used for something means to be required by that something	nongold
85	as the surface area of a body of water increases , evaporation of that body of water will increase	nongold
86	the sunlight occurs during the day	nongold
87	an energy source is a kind of resource	nongold
88	water is a kind of substance	nongold
89	the Sun is the  star that is closest to Earth	nongold
90	the sun sets in the west	nongold
91	the sun is the source of energy for life on Earth	nongold
92	solar energy is a kind of energy	nongold
93	form means kind	nongold
94	increase means more	nongold
95	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
96	friction occurs when two object's surfaces move against each other	nongold
97	water is a kind of liquid at room temperature	nongold
98	material means substance	nongold
99	if one surface is moved against; moved over; moved down another surface then those surfaces are touching	nongold
