Question	Which of the following would most likely happen if grasses and shrubs were removed from a rural Massachusetts ecosystem?	question
Answer	There would be a decrease in food energy produced by the ecosystem.	answer
0	removing dead organisms from an ecosystem causes available nutrients to be removed from that ecosystem	nongold
1	if a habitat is removed then that habitat is destroyed	nongold
2	remove means decrease	gold
3	as the supply of food in an environment decreases , the population of animals in that environment will decrease	nongold
4	as the population of an animal decreases , the population of that animal's source of food will decrease	nongold
5	to reduce means to decrease	nongold
6	as the population of plants decreases , the population of herbivores will decrease	nongold
7	food is a source of energy for animals; plants	nongold
8	eliminate means remove	nongold
9	Massachusetts is a state located in the United States of America	nongold
10	an increase is the opposite of a decrease	nongold
11	less is similar to decrease	nongold
12	if something causes an increase in something else then that something produces that something else	nongold
13	an ecosystem is a kind of habitat	nongold
14	as the number of sources of food increase in an environment , the population of the organisms will increase in that environment	nongold
15	as the amount of a source of something decreases , the amount of that something will decrease	gold
16	removing forests means removing animal habitats	nongold
17	a plant; living thing requires food for survival	nongold
18	an ecosystem contains a large community of; large numbers of living organisms	nongold
19	loss is similar to removal	nongold
20	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
21	an animal; living thing requires nutrients for survival	nongold
22	removing a forest means cutting down the trees in that forest	nongold
23	to add means to increase	nongold
24	emit means produce	nongold
25	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
26	nutrients are a source of energy for living things	nongold
27	an environment is similar to an ecosystem	nongold
28	to happen means to occur	nongold
29	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
30	harming an animal species causes that animal's population to decrease	nongold
31	a food contains nutrients for living things	nongold
32	negative impacts on a species will decrease populations of a species	nongold
33	get rid of means eliminate; remove	nongold
34	to lower means to decrease	nongold
35	low is similar to decrease	nongold
36	harming something has a  negative impact on; effect on that something	nongold
37	if something transports something else then that something removes that something else from a place	nongold
38	if the population of an animal decreases then that animal may no longer be found in that place	nongold
39	plants are a part of the environment	nongold
40	a plant; living thing requires nutrients to grow	nongold
41	as available water in an environment decreases , the amount of available food in that environment will decrease	nongold
42	vegetation means plants	nongold
43	a source of something emits; produces; generates; provides that something	gold
44	as a resource required by an organism decreases , the population of that organism will decrease	nongold
45	Massachusetts is not located in an arctic environment	nongold
46	green plants are a kind of producer	gold
47	organisms are a part of an environment	nongold
48	as a population of organisms increases , the resources used by those organisms will decrease	nongold
49	the decrease of something required by an organism has a negative impact on that organism's survival; that organism's ability	nongold
50	an organism is a living thing	nongold
51	living things eat their food source	nongold
52	humans building homes; roads in an ecosystem; in an environment causes that ecosystem; that environment to change	nongold
53	to contribute is similar to produce	nongold
54	negative impact is the opposite of positive impact	nongold
55	as the cause of something decreases , that something will decrease	nongold
56	a producer produces its own food	nongold
57	if the amount of available food and water decreases in an environment then animals may leave that environment to find food and water	nongold
58	harming an animal species has a  negative impact on the population size of that species	nongold
59	if the population of an organism increases then the ecosystem may become overpopulated with that organism	nongold
60	a plant is a kind of organism	nongold
61	a plant is a kind of living thing	nongold
62	if a plant dies then that plant will not produce food	nongold
63	increase means more	nongold
64	an ecosystem contains nonliving things	nongold
65	deplete is similar to decrease	nongold
66	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
67	Massachusetts is not located on the boundary of two tectonic plates	nongold
68	life means living things	nongold
69	a decrease is a kind of change	nongold
70	removing a forest means cutting down a forest	nongold
71	organisms mean life	nongold
72	an environment means an area	nongold
73	habitat is similar to environment	nongold
74	if an organism dies then the population of that organism will decrease	nongold
75	as population of predators increases , the population of prey will decrease in an environment	nongold
76	a plant requires a habitat for survival	nongold
77	In the food chain process a  green plant has the role of  producer	nongold
78	cutting down trees has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
79	a stem is often a part of plant	nongold
80	high is similar to increase	nongold
81	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
82	as a population of organisms decreases , the resources used by those organisms will increase	nongold
83	when an animal moves away from an area then the population of that animal decreases in that area	nongold
84	if there is a loss of something then that something decreases	nongold
85	as the size of a source of something increases , the amount of the something that that source produces will decrease	nongold
86	if something is eliminated then the amount of that something decreases	nongold
87	animals; living things live and feed in their habitats; near their habitats	nongold
88	humans changing an environment causes animal populations to decrease in that environment	nongold
89	producing is similar to causing	nongold
90	a producer is a kind of living thing	nongold
91	if a living thing requires something then that something has a positive impact on that living thing	nongold
92	if something has a negative impact on something else then increasing the amount of that something has a negative impact on that something else	nongold
93	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
94	as available resources increases , the population of an organism that uses those resources will increase	nongold
95	an animal is a kind of living thing	nongold
96	an animal requires a habitat for survival	nongold
97	harming an environment causes harm to the living things; to the organisms in that environment	nongold
98	when a habitat can support living things , living things can live in that habitat	nongold
99	positive impacts on a species will increase populations of a species	nongold
