Question	Solar radiation has a part in the water cycle by	question
Answer	changing water to a vapor.	answer
0	vapor is synonymous with gas	nongold
1	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	gold
2	water absorbs solar energy in the water cycle	gold
3	water is a kind of liquid at room temperature	gold
4	the water cycle occurs on Earth	nongold
5	the sun is a source of radiation; heat called sunlight	nongold
6	temperature is a measure of heat energy	nongold
7	evaporation is when water is drawn back up into the air in the water cycle	nongold
8	water is a kind of substance	gold
9	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
10	An example of a physical cycle is the water cycle	nongold
11	evaporation is a stage in the water cycle process	gold
12	solar radiation means solar energy	gold
13	solar energy is a kind of heat energy	nongold
14	sunlight means solar energy	nongold
15	water is a kind of matter	nongold
16	sunlight is a kind of solar energy	nongold
17	heat means heat energy	nongold
18	sunlight produces heat	nongold
19	a component means a part of	nongold
20	precipitation is a stage in the water cycle process	nongold
21	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
22	carbon dioxide is a kind of gas	nongold
23	heating means adding heat	nongold
24	water is a kind of water phase	nongold
25	condensation is a stage in the water cycle process	nongold
26	a cycle is a kind of process	nongold
27	water vapor is found in the atmosphere	nongold
28	gas is a kind of substance	nongold
29	radiation is when heat is transferred through waves; particles	nongold
30	a part of a process means a stage in a process	gold
31	adding heat means increasing temperature	nongold
32	In the water cycle , precipitation can follow condensation	nongold
33	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
34	unit is similar to part	nongold
35	an increase is a kind of change	nongold
36	In the water cycle , condensation always follows evaporation	nongold
37	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
38	a liquid is a kind of substance	nongold
39	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	gold
40	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
41	to add means to increase	nongold
42	a component of something means a part of that something	nongold
43	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	gold
44	radiation is a kind of process	nongold
45	to change means to have an effect	nongold
46	gaseous means of gas	nongold
47	boiling is a kind of phase change	nongold
48	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
49	affected means changed	nongold
50	to change means to cause a change	nongold
51	a cycle happens; occurs repeatedly	nongold
52	In the water cycle , evaporation always follows collection in bodies of water	nongold
53	heat energy is synonymous with thermal energy	nongold
54	sunlight is a kind of light	nongold
55	to convert means to change	nongold
56	breath contains water vapor	nongold
57	if the component of something changed , then the whole thing will change	nongold
58	radiation is when electromagnetic waves transfers heat and light energy	nongold
59	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
60	a source of something emits; produces; generates; provides that something	nongold
61	heat means temperature increases	nongold
62	moisture means liquid; liquid water	nongold
63	water contains dissolved oxygen	nongold
64	the atmosphere contains gases; liquids; solids	nongold
65	water is a kind of object	nongold
66	gas is a kind of state of matter	nongold
67	absorbing sunlight causes objects to heat	nongold
68	atmosphere means  air	nongold
69	In the water cycle , collection as snow; collection as ice can follow precipitation	nongold
70	In the water cycle , melting snow; melting ice always follows collection as snow; collection as ice	nongold
71	high is similar to increase	nongold
72	change is a kind of process	nongold
73	air is a kind of gas	nongold
74	a  gas is a kind of  element	nongold
75	a decrease is a kind of change	nongold
76	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
77	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
78	transpiration is a kind of process of the water cycle	nongold
79	heat energy can change the state of matter	nongold
80	temperature changing can cause phase changes	nongold
81	to turn means to change	nongold
82	to cause means to have an effect	nongold
83	part means role	nongold
84	to give off means to be the source of	nongold
85	liquid is a kind of state of matter	nongold
86	steam; water vapor is a kind of water phase	nongold
87	adding something is a kind of change	nongold
88	becoming is similar to changing	nongold
89	gas is a kind of object	nongold
90	the sun is the source of solar energy called sunlight	nongold
91	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
92	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
93	to be formed by is similar to being produced by	nongold
94	the sun causes water to evaporate more quickly by adding heat	nongold
95	water is a part of an environment	nongold
96	variable means able to change	nongold
97	radiation means radiant energy	nongold
98	sunshine means sunlight	nongold
99	form means kind	nongold
