Question	During which process does a caterpillar become a butterfly?	question
Answer	metamorphosis	answer
0	a caterpillar is the immature form of a butterfly	gold
1	a butterfly is the mature form of a; adult form of a caterpillar	gold
2	metamorphosis is a kind of process	gold
3	a butterfly is a kind of animal	nongold
4	a butterfly is a kind of insect	gold
5	metamorphosis means complete metamorphosis	nongold
6	a moth undergoes metamorphosis	nongold
7	a bird is a kind of living thing	nongold
8	a butterfly is a kind of organism	nongold
9	a moth is a kind of insect	nongold
10	an insect is a kind of animal	gold
11	incomplete metamorphosis is when an insect reaches the adult stage without being a pupa	nongold
12	an animal is a kind of living thing	nongold
13	the pupa stage is a stage in the metamorphosis process of some animals	nongold
14	a living thing is a kind of object	nongold
15	becoming is similar to changing	gold
16	metamorphosis is a stage in the life cycle process of some animals	nongold
17	a fly is a kind of insect	nongold
18	a bird is a kind of animal	nongold
19	metamorphosis is when an amphibian; insect changes from  an immature form to an adult form	gold
20	becoming is similar to forming	nongold
21	becoming is a kind of action	nongold
22	wings are a part of some insects	nongold
23	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	nongold
24	a larva is a kind of young; baby insect	nongold
25	wings are a part of a bird	nongold
26	a process usually requires all of the stages in that process	nongold
27	a worm is a kind of living thing	nongold
28	An insect is a pollinating animal	nongold
29	an organism is a living thing	nongold
30	a plant is a kind of living thing	nongold
31	a process is a kind of event	nongold
32	a legume is a kind of plant	nongold
33	if a living thing requires something then that something has a positive impact on that living thing	nongold
34	become prey means get eaten	nongold
35	a plant is a kind of organism	nongold
36	a part of a process means a stage in a process	nongold
37	an insect is a kind of prey	nongold
38	an animal is a kind of organism	nongold
39	a living thing is made of cells	nongold
40	A bird is a pollinating animal	nongold
41	a wasp is a kind of insect	nongold
42	a ladybug is a kind of insect	nongold
43	an insect has three body parts	nongold
44	reproduction increases the number; population of a living thing	nongold
45	a source of something emits; produces; generates; provides that something	nongold
46	evolution is a kind of process	nongold
47	life means living things	nongold
48	most insects reproduce by sexual reproduction	nongold
49	change is a kind of process	nongold
50	a reptile is a kind of animal	nongold
51	a worm is a kind of animal	nongold
52	a part of a living thing is a natural structure	nongold
53	to change means to become different	nongold
54	adaptations are used for survival	nongold
55	to happen means to occur	nongold
56	nonliving; non-living; die is the opposite of living; alive; live	nongold
57	an event is a kind of action	nongold
58	a type is synonymous with a kind	nongold
59	a step in a process means a stage in a process	nongold
60	an animal; living thing requires nutrients for survival	nongold
61	sprouting means germinating	nongold
62	a tree is a kind of living thing	nongold
63	living things can all reproduce	nongold
64	reproduction is a kind of process	nongold
65	an insect has six legs	nongold
66	answering questions requires information	nongold
67	a part of something is present in that something	nongold
68	an increase is a kind of change	nongold
69	can be means able to be	nongold
70	high is similar to increase	nongold
71	creating is similar to causing	nongold
72	living things eat their food source	nongold
73	pollinator means pollinating animal	nongold
74	a bee is a kind of insect	nongold
75	a component of something means a part of that something	nongold
76	the formation of something is a kind of process	nongold
77	a reaction is a kind of process	nongold
78	to turn means to change	nongold
79	producing is similar to causing	nongold
80	if a living thing dies then that living thing is dead	nongold
81	all living things grow	nongold
82	evaporation is a kind of process	nongold
83	a plant is a member of a plant species	nongold
84	producing is a kind of process	nongold
85	an adaptation is a kind of change	nongold
86	for a butterfly the average life span is 1 month and the maximum life span is 12 months	nongold
87	a food contains nutrients for living things	nongold
88	converting is similar to producing	nongold
89	coloration is a kind of adaptation for hiding;camouflage	nongold
90	classifying is when one sorts something by kind; type	nongold
91	as the ability to survive; ability to reproduce of a living thing increases , the likelyhood of  passing on its traits to its decendents will increase	nongold
92	if an organism eats something then that something is a source of frood to that organism	nongold
93	formation of a state of matter is a kind of process	nongold
94	a plant; living thing requires food for survival	nongold
95	species means a group of like organisms	nongold
96	something that happens is a kind of event	nongold
97	to create means to make	nongold
98	adapting is when a living thing responds to a change in an environment	nongold
99	coloration means a thing's color	nongold
