Question	Which statement best describes the motion of water molecules as the water changes state from steam to liquid?	question
Answer	The molecules move slower and occupy less space.	answer
0	steam;water vapor is a kind of water above 100 degrees celsius	gold
1	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
2	steam is a kind of gas	gold
3	a molecule is a kind of particle	nongold
4	water is colder than steam in temperature	nongold
5	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
6	as the temperature of a substance; of an object decreases , the molecules in that substance will move slower; closer	gold
7	steam; water vapor is a kind of water phase	nongold
8	temperature is a measure of kinetic energy of molecules	nongold
9	steam is hot in temperature	nongold
10	as the temperature of a substance increases , the molecules in that substance will move faster; farther apart	nongold
11	phase means state	nongold
12	matter; materials; substances are made of atoms; particles	nongold
13	a molecule is a kind of object	nongold
14	matter is made of molecules	nongold
15	substances are made of molecules	nongold
16	temperature is a measure of heat energy	gold
17	water is a kind of substance	nongold
18	size; amount of space means volume	nongold
19	a molecule is made of atoms chemically combined; bonded	nongold
20	motion; movement means moving; to move	nongold
21	water is a kind of liquid at room temperature	gold
22	faster means an increase; higher in speed	nongold
23	Earth contains water; ice; (steam, water vapor)	nongold
24	less is similar to decrease	nongold
25	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
26	water is a kind of matter	nongold
27	particles in a liquid are slower than particles in a gas	nongold
28	if a substance has volume , then the substance takes up space	nongold
29	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
30	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
31	atoms are made of particles	nongold
32	particles in a solid are slower than particles in a liquid	nongold
33	less means a reduced amount	nongold
34	faster means increased rate	nongold
35	water vapor;steam cooling causes that water vapor;steam to condense	nongold
36	to slow; to slow down decreases speed	nongold
37	an atom is a kind of object	nongold
38	less is the opposite of more	nongold
39	water is a kind of object	nongold
40	closer means lower; less; a decrease in distance	gold
41	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	gold
42	liquid is a kind of state of matter	gold
43	gas is a kind of state of matter	gold
44	a particle is a kind of object	nongold
45	lower means less	nongold
46	phase changes change the arrangement of molecules in a substance; in a sample	nongold
47	moisture means liquid; liquid water	nongold
48	heat energy can change the state of matter	nongold
49	fast is the opposite of slow	nongold
50	as temperature increases , the speed of molecules will increase	nongold
51	solid is a kind of state of matter	nongold
52	increase means more	nongold
53	evaporating is a kind of phase change	nongold
54	a pure substance is made of only one kind of atom; molecule	nongold
55	speed is a measure of how fast an object is moving	nongold
56	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
57	vapor is synonymous with gas	nongold
58	heat means heat energy	nongold
59	less dense liquids; particles in liquids; materials float liquids; particiles in liquids; materials that are more dense	nongold
60	best means most positive	nongold
61	particles in objects are a kind of matter	nongold
62	an increase is the opposite of a decrease	nongold
63	water is an thermal; thermal energy conductor	nongold
64	movement is a kind of change	nongold
65	ability to undergo a phase change is a property of a substance; material	nongold
66	distance is a property of space and includes ordered values of close; far	gold
67	state means form	nongold
68	temperature changing can cause phase changes	nongold
69	boiling is a kind of phase change	nongold
70	condensing is a kind of  phase change	nongold
71	flowing is a kind of motion	nongold
72	an increase is a kind of change	nongold
73	particles in a liquid flows past each other	nongold
74	speed is a property of an object and includes values of slow; fast	nongold
75	state of matter means physical state	nongold
76	to add means to increase	nongold
77	Matter in the gas phase has variable volume	nongold
78	distance moved; distance travelled is a measure of how far an object moves	nongold
79	substances are made of matter	nongold
80	place means space	nongold
81	denser liquids; particles in liquids; materials settle below liquids or particles in liquids; materials that are less dense	nongold
82	if the volume of a substance; of a matter expands while the mass remains the same , then the molecules in that substance; matter move farther apart	nongold
83	a phase change is a kind of physical change	nongold
84	as the kinetic energy of particles increases , the particles will move faster	nongold
85	as the heat of matter increases , the  average molecular speed in that matter increases	nongold
86	to lower means to decrease	nongold
87	a decrease is a kind of change	nongold
88	as the kinetic energy of a molecule increases , the temperature will increase	nongold
89	heat means temperature increases	nongold
90	objects are made of materials; substances; matter	nongold
91	gas is a kind of substance	nongold
92	the temperature of steam decreases after a shower	nongold
93	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
94	gas is a kind of object	nongold
95	high is similar to increase	nongold
96	physical state means state of matter	nongold
97	molecules in a solid vibrates within a fixed place	nongold
98	shift means move	nongold
99	Matter in the liquid phase has definite volume	nongold
