Question	An area received six inches of snow during the winter. Before the snow can continue through the water cycle as ground water or runoff, it must first ___.	question
Answer	melt	answer
0	In the water cycle , runoff always follows collection as snow; collection as ice	gold
1	if an event is required for a process then that event must occur before that process can occur	nongold
2	In the water cycle , collection in bodies of water can follow runoff	nongold
3	In the water cycle , runoff can follow precipitation	nongold
4	In the water cycle , collection as snow; collection as ice can follow precipitation	gold
5	In the water cycle , melting snow; melting ice always follows collection as snow; collection as ice	gold
6	runoff is a stage in the water cycle process	gold
7	precipitation is a stage in the water cycle process	gold
8	runoff is a kind of water	nongold
9	ground water is a kind of water	nongold
10	In the water cycle , precipitation can follow condensation	nongold
11	In the water cycle , infiltration can follow runoff	nongold
12	must have means require	nongold
13	an area receiving rain means rain falling in that area	nongold
14	precipitation is when rain;snow;hail fall from clouds to the Earth;ground	nongold
15	snow is a kind of precipitation	gold
16	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
17	receive means get	nongold
18	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
19	evaporation is a stage in the water cycle process	nongold
20	a cycle happens; occurs repeatedly	nongold
21	In the water cycle , evaporation always follows collection in bodies of water	nongold
22	the water cycle occurs on Earth	nongold
23	precipitation is a kind of weather	nongold
24	temperature is a measure of heat energy	nongold
25	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
26	to add means to increase	nongold
27	a cycle is a kind of process	nongold
28	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
29	water is a kind of liquid at room temperature	nongold
30	snowing is when snow fall from clouds to the Earth;ground	nongold
31	the glaciers has the role of storing fresh water in the water cycle	nongold
32	temperature is a property of weather	nongold
33	precipitation is a property of weather	nongold
34	winter is a kind of season	nongold
35	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
36	precipitation is when water falls from the sky	nongold
37	adding heat means increasing temperature	nongold
38	An example of a physical cycle is the water cycle	nongold
39	In the water cycle , condensation always follows evaporation	nongold
40	summer is a kind of season	nongold
41	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	nongold
42	winter has cold temperatures;weather	nongold
43	freezing is a kind of phase change	nongold
44	melting is a kind of phase change	nongold
45	to reduce means to decrease	nongold
46	an environment means an area	nongold
47	evaporation is when water is drawn back up into the air in the water cycle	nongold
48	winter is a part of the year	nongold
49	melting is when solids are heated above their melting point	nongold
50	an increase is a kind of change	nongold
51	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
52	heat means heat energy	nongold
53	snowfall means the amount of precipitation in snow form	nongold
54	winter means environmental; outdoor temperature decreases	nongold
55	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
56	moisture means liquid; liquid water	nongold
57	snow falls during the winter in some environments	nongold
58	water is a kind of substance	nongold
59	condensation is a stage in the water cycle process	nongold
60	melting is a kind of process	nongold
61	precipitation is a kind of  natural process	nongold
62	obtain is similar to receive	nongold
63	a solid is a kind of substance	nongold
64	In the water cycle , precipitation always follows transportation	nongold
65	an increase is the opposite of a decrease	nongold
66	snow is a kind of ice	nongold
67	frozen means solid	nongold
68	ice is a kind of solid	nongold
69	a decrease is a kind of change	nongold
70	a glacier is a kind of body of water	nongold
71	cycles of freezing and thawing water cause ice wedging	nongold
72	weather changes from seasons to seasons	nongold
73	temperature changing can cause phase changes	nongold
74	if the glaciers melt , then the fresh water stored in glaciers will decrease	nongold
75	a change is a kind of event	nongold
76	high is similar to increase	nongold
77	precipitation is a kind of natural occurrence; cause	nongold
78	a glacier is made of a large buildup of ice; snow	nongold
79	to lower means to decrease	nongold
80	summer has hot temperatures; weather	nongold
81	heat means temperature increases	nongold
82	if an event occurs by adding something then that event requires that something	nongold
83	season is a major yearly temperature change	nongold
84	a body of water contains water	nongold
85	melting point means temperature at which a solid melts; above which a solid melts	nongold
86	heat has a great impact on weather	nongold
87	warmer means greater; higher in temperature; warmth	nongold
88	ice is a kind of water phase	nongold
89	colder; cooler means lower in temperature	nongold
90	a body of water is a source of water	nongold
91	if something causes a process then that something is required for that process	nongold
92	heating means adding heat	nongold
93	taking in something means receiving; absorbing; getting something	nongold
94	water is a kind of water phase	nongold
95	cold means low in temperature	nongold
96	frost is a kind of solid water	nongold
97	low is similar to decrease	nongold
98	to depend on; to rely on; to need means to require	nongold
99	freezing means cold temperatures	nongold
