Question	About how often is a full moon observed from Earth's surface?	question
Answer	once a month	answer
0	the moon orbiting the Earth occurs once per month	nongold
1	each of the moon's phases occurs once per month	gold
2	monthly means once per month	nongold
3	month is a kind of period of time	nongold
4	a full moon is a kind of phase of the moon	gold
5	months are a kind of unit for measuring time	nongold
6	a full moon occurs after a waxing gibbous moon	nongold
7	annual means once per year	nongold
8	once per means every	nongold
9	months ( m ) are a  metric unit used for measuring time generally used for values between 1.0 and 24.0	nongold
10	a rotation of the moon takes 1; one month	nongold
11	once means one time	nongold
12	August is a kind of month	nongold
13	a revolution of the moon around the Earth takes 1; one month	nongold
14	daily means every day; once per day	nongold
15	the sun rising; setting occurs once per day	nongold
16	a moon is a kind of celestial object; body	nongold
17	cycles of day and night occur once per day	nongold
18	Earth is a kind of planet	nongold
19	December is a kind of month	nongold
20	a different moon phase occurs once per week	nongold
21	June is a kind of month	nongold
22	the moon rising occurs once per day	nongold
23	the moon orbiting the Earth occurs approximately 13 times per year	nongold
24	days are a kind of unit for measuring time	nongold
25	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
26	a surface is a kind of object	nongold
27	a surface is a part of an object	nongold
28	the moon orbits the Earth	nongold
29	a new moon occurs 14 days after a full moon	nongold
30	yearly means every year	nongold
31	if something is visible , then that something can be observed	nongold
32	1 month is equal to 28-31 days	nongold
33	a planet is a kind of celestial object; body	nongold
34	the Sun is a kind of star	nongold
35	a new moon is a kind of phase of the moon	nongold
36	the Moon is Earth's moon	nongold
37	sunlight is a kind of light	nongold
38	look at means observe	nongold
39	a cycle happens; occurs repeatedly	nongold
40	1 year is equal to 12 months	nongold
41	rarely means not	nongold
42	astronomy is the study of celestial (objects, bodies)	nongold
43	approximately means about	nongold
44	usual means happens frequently over long periods of time	nongold
45	the day time is part of one day	nongold
46	Earth's angle of tilt causes the length of day and night to vary	nongold
47	observe means see	nongold
48	each season occurs once per year	nongold
49	the night time is part of one day	nongold
50	all the time means at day and at night	nongold
51	the sun rising and setting causes cycles of day and night	nongold
52	a star is a kind of celestial object; celestial body	nongold
53	the sunlight occurs during the day	nongold
54	astronomical body means celestial body	nongold
55	a human is a kind of animal	nongold
56	a first quarter is a kind of phase of the moon	nongold
57	the lunar; moon's surface contains many craters	nongold
58	Earth's surface is made of rock	nongold
59	an event is a kind of action	nongold
60	a surface is a part of a material	nongold
61	event is similar to occurrence	nongold
62	a satellite is a kind of instrument for observing Earth's surface	nongold
63	the sun sets in the west	nongold
64	light year is a measure of the distance light travels in one year	nongold
65	a source of something emits; produces; generates; provides that something	nongold
66	the new moon is when the dark half of the moon faces the Earth	nongold
67	events occur at a specific place; at a specific time; with a specific frequency	nongold
68	moons are large; solid; spherical	nongold
69	if it is night then the sun has set	nongold
70	long means great in length	nongold
71	daytime means day	nongold
72	an animal is a kind of living thing	nongold
73	length of time means period of time	nongold
74	a type is synonymous with a kind	nongold
75	the new moon is when the lighted half of the moon faces the Sun	nongold
76	the sun setting is a kind of event	nongold
77	a motion is a kind of event; action	nongold
78	landform means surface feature; physical feature; land feature	nongold
79	the sun is a source of light; light energy called sunlight	nongold
80	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
81	Mars is a kind of planet	nongold
82	a living thing is a kind of object	nongold
83	the moon is the celestial object that is closest to the  Earth	nongold
84	the moon reflects sunlight towards the Earth	nongold
85	days ( d ) are a  metric unit used for measuring time generally used for values between 1.0 and 365.0	nongold
86	the Earth revolves around the sun	nongold
87	a planet's distance from the star causes the length of a planetary year	nongold
88	a moon phase is a kind of natural event	nongold
89	the  moon's surface contains flat areas	nongold
90	a last quarter is a kind of phase of the moon	nongold
91	a planet is a kind of location	nongold
92	the ground means Earth's surface	nongold
93	type of moon; kind of moon means moon phase	nongold
94	the surface of the sun is extremely hot in temperature with values as high as 20 000 000 ° C	nongold
95	usually means most of the time	nongold
96	high is similar to increase	nongold
97	revolving  around something means orbiting that something	nongold
98	the Earth rotating on its axis causes  stars; the Moon to appear to move across the sky at night	nongold
99	a phase of the moon is a kind of state	nongold
