Question	Noah visited a park that had many oak trees. Which best describes the role of an oak tree in its ecosystem?	question
Answer	Oak trees are a source of food and shelter for animals.	answer
0	an animal requires shelter	nongold
1	a tree is a source of shelter; food for birds; animals in an ecosystem	gold
2	a park is a kind of environment	nongold
3	an oak is a kind of tree	gold
4	a role in the ecosystem is a role in the food chain process	nongold
5	a shelter is used for living in by animals	nongold
6	role means function	nongold
7	purpose means role	nongold
8	the function of something is what that something  is used to do	nongold
9	shelter can protect animals;humans from weather	nongold
10	an organism's shelter is a part of that organism's environment	nongold
11	shelter is a kind of place;building;structure for protection	nongold
12	an animal is a kind of living thing	nongold
13	an animal is a kind of organism	nongold
14	an ecosystem is a kind of habitat	nongold
15	part means role	nongold
16	an environment is similar to an ecosystem	nongold
17	function is similar to purpose	nongold
18	role is similar to importance	nongold
19	to provide something means to be the source of that something	nongold
20	shelter is used for protection by animals against weather	nongold
21	an environment means an area	nongold
22	an ecosystem contains a large community of; large numbers of living organisms	nongold
23	if a living thing requires something then that something has a positive impact on that living thing	nongold
24	providing is a kind of function	nongold
25	a forest contains  lots of plants; trees	nongold
26	an environment is a kind of place	nongold
27	to be involved in something means to have a role in something	nongold
28	a source of something supplies that something	nongold
29	a food contains nutrients for living things	nongold
30	to be used for something means to be required by that something	nongold
31	organisms are a part of an environment	nongold
32	helping something has a  positive impact on that something	nongold
33	a tree contains wood	nongold
34	producer is a kind of role in the food chain process; in an ecosystem	nongold
35	an animal; living thing requires nutrients for survival	nongold
36	being used for is similar to providing	nongold
37	a tree is a kind of living thing	nongold
38	a tree is a kind of plant	nongold
39	plants are a part of the environment	nongold
40	best means most positive	nongold
41	national parks have a positive impact on ecosystems	nongold
42	an organism is a living thing	nongold
43	a plant; living thing requires food for survival	nongold
44	a forest is a kind of ecosystem	nongold
45	providing structure is a kind of function	nongold
46	protecting a living thing has a  positive impact on that living thing's survival; health	nongold
47	trees are a kind of natural resource	nongold
48	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
49	requiring something means needing that something	nongold
50	an animal requires a habitat for survival	nongold
51	a plant is a kind of living thing	nongold
52	a source of something emits; produces; generates; provides that something	nongold
53	a plant is a kind of organism	nongold
54	a forest is a kind of environment	nongold
55	vegetation means plants	nongold
56	to be a vehicle for is a kind of function	nongold
57	protecting something means preventing harm to that something	nongold
58	requiring is similar to needing help	nongold
59	if something performs a task then that task is that something's function	nongold
60	a pine tree is a kind of tree	nongold
61	to have a function is similar to to be responsible for	nongold
62	a tree is a kind of habitat	nongold
63	green plants are a kind of producer	nongold
64	if something causes a process then that something is required for that process	nongold
65	a supply of something is a source of that something	nongold
66	In the food chain process a  green plant has the role of  producer	nongold
67	trees are a kind of resource	nongold
68	where something  comes from is a source of that something	nongold
69	wood is a kind of resource	nongold
70	a function is an activity	nongold
71	to depend on; to rely on; to need means to require	nongold
72	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
73	a living thing is a kind of object	nongold
74	the properties of something are used for describing that something	nongold
75	an animal is a member of an animal species	nongold
76	an ecosystem contains nonliving things	nongold
77	a component of something means a part of that something	nongold
78	roots are a part of a plant; tree	nongold
79	shelter is a kind of protective covering	nongold
80	humans changing ecosystems;environments usually has a  negative impact on an ecosystem; organisms living in an ecosystem	nongold
81	animals; living things live and feed in their habitats; near their habitats	nongold
82	food is a kind of resource	nongold
83	animals are a renewable resource	nongold
84	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
85	negative impact is the opposite of positive impact	nongold
86	An example of an environment is a forest; a river; a grassland; an ocean	nongold
87	something is used for that something's purpose	nongold
88	if something requires something else then that something requires a source of that something else	nongold
89	to help; to benefit means to be of use	nongold
90	good means positive	nongold
91	a natural ecosystem contains native living things only	nongold
92	protecting nature has a positive impact on the environment	nongold
93	a plant requires a habitat for survival	nongold
94	if something transfers something else then that something is a source of something else	nongold
95	an animal requires enough nutrients to maintain good health; survive	nongold
96	life means living things	nongold
97	role means niche	nongold
98	a structure of something is synonymous with a part of that something	nongold
99	the Earth contains many ecosystems	nongold
