Question	A student leaves a bucket of water outside on a warm, sunny day. Which process most likely happens to the water in the bucket?	question
Answer	evaporation	answer
0	a bucket is a kind of  container	nongold
1	a student is a kind of human	nongold
2	adding heat means increasing temperature	nongold
3	evaporation is a kind of process	gold
4	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
5	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	gold
6	to add means to increase	gold
7	absorbing energy causes objects; materials; substances to heat	nongold
8	evaporation causes amount of water to decrease	nongold
9	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
10	water is a kind of liquid at room temperature	gold
11	a container contains objects; material; substances	nongold
12	temperature is a measure of heat energy	gold
13	absorbing sunlight causes objects to heat	nongold
14	water is a kind of substance	nongold
15	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	gold
16	sunny is a kind of weather	nongold
17	heating means adding heat	nongold
18	heat energy is synonymous with thermal energy	nongold
19	a liquid is a kind of substance	nongold
20	warm means medium heat energy; temperature	nongold
21	heat means heat energy	gold
22	if heat is added to a substance then that substance absorbs that heat	nongold
23	a sunny day has  lots of sunlight	gold
24	evaporating is a kind of phase change	nongold
25	moisture means liquid; liquid water	nongold
26	hot means high in heat energy; temperature	nongold
27	warmer means greater; higher in temperature; warmth	nongold
28	gas is a kind of substance	nongold
29	if a hot object; substance is exposed to; touches a cold object; substance then that object; that substance will likely cool	nongold
30	solar energy is a kind of heat energy	nongold
31	An example of evaporation is a body of water drying up by absorbing heat energy	nongold
32	if an object; something is in the sunlight then that object; that something will absorb solar energy	gold
33	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
34	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
35	if a container contains something then that container touches that something	nongold
36	a hot; warm something is a source of heat	nongold
37	warm means warm temperature	nongold
38	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	gold
39	if one surface; one substance; one object touches something then one is exposed to that something	nongold
40	to reduce means to decrease	nongold
41	an increase is the opposite of a decrease	nongold
42	out is synonymous with outside	nongold
43	a liquid is a kind of fluid	nongold
44	being in the sun is synonymous with being in the sunlight	nongold
45	person is synonymous with human	nongold
46	condensation is when matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
47	heat means temperature increases	nongold
48	a hot substance is a source of heat	nongold
49	to happen means to occur	nongold
50	a human is a kind of animal	nongold
51	water is an thermal; thermal energy conductor	nongold
52	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
53	liquid is a kind of state of matter	nongold
54	temperature is a property of weather	nongold
55	a container is a kind of object	nongold
56	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
57	a source of something emits; produces; generates; provides that something	nongold
58	condensing means matter; a substance changes from a gas into a liquid by decreasing heat energy	nongold
59	when a gas in an open container evaporates; boils , that gas spreads out into the air	nongold
60	a solid is a kind of substance	nongold
61	high is similar to increase	nongold
62	the sun is a source of light; light energy called sunlight	nongold
63	being  on something; placed in something; placed over something means touching  that something	nongold
64	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
65	evaporation is allowing a liquid  to evaporate to separate any solid that was mixed with it	nongold
66	cooling means temperature decreases	nongold
67	to give off means to be the source of	nongold
68	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
69	when a cooler object touches a warmer object , thermal conduction occurs	nongold
70	taking is the opposite of giving; leaving	nongold
71	the sun causes water to evaporate more quickly by adding heat	nongold
72	evaporation is when water is drawn back up into the air in the water cycle	nongold
73	if heat is conducted to an object then that object will become hot	nongold
74	moving an object from a cool place to a  warm place causes the object's temperature to increase	nongold
75	gas is a kind of state of matter	nongold
76	as the temperature of a liquid increases , that liquid will evaporate quicker	nongold
77	heat means the transfer of thermal energy	nongold
78	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
79	cooling is a kind of process	nongold
80	evaporation is a stage in the water cycle process	nongold
81	as the surface area of a body of water increases , evaporation of that body of water will increase	nongold
82	an increase is a kind of change	nongold
83	if an object is put inside; poured into another object , then two objects are touching	nongold
84	water is a part of an environment	nongold
85	solid is a kind of state of matter	nongold
86	a process is a kind of event	nongold
87	a source of heat can be used to heat something	nongold
88	a source of heat can be used to heat something	nongold
89	contents means the substance in a container	nongold
90	cold means low in temperature	nongold
91	warm; becoming warm means heat is added	nongold
92	formation of a state of matter is a kind of process	nongold
93	as the amount of water in a body of water increases , the amount of water  evaporated from the body of water will increase	nongold
94	to lower means to decrease	nongold
95	low is similar to decrease	nongold
96	a source of something increases the amount of that something	nongold
97	sunshine means sunlight	nongold
98	rainy is a kind of weather	nongold
99	if heat is absorbed from a source then that heat source will cool	nongold
