Question	Louis Pasteur discovered that the bacteria in a substance can be killed by heating the substance for a short period of time. Which of these practices benefited most from Pasteur's discovery?	question
Answer	storing foods for longer periods of time	answer
0	Louis Pasteur created; invented pasteurization	nongold
1	helping something has a  positive impact on that something	nongold
2	a positive impact is  a benefit	gold
3	keeping is similar to storing	nongold
4	bacteria is a kind of living thing	nongold
5	a bacterium is a kind of decomposer	nongold
6	adding heat to something kills viruses; bacteria in that something	gold
7	a bacterium is a kind of organism	nongold
8	bacteria is a kind of pathogen sometimes	nongold
9	to store means to hold	nongold
10	length of time means period of time	nongold
11	to help; to benefit means to be of use	nongold
12	a decomposer is usually a bacterium; fungus	nongold
13	to discover means to make a discovery	nongold
14	if something; an invention; a discovery is invented; discovered then that something; that invention; that discovery can be used	nongold
15	In the food chain process bacteria have the role of decomposer	nongold
16	food is a kind of substance	nongold
17	a decomposer is a kind of living thing	nongold
18	dehydrating food is used for preserving food	nongold
19	long means great in length	nongold
20	an organism is a living thing	nongold
21	bacteria; viruses cause food poisoning	nongold
22	good bacteria have a positive impact on a living thing's survival; health	nongold
23	An example of  preparing is storing something for use later	nongold
24	an animal is a kind of living thing	nongold
25	pasteurization is a kind of process	nongold
26	an animal; living thing requires nutrients for survival	nongold
27	a food contains nutrients for living things	nongold
28	heating means adding heat	gold
29	period is similar to amount of time	nongold
30	cooking food to proper temperatures protects against food poisoning by killing bacteria and viruses	nongold
31	killing means harming something causing death	nongold
32	carbohydrates are used for storing;transporting energy	nongold
33	discovering something usually requires seeing that something	nongold
34	death means to die	nongold
35	to depend on; to rely on; to need means to require	nongold
36	heat means heat energy	nongold
37	contain is similar to store	nongold
38	food contains carbohydrates	nongold
39	a producer is a kind of living thing	nongold
40	an animal is a kind of organism	nongold
41	a microorganism is a kind of decomposer	nongold
42	if a living thing dies then that living thing is dead	nongold
43	a plant; living thing requires food for survival	nongold
44	bacteria sometimes cause disease	nongold
45	carbohydrates are a vehicle for storing;transporting energy	nongold
46	a human is a kind of animal	nongold
47	usually plants store the food they produce for future use	nongold
48	dead organisms are the source of nutrients for decomposers	nongold
49	killing means changing a living thing from alive to dead by harming	gold
50	negative impact is the opposite of positive impact	nongold
51	an animal needs to eat food for nutrients	nongold
52	pathogen is similar to harmful substance	nongold
53	temperature is a measure of heat energy	nongold
54	a liquid is a kind of substance	nongold
55	to discover means to find	nongold
56	a fungus is a kind of organism	nongold
57	food is what an animal eats	nongold
58	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
59	making discoveries requires observing	nongold
60	good means positive	nongold
61	requiring is similar to needing help	nongold
62	a fungus is a kind of living thing	nongold
63	a germ is a kind of harmful substance	nongold
64	if something is required for a process then that something positively impacts that process	nongold
65	to last longer means to be available longer	nongold
66	harming an organism can cause that organism to die	nongold
67	a source of something emits; produces; generates; provides that something	nongold
68	to be used for something means to be required by that something	nongold
69	bacteria can help digest food in humans	nongold
70	an increase is the opposite of a decrease	nongold
71	killing microorganisms in food can be used to extend the shelf life of that food	nongold
72	storing water is a kind of adaptation	nongold
73	the immune system attacks; gets rid of bacteria; viruses once they have invaded the body	nongold
74	high is similar to increase	nongold
75	nutrients are a kind of substance	nongold
76	to eat means to consume food	nongold
77	an animal is a kind of consumer	nongold
78	best means most positive	nongold
79	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
80	a measure of time is a length of time	nongold
81	if food is not immediately used by the body for energy then that food will be stored for future use	nongold
82	a worm is a kind of decomposer	nongold
83	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
84	less is similar to decrease	nongold
85	to be good for means to have a positive impact on	nongold
86	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
87	a living thing is a kind of object	nongold
88	green plants are a kind of producer	nongold
89	harming something has a  negative impact on; effect on that something	nongold
90	decomposer is a kind of role in the food chain process; in an ecosystem	nongold
91	water is an thermal; thermal energy conductor	nongold
92	if a living thing requires something then that something has a positive impact on that living thing	nongold
93	usually means most of the time	nongold
94	eating an animal; a plant means killing that animal; that plant	nongold
95	dying is the opposite of living; surviving	nongold
96	if something is made of something; a material then that something contains that something; that material	nongold
97	boiling is when liquids are heated above their boiling point	nongold
98	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
99	contents means the substance in a container	nongold
