Question	The sound heard when a piano key is hit is caused by	question
Answer	vibration.	answer
0	a key is a part of a piano	gold
1	a piano is a kind of musical instrument	gold
2	An example of playing a musical instrument is hitting the keys of a piano	gold
3	vibrations are a source of sound	nongold
4	hitting something causes harm to that something	nongold
5	matter; molecules vibrating can cause sound	gold
6	a hit is a kind of touch	nongold
7	hitting is a kind of motion	nongold
8	vibrating matter can produce sound	nongold
9	to hit means to strike	nongold
10	hitting an object causes the particles in that object to vibrate	gold
11	to bang means to hit	nongold
12	a musical instrument is a kind of object	gold
13	noise means sound	nongold
14	sound is a kind of air vibration	nongold
15	to bump means to hit	nongold
16	musical instruments make sound when they are played	gold
17	vibration is a kind of motion	nongold
18	sound means sound energy	nongold
19	hearing is a kind of sense	nongold
20	hearing is used for sensing sound by animals	nongold
21	objects are made of materials; substances; matter	nongold
22	when two objects are touched; are contacted; move against each other , sound is produced	nongold
23	a lever can be used to hit an object	nongold
24	when sound reaches the ear , that sound can be heard	nongold
25	sound is a kind of sound energy	nongold
26	a hum is a kind of sound	nongold
27	a vibration is similar to a wave	nongold
28	oscillation means physical vibration	nongold
29	sound is produced when mechanical energy is transformed into sound energy	nongold
30	volume means the loudness of a sound	nongold
31	if something strikes an object then that something may bounce off of that object	nongold
32	a rattle is a kind of vibration	nongold
33	materials are made of matter	nongold
34	the kinetic energy of an object can change from kinetic energy to sound energy by hitting another object	nongold
35	an echo is a kind of sound	nongold
36	amplitude is  a measure of the loudness of the sound wave	nongold
37	if sound is absorbed then that sound can not be heard	nongold
38	human voice is a kind of sound	nongold
39	ringing is a kind of action	nongold
40	substances are made of matter	nongold
41	motion; movement means moving; to move	nongold
42	loud means high in sound energy;sound intensity	nongold
43	an object is made of its parts	nongold
44	An example of hitting something is dropping an object onto that something	nongold
45	a bell ringing is a source of sound	nongold
46	sound wave is similar to sound	nongold
47	as a string of a musical instrument is plucked harder , the string will vibrate harder; faster	nongold
48	pitch of a sound can be  used to describe the frequency of the sound wave	nongold
49	a motion is a kind of event; action	nongold
50	hard objects can vibrate more than soft objects	nongold
51	striking is a kind of movement	nongold
52	sliding is a kind of movement	nongold
53	a device is a kind of object	nongold
54	can be means able to be	nongold
55	An example of mechanical energy is an object in motion	nongold
56	an increase is a kind of change	nongold
57	force causes the speed of an object to increase; to decrease	nongold
58	shaking is a kind of motion	nongold
59	a string is a kind of object	nongold
60	a crack is a kind of opening	nongold
61	to be a source of something means to cause that something	nongold
62	mechanical energy can  cause objects to move	nongold
63	rattle is similar to vibrate	nongold
64	intense sound energy can move objects	nongold
65	as the force with which an object is touched increases , the amount of  mechanical energy converted to sound energy will increase	nongold
66	low means down	nongold
67	matter; materials; substances are made of atoms; particles	nongold
68	a cluck is a kind of sound	nongold
69	sound waves means sound energy	nongold
70	a tool is a kind of object	nongold
71	pulling is a kind of motion	nongold
72	change is a kind of impact	nongold
73	high is similar to increase	nongold
74	sliding is a kind of motion	nongold
75	sound energy is transferred by vibrational waves	nongold
76	sound is a kind of energy	nongold
77	downward means down	nongold
78	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
79	a source of something emits; produces; generates; provides that something	nongold
80	tapping two objects together causes the particles in those objects to vibrate	nongold
81	plucking; strumming a string can cause that string to vibrate	nongold
82	affected means changed	nongold
83	a piece of something is a kind of object	nongold
84	a force is a kind of push or pull on an object	nongold
85	mechanical energy is a kind of energy	nongold
86	to cause means to have an effect	nongold
87	if something is made by something else then that something is affected by that something else	nongold
88	impact means effect	nongold
89	an event is a kind of action	nongold
90	push is a kind of force; application of force	nongold
91	producing thrust causes something; an animal; an object to move	nongold
92	as a string of a musical instrument is plucked harder , the pitch produced will not change	nongold
93	louder means higher; greater in volume	nongold
94	an instrument is a piece of equipment	nongold
95	sound wave is a kind of mechanical wave	nongold
96	counter means reduce; stop; resist	nongold
97	a string is usually small in diameter	nongold
98	as  matter vibrates harder; faster , the  volume of the sound produced will increase	nongold
99	a finger is a part of a hand	nongold
