Question	Which two processes could result in the formation of high mountains with well-rounded peaks?	question
Answer	collision of crustal plates and erosion	answer
0	high mountains with well-rounded peaks can be formed by collision of crustal plates; erosion	gold
1	to cause means to result in	gold
2	to be formed by is to be the result of	nongold
3	the formation of something is a kind of process	gold
4	to produce means to result in	nongold
5	crustal plate means tectonic plate	nongold
6	to cause the formation of means to form	gold
7	erosion is a kind of process	nongold
8	the formation of rock is a kind of process	nongold
9	a process is a kind of event	nongold
10	result means outcome	nongold
11	product means result	nongold
12	mountains are formed by earthquakes; volcanoes; plate tectonics	nongold
13	plate tectonics is a kind of process	nongold
14	high means a lot of something	nongold
15	metamorphosis is a kind of process	nongold
16	both means two	nongold
17	low means down	nongold
18	colliding means coming into a collision	nongold
19	to happen means to occur	nongold
20	erosion is a kind of change	nongold
21	a reaction is a kind of process	nongold
22	to form means to create	nongold
23	if something is made of something else then the formation of that something requires that something else	nongold
24	to cause an event is similar to being involved in that event	nongold
25	breaking down is a kind of forming	nongold
26	to make means to form	nongold
27	something that happens is a kind of event	nongold
28	the crust is a layer of the Earth	nongold
29	Earth's plates means tectonic plates	nongold
30	high means great in altitude	nongold
31	low means low in elevation; height; altitude	nongold
32	change is a kind of process	nongold
33	forming something is a kind of change	nongold
34	round means circular in shape	nongold
35	high is similar to increase	nongold
36	a motion is a kind of event; action	nongold
37	to change into means to form	nongold
38	to cause means to make	nongold
39	form means kind	nongold
40	to be made of something means to be formed of that something	nongold
41	creating is similar to causing	nongold
42	extreme means very high in value	nongold
43	a change is a kind of event	nongold
44	sedimentary is a kind of rock	nongold
45	to be formed by is similar to being produced by	nongold
46	if something causes a process then that something is required for that process	nongold
47	the continental crust is made of rock	nongold
48	igneous intrusion is a kind of geologic process	nongold
49	low is the opposite of high	nongold
50	a mountain is made of rocks; soil	nongold
51	to add means to increase	nongold
52	to split means to break down	nongold
53	composed of means made of	nongold
54	to give is similar to to cause	nongold
55	a tectonic plate is a kind of object	nongold
56	to change means to cause a change	nongold
57	a mountain is a kind of landform	nongold
58	crust is similar to surface	nongold
59	a part of a process means a stage in a process	nongold
60	impact means effect	nongold
61	to increase is similar to to create	nongold
62	the crust of the Earth is similar to the surface of the Earth	nongold
63	the rock cycle is a cyclical process, with stages of formation, weathering	nongold
64	break apart means break down	nongold
65	break down means change from a whole into pieces	nongold
66	a type is synonymous with a kind	nongold
67	highest means largest; greatest; most in height	nongold
68	a cycle is a kind of process	nongold
69	to create means to make	nongold
70	sedimentary rocks are formed by sediment; materials that settle compacting; cementing together	nongold
71	faulting of rock in Earth's crust causes earthquakes	nongold
72	breaking down into pieces is a kind of change in shape	nongold
73	a result of something is evidence of that something	nongold
74	separate is similar to break down	nongold
75	a hill is more rounded than a mountain	nongold
76	to produce means to create	nongold
77	a mountain is high in altitude	nongold
78	to lead to means to cause	nongold
79	producing is a kind of process	nongold
80	metamorphic is a kind of rock	nongold
81	events occur at a specific place; at a specific time; with a specific frequency	nongold
82	forming is a kind of action	nongold
83	formation of a state of matter is a kind of process	nongold
84	the movement of crustal plates causes seafloor spreading	nongold
85	can be means able to be	nongold
86	sedimentary rocks are formed by deposition; cementation	nongold
87	metamorphosis of rocks is when rocks change from  one type into another type by  extreme heat and pressure	nongold
88	products are formed; are produced; are created	nongold
89	soil erosion is a kind of event	nongold
90	creating means making	nongold
91	affected means changed	nongold
92	different classes of rocks are formed by different methods	nongold
93	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
94	take apart means break down	nongold
95	a process usually requires all of the stages in that process	nongold
96	if an event occurs by adding something then that event requires that something	nongold
97	producing is similar to causing	nongold
98	becoming is similar to forming	nongold
99	weathering is a kind of process	nongold
