Question	Nectar is a sweet liquid that some flowering plants produce. A hummingbird drinks nectar from a flower. When a hummingbird drinks nectar, pollen from the flower sticks to the hummingbird's beak. The picture shows a hummingbird drinking nectar from a flower. Which statement explains the role of a hummingbird in the life cycle of a flowering plant?	question
Answer	A hummingbird helps the plant reproduce.	answer
0	a flower is a source of nectar	nongold
1	a hummingbird is a kind of animal	nongold
2	when pollen sticks to a hummingbird , that pollen will move to where the hummingbird moves	gold
3	pollen is part of a flower for reproduction	gold
4	hummingbirds eat nectar	nongold
5	a hummingbird is a kind of bird	gold
6	In the flowering plant life cycle , flowering is part of reproduction	nongold
7	a flower is a part of a plant for attracting pollinators; producing seeds	nongold
8	pollination is when pollinating animals; wind; water carry pollen from one flower to another flower	gold
9	In the flowering plant life cycle , pollination is part of reproduction	nongold
10	plant reproduction; seed production requires pollination	nongold
11	role means function	nongold
12	a flower is a kind of plant	nongold
13	nectar is used for attracting pollinators by plants	nongold
14	a beak is a part of a bird	nongold
15	a flower is a kind of object	nongold
16	plant reproduction often requires pollen	nongold
17	a plant is a kind of living thing	nongold
18	a bird is a kind of living thing	nongold
19	a plant is a kind of organism	nongold
20	producing is a kind of function	nongold
21	a flower produces pollen and seeds	nongold
22	a bird is a kind of animal	nongold
23	a source of something emits; produces; generates; provides that something	nongold
24	A bird is a pollinating animal	gold
25	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
26	a beak is used for catching prey by some birds	nongold
27	a stick is a kind of object	nongold
28	all living things have life cycles	nongold
29	producer is a kind of role in the food chain process; in an ecosystem	nongold
30	In the flowering plant life cycle , pollination can follow flowering	nongold
31	helping something has a  positive impact on that something	nongold
32	part means role	nongold
33	an object; material; substance comes from that object or material's source	nongold
34	a living thing is a kind of object	nongold
35	an animal is a kind of living thing	nongold
36	the function of something is what that something  is used to do	nongold
37	life means living things	nongold
38	An insect is a pollinating animal	nongold
39	to be used  for something means to help to do that something	nongold
40	a flower contains pollen for sexual reproduction	nongold
41	a plant; living thing requires food for survival	nongold
42	pollination is a kind of process for plant reproduction	gold
43	reproduction is a stage in the life cycle process	gold
44	role is similar to importance	nongold
45	pollinator means pollinating animal	nongold
46	if a living thing requires something then that something has a positive impact on that living thing	nongold
47	pollinating is a kind of function	nongold
48	an insect is a kind of animal	nongold
49	pollination requires pollinators; pollinating animals	nongold
50	if something comes from something else then that something else is a source of that something	nongold
51	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
52	living things can all reproduce	nongold
53	a flower's purpose is to produce seeds	nongold
54	a plant is a member of a plant species	nongold
55	reproduction increases the number; population of a living thing	nongold
56	green plants are a kind of producer	nongold
57	an organism is a living thing	nongold
58	providing is a kind of function	nongold
59	to help; to benefit means to be of use	nongold
60	to produce means to provide	nongold
61	a producer is a kind of living thing	nongold
62	a liquid is a kind of substance	nongold
63	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
64	reproduction produces; produce offspring	nongold
65	emit means produce	nongold
66	an animal; living thing requires nutrients for survival	nongold
67	purpose means role	nongold
68	an animal is a member of an animal species	nongold
69	to be a vehicle for is a kind of function	nongold
70	In the flowering plant life cycle , reproduction can follow growth	nongold
71	a food contains nutrients for living things	nongold
72	a role in the ecosystem is a role in the food chain process	nongold
73	requiring is similar to needing help	nongold
74	when an animal eats or drinks something , that animal tastes that something	nongold
75	an animal needs to eat food for nutrients	nongold
76	as the number of pollinators attracted to a flower; a plant increases , the ability of that flower; of that plant to reproduce will increase	nongold
77	causing is a kind of function	nongold
78	to eat means to consume food	nongold
79	In the flowering plant life cycle , fruiting is part of reproduction	nongold
80	high is similar to increase	nongold
81	In the flowering plant life cycle , flowering can follow growth	nongold
82	to be used for something means to be required by that something	nongold
83	to help means to aid	nongold
84	reproduction is a kind of process	nongold
85	an animal is a kind of organism	nongold
86	if something performs a task then that task is that something's function	nongold
87	converting is similar to producing	nongold
88	a beverage is a kind of liquid	nongold
89	producing is similar to releasing	nongold
90	a hummingbird can reach flowers by hovering in the air	nongold
91	requiring something means needing that something	nongold
92	to be involved in something means to have a role in something	nongold
93	In the food chain process a  green plant has the role of  producer	nongold
94	flowers often have a sweet smell to attract pollinators	nongold
95	a cycle is a kind of process	nongold
96	food is a source of energy for animals; plants	nongold
97	where something  comes from is a source of that something	nongold
98	to provide something means to be the source of that something	nongold
99	living things eat their food source	nongold
