Question	Sound waves travel fastest in	question
Answer	iron.	answer
0	sound travels fastest through solid	gold
1	sound requires matter to travel	nongold
2	iron is a kind of metal	nongold
3	fastest means greatest in  speed	nongold
4	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
5	metal is a kind of substance	nongold
6	sound travels slowest through gas	nongold
7	sound travels as longitudinal waves	nongold
8	soft iron; iron is always ferromagnetic; magnetic	nongold
9	travel means to move	nongold
10	the type of material through which sound passes changes the speed  at which sound travels	nongold
11	electromagnetic energy travels as electromagnetic waves	nongold
12	speed is  a measure of how fast the wave passes the medium	nongold
13	iron is a kind of solid	gold
14	metal is a kind of material	nongold
15	speed is a measure of how fast an object is moving	nongold
16	sound wave is a kind of wave	nongold
17	waves can travel through matter	nongold
18	light travels faster than sound	nongold
19	sound wave is similar to sound	gold
20	speed is a property of an object and includes values of slow; fast	nongold
21	iron is a kind of element	nongold
22	metals are made of metal	nongold
23	sound wave is a kind of mechanical wave	nongold
24	sound waves means sound energy	nongold
25	waves travel differently in different media	nongold
26	sound can travel through air by vibrating air	nongold
27	faster means an increase; higher in speed	nongold
28	media; medium means the material something travel through	nongold
29	sound is a kind of air vibration	nongold
30	An example of light traveling faster than sound is people see the lightnings before hear the thunder	nongold
31	steel is a kind of metal	nongold
32	sound energy is transferred by vibrational waves	nongold
33	rate is similar to speed	nongold
34	wave motion is transferred from the source to matter to produce sound	nongold
35	iron is always magnetic	nongold
36	a metal is a kind of element	nongold
37	electromagnetic wave is a kind of  wave	nongold
38	transport means to move; to make travel	nongold
39	high-frequency sound waves have low; short wavelengths	nongold
40	vibration is a kind of motion	nongold
41	sound means sound energy	nongold
42	electromagnetic waves can travel through a vacuum and matter	nongold
43	vibrations are a source of sound	nongold
44	a vibration is similar to a wave	nongold
45	sound is a kind of sound energy	nongold
46	a metal is usually a solid at room temperature	nongold
47	electromagnetic wave is not a mechanical wave	nongold
48	sound waves transfer energy	nongold
49	faster means increased rate	nongold
50	frequency is a property of a wave; a particel of light; an event	nongold
51	high speed means fast	nongold
52	an element is a kind of material	nongold
53	acoustic signal is a kind of sound wave	nongold
54	to pass means to travel	nongold
55	all electromagnetic waves have the same speed of 300000 km/s	nongold
56	light travels fastest through a vacuum	nongold
57	distance moved; distance travelled is a measure of how far an object moves	nongold
58	sound cannot travel through a vacuum	nongold
59	sound is produced when mechanical energy is transformed into sound energy	nongold
60	intense sound energy can move objects	nongold
61	metal is sometimes magnetic	nongold
62	calculating speed requires knowing distance travelled	nongold
63	waves travel outward from the source	nongold
64	light waves travel as transverse waves	nongold
65	a wave is a kind of object	nongold
66	speed up means increase	nongold
67	sound wave can be used to measure distance by measuring the time delay of the reflected wave	nongold
68	sound waves spread in all directions away from their source	nongold
69	iron is a kind of mineral	nongold
70	copper is a kind of metal	nongold
71	if an object is made of a material then that object has the properties of that material	nongold
72	An example of waves traveling through different media is hearing people talking on the other side of a wall	nongold
73	can be means able to be	nongold
74	as kinetic energy of an object increases , that object will travel faster	nongold
75	iron is more dense than water	nongold
76	vibrating matter can produce sound	nongold
77	matter; materials; substances are made of atoms; particles	nongold
78	radio wave is a kind of electromagnetic wave	nongold
79	objects are made of materials; substances; matter	nongold
80	sound wave with frequency range in 20-20000 hertz  can be heard by human	nongold
81	a device is a kind of object	nongold
82	all waves transfer; transmit energy from one place to another	nongold
83	sound is a kind of energy	nongold
84	steel; carbon steel is always ferromagnetic; magnetic	nongold
85	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
86	matter; molecules vibrating can cause sound	nongold
87	to slow; to slow down decreases speed	nongold
88	metal is an  electrical; electrical energy conductor	nongold
89	material means substance	nongold
90	rocks sometimes contain iron	nongold
91	as the the distance  between molecules decreases ,  the speed of the sound    will increase	nongold
92	a wave is formed by the vibration of the source spreading around from the source	nongold
93	twice the speed of is simiar to  faster	nongold
94	aluminum is a kind of matter	nongold
95	ferrous metals contain iron	nongold
96	nonmetal means not metal	nongold
97	noise means sound	nongold
98	transmitance is when a wave goes through; transmits through a surface and travels in the  same direction relative to the angle of incidence	nongold
99	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
