Question	Which unit of measurement describes an object's length?	question
Answer	meter	answer
0	a meter is a kind of unit for measuring distance; measuring length	gold
1	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
2	centimeters ( cm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 250.0	nongold
3	meters;centimeters;kilometers are used to describe distance; describe length	gold
4	length is a part of size	nongold
5	measuring is used for describing an object	nongold
6	a centimeter is used for measuring short lengths; short distances	nongold
7	length is a measure of distance from one end of an object to the other end of that object	nongold
8	a centimeter is a kind of unit of measurement	nongold
9	length is a property of the shape of an object	nongold
10	long means great in length	nongold
11	a measure of time is a length of time	nongold
12	a meter stick is a kind of tool for measuring length; measuring distance	nongold
13	height is a measure of length from the top of an object to the bottom of an object	nongold
14	a meter stick is used to measure distance; height; length	nongold
15	the volume of an object can be used to describe  the size of that object	nongold
16	millimeters ( mm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 100.0	nongold
17	measuring requires reading a measurement	nongold
18	diameter is a measure of length through the center of a circle	nongold
19	a ruler is used for measuring the length of an object	nongold
20	height is a property of the size of an object	nongold
21	the properties of something are used for describing that something	nongold
22	thickness is  a measure of how thick an object  is	nongold
23	shorter means decreased length	nongold
24	length of time means period of time	nongold
25	kilometers ( km ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
26	cubic meter ( m^3 ) is a metric unit used for measuring volume	nongold
27	measures of length; measures of distance are used to measure the amount of rainfall	nongold
28	an part of an object is smaller than the entire object	nongold
29	width is a property of size; shape and includes ordered values of narrow; wide	nongold
30	distance moved; distance travelled is a measure of how far an object moves	nongold
31	a living thing is a kind of object	nongold
32	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
33	a surface is a part of an object	nongold
34	picometer ( pm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
35	the location of an object can be used to describe that object	nongold
36	depth is a property of the shape of an object	nongold
37	property is similar to measurement	nongold
38	cutting a material usually requires measuring length	nongold
39	a surface is a kind of object	nongold
40	a ruler is a kind of tool for measuring length	nongold
41	angstrom ( Å ) is a metric unit used for measuring wavelength; interatomic distance; length; distance	nongold
42	square meter ( m^2 ) is a metric unit used for measuring area	nongold
43	wider means greater in width	nongold
44	objects are made of materials; substances; matter	nongold
45	a rod is a kind of object	nongold
46	density is a measure of mass of an object over volume; divided by volume	nongold
47	longest means greatest in length	nongold
48	a landform is a kind of object	nongold
49	mass is a measure of the amount of matter in an object	nongold
50	a human is a kind of animal	nongold
51	a scale is used for measuring weight	nongold
52	decimeters ( dm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 10.0	nongold
53	thin means small in width	nongold
54	unit is similar to part	nongold
55	can be means able to be	nongold
56	thickness is a property of an object and includes ordered  values of thin; thick	nongold
57	an object is made of its parts	nongold
58	inch ( in ) is a imperial unit used for measuring length; distance	nongold
59	a piece of something is a kind of object	nongold
60	a piece of an object is smaller in size than the whole object	nongold
61	a source of something emits; produces; generates; provides that something	nongold
62	shape is a property of an object	nongold
63	an animal is a kind of living thing	nongold
64	speed is a measure of how fast an object is moving	nongold
65	yards ( yd ) are a  imperial unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
66	a vehicle is a kind of object	nongold
67	affected means changed	nongold
68	shorter means smaller; less in  height	nongold
69	miles ( mi ) are a  imperial unit used for measuring length; distance generally used for values between 1.0 and 50000000.0	nongold
70	shortest means least; smallest in length	nongold
71	instrument means tool	nongold
72	mass; weight is a property of matter; objects; materials	nongold
73	motion; movement means moving; to move	nongold
74	to shorten means to make shorter	nongold
75	water is a kind of object	nongold
76	hardness is a property of a material; an object and includes ordered values of malleable; rigid	nongold
77	m/s means meters per second	nongold
78	a tool is a kind of object	nongold
79	refraction changes the length and the direction of light	nongold
80	mass is a property of objects; matter	nongold
81	a weight is a kind of object	nongold
82	nanometers ( nm ) are a  metric unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
83	typically means usually	nongold
84	a velocity is a measure of a speed in a direction	nongold
85	depth is a kind of distance vertically	nongold
86	a description sometimes provides information	nongold
87	weight is a property of objects; matter	nongold
88	the skeleton of an animal can be used for inferring the height; the length of that animal	nongold
89	a wheel is a kind of object	nongold
90	a kilogram is a kind of unit for measuring mass	nongold
91	calculation means measurement	nongold
92	variable means able to change	nongold
93	a surface is a part of a material	nongold
94	a rock is a kind of object	nongold
95	an event is a kind of action	nongold
96	a desk usually has a length with values between 50.0 and 250 cm	nongold
97	person is synonymous with human	nongold
98	a tectonic plate is a kind of object	nongold
99	a graduated cylinder is used to measure volume of a liquid; of an object	nongold
