Question	Which resource provides the minerals plants need to grow?	question
Answer	soil	answer
0	to depend on; to rely on; to need means to require	nongold
1	if something is required then that something must be provided	nongold
2	requiring something means needing that something	nongold
3	to provide means to supply	nongold
4	to provide something means to be the source of that something	nongold
5	a plant; living thing requires nutrients to grow	gold
6	to produce means to provide	nongold
7	a plant requires soil for survival; to grow	nongold
8	a source of something emits; produces; generates; provides that something	nongold
9	minerals are a nonrenewable resource	nongold
10	a plant requires water to grow	nongold
11	soil is a renewable resource for growing plants	gold
12	soil contains nutrients for plants	gold
13	a plants; living things require water for survival; to grow	nongold
14	some minerals are nutrients	gold
15	plants are a kind of resource	nongold
16	nutrients are a kind of resource	nongold
17	if something causes a process then that something is required for that process	nongold
18	if something contains something , then something is able to provide something	nongold
19	to be used for something means to be required by that something	nongold
20	resources becoming available has a positive impact on the things that need those resources	nongold
21	being used for is similar to providing	nongold
22	green plants are a kind of producer	nongold
23	what something needs is a property of that something	nongold
24	requiring is similar to needing help	nongold
25	soil contains water; humus; weathered rocks; organic matter	nongold
26	needing something means depending on that something	nongold
27	a material is a kind of resource	nongold
28	containing something is similar to providing that something	nongold
29	if something requires something else then that something requires a source of that something else	nongold
30	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
31	a plant requires photosynthesis to grow; survive	nongold
32	a plant is a kind of living thing	nongold
33	a mineral is a kind of solid; natural material	nongold
34	provide is similar to give; make	nongold
35	soil is made of very small rocks; minerals	gold
36	soil is a kind of material	nongold
37	all living things grow	nongold
38	soil fertility means the ability of soil to sustain plant growth	nongold
39	roots are a part of a plant; tree	nongold
40	to be required means to be necessary	nongold
41	if something is a raw material in a process then that something is required for that process	nongold
42	if something is required for a process then that something positively impacts that process	nongold
43	must have means require	nongold
44	food is a kind of resource	nongold
45	a plant is a kind of organism	nongold
46	land is a kind of resource	nongold
47	growing is a kind of process	nongold
48	high quality; rich; good soil has a high number of nutrients; amount of nitrogen	nongold
49	roots are a vehicle for absorbing water and nutrients from soil into the plant	nongold
50	soil is a part of the ground outside	nongold
51	a producer is a kind of living thing	nongold
52	decomposition increases the  amount of nutrients; nitrogen in the soil	nongold
53	an organism requires energy for growth; repair	nongold
54	a source of something supplies that something	nongold
55	rock is made of minerals	nongold
56	a plant; living thing requires food for survival	nongold
57	developing means growing	nongold
58	if a living thing is destroyed then the resources used by that living thing will become available	nongold
59	a leaf is a part of a  green plant	nongold
60	a leaf is a kind of plant	nongold
61	decomposition is when a decomposer recycles; returns nutrients; nitrogen from dead organisms to the soil by eating those dead organisms	nongold
62	a required resource being low in availability has a negative impact on the something  that requires that resource	nongold
63	soil is made of solid particles	nongold
64	a  plant requires sunlight to  grow	nongold
65	wood is a kind of resource	nongold
66	providing something means making;delivering something	nongold
67	fertile soil is high in quality	nongold
68	if a plant is planted; growing somewhere then that plant is located there	nongold
69	roots hold soil in place	nongold
70	transferring is similar to supplying	nongold
71	vegetation means plants	nongold
72	soil is usually part of an environment	nongold
73	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
74	crops grow in soil	nongold
75	growth is a kind of process	nongold
76	providing is a kind of function	nongold
77	forming is similar to growing	nongold
78	a supply of something is a source of that something	nongold
79	often soil is found in an environment	nongold
80	a tree is a kind of plant	nongold
81	low quality soil has a small; a low number of nutrients	nongold
82	an organism is a living thing	nongold
83	to power means to provide energy for	nongold
84	water is a kind of natural resource	nongold
85	water is a kind of natural resource	nongold
86	renewing soil increases nutrients in the soil	nongold
87	roots anchor plants into the soil	nongold
88	soil is found on the surface of the Earth	nongold
89	In the food chain process a  green plant has the role of  producer	nongold
90	helping something has a  positive impact on that something	nongold
91	the top layer of soil contains the most nutrients	nongold
92	trees are a kind of resource	nongold
93	a plant requires space to grow	nongold
94	oxygen is a kind of resource	nongold
95	nutrient poor soil means low quality soil	nongold
96	nutrients are a kind of material	nongold
97	essential means required	nongold
98	a part of a process means a stage in a process	nongold
99	nature is the source of natural resources	nongold
