Question	What do producers need to make food?	question
Answer	sunlight, water, and carbon dioxide	answer
0	a producer is a kind of living thing	nongold
1	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	gold
2	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	gold
3	providing something means making;delivering something	nongold
4	a producer produces its own food	nongold
5	make means produce	nongold
6	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	gold
7	to depend on; to rely on; to need means to require	gold
8	green plants are a kind of producer	gold
9	sunshine means sunlight	nongold
10	sunlight means solar energy	gold
11	green plants provide food for themselves; animals; consumers by performing photosynthesis	nongold
12	a source of something emits; produces; generates; provides that something	nongold
13	production is similar to making	nongold
14	making something requires resources	nongold
15	daylight means sunlight	nongold
16	to produce means to provide	nongold
17	In the food chain process a  green plant has the role of  producer	nongold
18	In the food chain process an animal has the role of  consumer which eats producers;other animals for food	nongold
19	carbon dioxide is a kind of gas	nongold
20	a consumer is a kind of organism	nongold
21	producing is a kind of process	nongold
22	a producer is a source of energy for consumers	nongold
23	requiring something means needing that something	nongold
24	a consumer can not produce its own food	nongold
25	producer is a kind of role in the food chain process; in an ecosystem	nongold
26	a  plant requires sunlight for photosynthesis	nongold
27	sunlight produces heat	nongold
28	sunlight is a kind of solar energy	nongold
29	solar energy is a renewable; inexhaustible resource	nongold
30	the sun is the source of solar energy called sunlight	nongold
31	an animal is a kind of consumer	nongold
32	a plant; living thing requires food for survival	nongold
33	solar energy is a kind of light	nongold
34	if something is a raw material in a process then that something is required for that process	gold
35	solar energy is an inexhaustible resource	nongold
36	food is a kind of resource	nongold
37	sunlight is a kind of light	nongold
38	if something causes a process then that something is required for that process	nongold
39	producers pass materials they use through the food chain	nongold
40	emit means produce	nongold
41	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
42	a producer is a source of sugar; food energy in an ecosystem	nongold
43	provide is similar to give; make	nongold
44	solar energy is a kind of heat energy	nongold
45	the sun is a source of light; light energy called sunlight	nongold
46	In the cellular respiration; animal respiration process carbon dioxide is a waste product	nongold
47	products are formed; are produced; are created	nongold
48	converting is similar to producing	nongold
49	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
50	if an organism makes food for itself then that organism does not need to eat other organisms	nongold
51	to cause means to make	nongold
52	to be used for something means to be required by that something	nongold
53	carbon dioxide is a kind of greenhouse gas	nongold
54	carbon dioxide can trap solar energy	nongold
55	to contribute is similar to produce	nongold
56	if something requires something else then that something requires a source of that something else	nongold
57	to be required means to be necessary	nongold
58	if a plant dies then that plant will not produce food	nongold
59	a food contains nutrients for living things	nongold
60	to eat means to consume food	nongold
61	an organism breaking down sugar is a source of carbon dioxide; water	nongold
62	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
63	to provide something means to be the source of that something	nongold
64	an animal needs to eat food for nutrients	nongold
65	requiring is similar to needing help	nongold
66	to receive sunlight means to absorb sunlight	nongold
67	to produce means to create	nongold
68	to create means to make	nongold
69	carbon dioxide can be found in the air	nongold
70	solar energy is a kind of energy	nongold
71	solar power means solar energy	nongold
72	automobiles; industrialization are a source of carbon dioxide	nongold
73	water is a kind of substance	nongold
74	needing something means depending on that something	nongold
75	a plants; living things require water for survival; to grow	nongold
76	if something is required then that something must be provided	nongold
77	creating means making	nongold
78	a product is a kind of object	nongold
79	temperature is a measure of heat energy	nongold
80	generate means produce	nongold
81	a plant is a kind of organism	nongold
82	an animal; living thing requires nutrients for survival	nongold
83	developing means making	nongold
84	manufacturing means making	nongold
85	organisms are made of carbon	nongold
86	processes sometimes produce waste products	nongold
87	manufacture means make	nongold
88	receiving sunlight  is synonymous with absorbing sunlight	nongold
89	to add means to increase	nongold
90	animals; living things require water for survival	nongold
91	heat means heat energy	nongold
92	a part of a process means a stage in a process	nongold
93	high is similar to increase	nongold
94	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
95	give off is similar to make	nongold
96	producing is similar to causing	nongold
97	to give off means to be the source of	nongold
98	to be formed by is similar to being produced by	nongold
99	a crop is a kind of food	nongold
