Question	Matter that is vibrating is producing ___.	question
Answer	sound	answer
0	vibrating matter can produce sound	nongold
1	matter; molecules vibrating can cause sound	gold
2	a source of something emits; produces; generates; provides that something	nongold
3	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
4	generate means produce	nongold
5	converting is similar to producing	nongold
6	sound is produced when mechanical energy is transformed into sound energy	nongold
7	as the amount that matter vibrates increases , sound produced increases	nongold
8	substances are made of matter	nongold
9	materials are made of matter	nongold
10	objects are made of materials; substances; matter	nongold
11	as  matter vibrates harder; faster , the  volume of the sound produced will increase	nongold
12	sound is a kind of air vibration	gold
13	a hum is a kind of sound	nongold
14	a producer is a kind of living thing	nongold
15	when two objects are touched; are contacted; move against each other , sound is produced	nongold
16	matter; materials; substances are made of atoms; particles	nongold
17	sound means sound energy	nongold
18	vibrations are a source of sound	nongold
19	producing is similar to releasing	nongold
20	hard objects can vibrate more than soft objects	nongold
21	producing is similar to causing	gold
22	to produce means to create	nongold
23	oscillation means physical vibration	nongold
24	to be formed by is similar to being produced by	nongold
25	wave motion is transferred from the source to matter to produce sound	nongold
26	sound is a kind of sound energy	nongold
27	emit means produce	nongold
28	a vibration is similar to a wave	nongold
29	make means produce	nongold
30	products are formed; are produced; are created	nongold
31	rattle is similar to vibrate	nongold
32	matter is made of molecules	nongold
33	plucking; strumming a string can cause that string to vibrate	nongold
34	if something causes an increase in something else then that something produces that something else	nongold
35	an increase is a kind of change	nongold
36	sound can travel through air by vibrating air	nongold
37	produce is similar to release	nongold
38	aluminum is a kind of matter	nongold
39	molecules in a solid vibrates within a fixed place	nongold
40	solid is a kind of state of matter	nongold
41	noise means sound	nongold
42	vibration is a kind of motion	nongold
43	as a string of a musical instrument is plucked harder , the string will vibrate harder; faster	nongold
44	to add means to increase	nongold
45	musical instruments make sound when they are played	nongold
46	tapping two objects together causes the particles in those objects to vibrate	nongold
47	a musical instrument is a kind of object	nongold
48	to produce means to provide	nongold
49	pitch of a sound can be  used to describe the frequency of the sound wave	nongold
50	producing is a kind of function	nongold
51	hitting an object causes the particles in that object to vibrate	nongold
52	playing music causes sound to be produced	nongold
53	producing is a kind of process	nongold
54	converting is similar to generating	nongold
55	producing thrust causes something; an animal; an object to move	nongold
56	sound waves means sound energy	nongold
57	to generate means to create	nongold
58	a string is a part of a guitar for producing sound	nongold
59	to contribute is similar to produce	nongold
60	high is similar to increase	nongold
61	sound wave is similar to sound	nongold
62	air is a kind of matter	nongold
63	gas is a kind of state of matter	nongold
64	production is similar to making	nongold
65	causing is similar to generating	nongold
66	sound is a kind of energy	nongold
67	liquid is a kind of state of matter	nongold
68	if an object is made of a material then that object has the properties of that material	nongold
69	particles in objects are a kind of matter	nongold
70	if something emits something else then that something increases the amount of that something else	nongold
71	thunder is a kind of sound	nongold
72	composition is a property of an object; matter	nongold
73	creating means making	nongold
74	producing is similar to discharging	nongold
75	to increase is similar to to create	nongold
76	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
77	to produce means to result in	nongold
78	to create means to make	nongold
79	water is a kind of matter	nongold
80	volume means the loudness of a sound	nongold
81	to give off means to be the source of	nongold
82	sound energy is transferred by vibrational waves	nongold
83	can be means able to be	nongold
84	a rubber band snapping causes the particles in the rubber band to vibrate	nongold
85	an object is made of its parts	nongold
86	sound wave is a kind of mechanical wave	nongold
87	formation of a state of matter is a kind of process	nongold
88	mechanical energy is a kind of energy	nongold
89	conductivity is a property of a material; substance	nongold
90	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
91	human voice is a kind of sound	nongold
92	to convert means to change	nongold
93	a wave is formed by the vibration of the source spreading around from the source	nongold
94	a rattle is a kind of vibration	nongold
95	a molecule is a kind of object	nongold
96	An example of mechanical energy is an object in motion	nongold
97	an animal is a kind of living thing	nongold
98	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
99	to cause means to make	nongold
