Question	Kendall studied the ways in which human body systems work together. He compared the respiratory and circulatory systems. In which way are these two systems similar to each other?	question
Answer	They both bring oxygen to the body.	answer
0	the respiratory system transfers oxygen to the circulatory system	nongold
1	the circulatory system brings oxygen from the lungs to the rest of the body	gold
2	the circulatory system absorbs; carries food; substances; oxygen from the digestive and respiratory systems to the rest of the body	nongold
3	the circulatory system is a kind of human; organ; body system	nongold
4	bringing oxygen to the body is a kind of function	gold
5	the respiratory system is a kind of human; organ; body system	nongold
6	to cause is similar to bring	nongold
7	the circulatory system absorbs; carries food; substances from the digestive system to the rest of the body	nongold
8	blood is a part of the circulatory system	nongold
9	the lungs are a part of the respiratory system	gold
10	if two things perform the same function then those two things are similar	gold
11	circulation the circulatory system transports blood throughout the body	nongold
12	an organ system is made of different parts of the body working together	nongold
13	the heart is a part of the circulatory system	nongold
14	veins; arteries are a part of the circulatory system	nongold
15	to transfer means to bring; to get something to	nongold
16	to bring means to transport	nongold
17	the respiratory system takes in oxygen from the air	gold
18	bringing substances to the body is a kind of function	nongold
19	blood is a vehicle for carrying oxygen from the lungs to the cells; rest of the body	nongold
20	a body system is a part of the body; an animal	nongold
21	oxygen is a kind of gas at room temperature	nongold
22	both means two	nongold
23	the respiratory system performs respiration	nongold
24	a human is a kind of animal	nongold
25	the nervous system is a kind of body; organ system	nongold
26	the lungs are a part of the body of an animal used for breathing air	nongold
27	comparing requires observing that something	nongold
28	oxygenated means having oxygen	nongold
29	if two things are made from the same objects; material then those two things are similar	nongold
30	a body system is a kind of object	nongold
31	blood absorbs oxygen in the lungs	nongold
32	apart is the opposite of together	nongold
33	organ system means body system	nongold
34	the diaphragm is a part of the respiratory system	nongold
35	comparing requires measuring	nongold
36	a source of something emits; produces; generates; provides that something	nongold
37	human is a kind of organism	nongold
38	if something transfers something else then that something is a source of something else	nongold
39	breathing is a kind of process	nongold
40	the body is a part of an organism	nongold
41	different is the opposite of the same	nongold
42	capillaries  are a part of the circulatory system	nongold
43	the nervous system is a part of the body of an animal	nongold
44	convert is similar to transfer	nongold
45	the absorption of oxygen through the blood occurs in the lungs	nongold
46	high is similar to increase	nongold
47	to change means to become different	nongold
48	transferring is similar to supplying	nongold
49	gas is a kind of substance	nongold
50	internal organs are a part of the body	nongold
51	breathing is a kind of  function	nongold
52	if something changes , then that something is not the same	nongold
53	an animal; bacterium requires oxygen for survival; to breathe	nongold
54	to transfer is similar to transport	nongold
55	breathing  is when a lung converts from oxygen in air into oxygen in blood	nongold
56	same means identical; equal in value; amount; number; quantity	nongold
57	to work means to function	nongold
58	identical is the opposite of different	nongold
59	air is a kind of gas	nongold
60	if two objects are similar , then the two objects share properties	nongold
61	an animal is a kind of living thing	nongold
62	the mouth is a part of the respiratory system	nongold
63	if two things have the same features then those two things are alike	nongold
64	breathing is when animals convert oxygen into carbon dioxide	nongold
65	converting is similar to releasing	nongold
66	to add means to increase	nongold
67	opposite is a kind of different	nongold
68	if something releases something else then that something is the source of that something else	nongold
69	an animal is a kind of organism	nongold
70	to flow is similar to to transfer	nongold
71	exhaling  is when an animal expels air from the lungs	nongold
72	each is similar to individual	nongold
73	to conduct is similar to to transfer	nongold
74	similar means in common	nongold
75	to be used for something means to be required by that something	nongold
76	if something is not the same as something else then that something is different from that something else	nongold
77	the digestive system is a kind of body; human system	nongold
78	similarity means the same property	nongold
79	to breathe in means to absorb air	nongold
80	person is synonymous with human	nongold
81	human is similar to individual	nongold
82	bringing is a kind of action	nongold
83	affected means changed	nongold
84	transfer is a kind of process	nongold
85	all animals breathe	nongold
86	a lung is a kind of organ for breathing air	nongold
87	the  property of something is the same for the things of same kind	nongold
88	an increase is a kind of change	nongold
89	an organism is a living thing	nongold
90	studying is similar to observing	nongold
91	can be means able to be	nongold
92	the body of an animal contains arteries; veins	nongold
93	the nervous system is the vehicle for controlling the body	nongold
94	breathing in is when animals inhale air into their lungs	nongold
95	the function of something is what that something  is used to do	nongold
96	returning is similar to bringing	nongold
97	system is similar to structure	nongold
98	classifying requires comparing	nongold
99	oxygen is a stage in the carbon dioxide-oxygen cycle process	nongold
