Question	In plants, which describes sexual reproduction but not asexual reproduction?	question
Answer	A fertilized egg cell divides to produce an embryo.	answer
0	a fertilized egg cell is a source of an embryo by dividing	gold
1	fertilization is when an egg cell becomes fertilized	gold
2	fertilization is not a stage in the asexual reproduction process	gold
3	a source of something emits; produces; generates; provides that something	gold
4	fertilization is a stage in the sexual reproduction process	gold
5	an egg cell is a kind of sex cell	nongold
6	a fertilized egg cell is a kind of somatic cell	nongold
7	sexual reproduction is a kind of reproduction	nongold
8	animals require fertilization to reproduce	nongold
9	asexual reproduction is when a single parent passes inherited traits to offspring	nongold
10	asexual reproduction is not a source of genetic variation in offspring	nongold
11	sexual reproduction in animals is when egg; sperm join together	nongold
12	An example of asexual reproduction is when an organism creates cells identical to itself without combining genes from parent cells	nongold
13	a plant is a kind of living thing	nongold
14	reproduction produces; produce offspring	nongold
15	a plant is a kind of organism	nongold
16	animals reproduce sexually	nongold
17	an asexually produced offspring is genetically identical to its parent	nongold
18	fertilization is a kind of process	nongold
19	cell division means cell reproduction	nongold
20	embryos are a stage in the animal development process	nongold
21	each sex cell provides half the number of chromosomes in a fertilized egg through sexual reproduction	nongold
22	a plant cell is a kind of cell	nongold
23	gamete means sex cell	nongold
24	producing is similar to causing	nongold
25	to split means to divide	nongold
26	sexual reproduction produces offspring with genetic material from both parents; cells with genetic material from both parent cells	nongold
27	a zygote is a kind of fertilized ovum; egg	nongold
28	a sperm cell is a kind of  sex cell	nongold
29	an animal cell is a kind of cell	nongold
30	an animal is a kind of living thing	nongold
31	an animal is a kind of eukaryote	nongold
32	a plant is made of plant cells	nongold
33	generate means produce	nongold
34	to produce means to result in	nongold
35	an organism is a living thing	nongold
36	an animal is a kind of organism	nongold
37	to reproduce means to have; to produce offspring	nongold
38	the reproductive system produces sperm; egg cells	nongold
39	to be formed by is similar to being produced by	nongold
40	live birth means developing inside the mother instead of an egg	nongold
41	gamete development is a stage in the sexual reproduction process	nongold
42	sexual reproduction is a source of genetic variation; naturally occurring variation in offspring; in a species	nongold
43	emit means produce	nongold
44	converting is similar to producing	nongold
45	reproduction is a kind of process	nongold
46	to split means to break down	nongold
47	producing is a kind of process	nongold
48	if an animal hatches from an egg then that animal is born	nongold
49	to produce means to provide	nongold
50	cell division is a kind of process	nongold
51	a living thing is made of cells	nongold
52	development is similar to production	nongold
53	An example of reproduction is laying eggs	nongold
54	meiosis produces four haploid sex cells from a diploid parent cell	nongold
55	a living thing is a kind of object	nongold
56	a part of a process means a stage in a process	nongold
57	a cell is a kind of object	nongold
58	to contribute is similar to produce	nongold
59	high is similar to increase	nongold
60	an egg is a kind of object	nongold
61	if something causes an increase in something else then that something produces that something else	nongold
62	decomposing is similar to separating	nongold
63	to produce means to create	nongold
64	a process usually requires all of the stages in that process	nongold
65	a sex cell of a human contains 23 chromosomes	nongold
66	to cause means to result in	nongold
67	a component of something means a part of that something	nongold
68	new cells with a full set of chromosomes are formed by fertilization	nongold
69	reproduction increases the number; population of a living thing	nongold
70	if something causes a process then that something is required for that process	nongold
71	the properties of something are used for describing that something	nongold
72	an egg is a kind of food	nongold
73	producing is similar to discharging	nongold
74	a component means a part of	nongold
75	increase means more	nongold
76	to happen means to occur	nongold
77	a process is a kind of event	nongold
78	parents produce offspring	nongold
79	in sexual reproduction the egg is a vehicle for the genes from the mother to the offspring	nongold
80	to be used for something means to be required by that something	nongold
81	not is similar to the opposite of	nongold
82	an animal requires a mate to fertilize an egg	nongold
83	some adult animals lay eggs	nongold
84	a cycle is a kind of process	nongold
85	can be means able to be	nongold
86	the parent cell is the original cell	nongold
87	an event is a kind of action	nongold
88	cell division often causes growth; healing	nongold
89	opposite is a kind of different	nongold
90	An example of asexual reproduction is a plant sending out rootlike extensions to produce new stems	nongold
91	a seed is a kind of young plant	nongold
92	form means kind	nongold
93	a type is synonymous with a kind	nongold
94	some animals have offspring by laying eggs	nongold
95	if something is caused by something else , then that something can be explained by that something else	nongold
96	a seedling is a kind of young plant	nongold
97	a producer is a kind of living thing	nongold
98	newborn means just born	nongold
99	a step in a process means a stage in a process	nongold
