Question	Which object in our solar system reflects light and is a satellite that orbits around one planet?	question
Answer	the Moon	answer
0	a satellite orbits a planet	gold
1	a moon is a kind of satellite	gold
2	planets reflect the light of the sun	nongold
3	planets orbit stars	nongold
4	planets in the solar system orbit the Sun	nongold
5	reflection is when light is reflected from one object; one place to  another object; another place	nongold
6	a satellite is a kind of instrument for observing Earth's surface	nongold
7	moons orbit planets	nongold
8	revolving  around something means orbiting that something	nongold
9	astronomy is the study of celestial (objects, bodies)	nongold
10	the Moon is Earth's moon	nongold
11	a planet is a kind of celestial object; body	nongold
12	the moon orbits the Earth	gold
13	a moon is a kind of celestial object; body	gold
14	to reflect light means to scatter light	nongold
15	sunlight is a kind of light	gold
16	if an object orbits a celestial object then that object is probably a celestial object as well	nongold
17	reflection is a property of light	nongold
18	the solar system contains the moon	gold
19	the moon reflects sunlight towards the Earth	gold
20	shiny things; objects reflect light	nongold
21	satellites are found in space	nongold
22	the solar system is a kind of system	nongold
23	the Sun is a kind of star	nongold
24	moons; comets; planets are part of the solar system	nongold
25	solar energy is a kind of light	nongold
26	all planets orbit the sun in the same direction	nongold
27	sunlight is a kind of solar energy	nongold
28	a star is a kind of celestial object; celestial body	nongold
29	the solar system contains eight planets	nongold
30	satellites are used to take images from space	nongold
31	light is made of photons	nongold
32	the sun is a source of light; light energy called sunlight	nongold
33	moons are large; solid; spherical	nongold
34	astronomy is a kind of branch of science	nongold
35	the moon revolving around; orbiting the Earth causes the phases of the moon	nongold
36	our Sun is located at the center of our solar system	nongold
37	light is a kind of wave	nongold
38	reflection is when particles bounce off a surface	nongold
39	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
40	the sun is the source of solar energy called sunlight	nongold
41	system means a set of objects	nongold
42	the sun is a source of radiation; heat called sunlight	nongold
43	orbit means orbital path	nongold
44	light means light energy	nongold
45	a planet is a kind of location	nongold
46	emit means send out	nongold
47	light is a kind of electromagnetic radiation	nongold
48	a moon is located in space	nongold
49	solar radiation means solar energy	nongold
50	light is a kind of energy	nongold
51	light is a kind of energy	nongold
52	a planet completes one orbit around its star over a period of one planetary year	nongold
53	Earth is a kind of planet	nongold
54	the Earth revolves around the sun	nongold
55	a reflector is used to reflect light especially on vehicles	nongold
56	a body system is a kind of object	nongold
57	satellites; spacecraft launched from Earth need to reach a specific speed to escape Earth's surface to overcome earth's gravitational force	nongold
58	a photon is a kind of  particles	nongold
59	solar energy is a kind of energy	nongold
60	reflection is when a wave bounces off a surface and travels in the  opposite direction relative to the angle of incidence	nongold
61	type of moon; kind of moon means moon phase	nongold
62	reflecting light; sound is the opposite of absorbing light; sound	nongold
63	sunlight means solar energy	nongold
64	the moon orbiting the Earth occurs approximately 13 times per year	nongold
65	Celestial bodies move in orbits in space around other celestial bodies	nongold
66	the sun is a kind of yellow dwarf	nongold
67	the sun is  the largest celestial body in our solar system	nongold
68	the moon's orbit is elliptical	nongold
69	to bounce back means to reflect	nongold
70	a planet is a kind of place	nongold
71	objects are made of materials; substances; matter	nongold
72	solar energy is a kind of heat energy	nongold
73	the moon is the celestial object that is closest to the  Earth	nongold
74	reflection is a kind of process	nongold
75	the sun  is the source of energy for physical cycles on Earth	nongold
76	orbiting is a kind of action	nongold
77	planets have cleared their orbits	nongold
78	Neptune is a kind of planet in the solar system	nongold
79	gravity means gravitational pull; gravitational energy; gravitational force; gravitational attraction	nongold
80	to send means to transfer	nongold
81	a planet's  moon is smaller than that planet	nongold
82	a star produces light and heat	nongold
83	a source of something emits; produces; generates; provides that something	nongold
84	emit means produce	nongold
85	light reflecting off of an object causes that object to be visible to the observer	nongold
86	visible light is a kind of  light	nongold
87	answering questions requires information	nongold
88	the moon orbiting the Earth occurs once per month	nongold
89	brightness is a property of a light source	nongold
90	can be means able to be	nongold
91	planets are found in space	nongold
92	the sun is the source of energy for life on Earth	nongold
93	gas is a kind of object	nongold
94	frequency is a property of a wave; a particel of light; an event	nongold
95	brightness means amount of light	nongold
96	events occur at a specific place; at a specific time; with a specific frequency	nongold
97	matter; materials; substances are made of atoms; particles	nongold
98	astronomical body means celestial body	nongold
99	an orbit is a kind of regular path	nongold
