Question	What two gases make up most of the Earth's atmosphere?	question
Answer	Oxygen and nitrogen	answer
0	nitrogen is a kind of gas	gold
1	nitrogen is a kind of element	nongold
2	the Earth's atmosphere is made of 78 percent nitrogen by mass	gold
3	most means over 50% of something	gold
4	made up of means contains; made of	nongold
5	the Earth's atmosphere is made of .036 percent carbon dioxide by volume	nongold
6	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
7	the parts of something make up that something	nongold
8	carbon dioxide is a kind of gas	nongold
9	oxygen  is a kind of element	nongold
10	the Earth's atmosphere is made of 23.133 percent oxygen by mass	gold
11	oxygen gas is made of only  oxygen element	nongold
12	atmosphere means  air	nongold
13	to be made of means to consist of	nongold
14	all the other means the rest of	nongold
15	oxygen is more common than hydrogen on Earth	nongold
16	oxygen is a kind of gas at room temperature	gold
17	nitrogen as an elemental gas is more stable than nitrogen compounds	nongold
18	carbon; hydrogen; nitrogen; oxygen are the most common elements in organic compounds	nongold
19	water is made of hydrogen and oxygen	nongold
20	the atmosphere contains gases; liquids; solids	nongold
21	hydrogen is a kind of gas at room temperature	nongold
22	ammonia is made of nitrogen and hydrogen	nongold
23	atmospheric means of the atmosphere	nongold
24	made of is similar to contains	nongold
25	air is a kind of gas	nongold
26	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
27	both means two	nongold
28	substances are made of elements	nongold
29	composed of means made of	nongold
30	largest amount means most	nongold
31	denitrification is when nitrogen becomes part of the lithosphere	nongold
32	hydrogen is a kind of element	nongold
33	a  gas is a kind of  element	nongold
34	gaseous means of gas	nongold
35	nitrogen is a kind of nutrient for plant growth	nongold
36	N means nitrogen	nongold
37	one in  two means half; 50%	nongold
38	usually means most of the time	nongold
39	the nitrogen cycle is a cyclical process, with stages of nitrogen fixation, nitrification, assimilation, ammonification, denitrification	nongold
40	all elements are a kind of pure substance	nongold
41	Earth is a kind of planet	nongold
42	oxygen is a stage in the carbon dioxide-oxygen cycle process	nongold
43	carbon monoxide is a kind of gas	nongold
44	answering questions requires information	nongold
45	an animal; bacterium requires oxygen for survival; to breathe	nongold
46	greatest means largest; highest; most amount of something	nongold
47	carbon is a kind of element	nongold
48	carbon dioxide is a kind of greenhouse gas	nongold
49	legumes contain nitrogen	nongold
50	a component means a part of	nongold
51	carbon dioxide can be found in the air	nongold
52	Earth has air	nongold
53	gas is a kind of substance	nongold
54	organic compounds mainly are made of carbon; hydrogen; oxygen; nitrogen	nongold
55	hydrogen contains chemical energy	nongold
56	if something is made of something else then that something can be broken down into that something else	nongold
57	a component of something means a part of that something	nongold
58	an object is made of its parts	nongold
59	accounting for means making up some amount	nongold
60	combustion is a kind of chemical change	nongold
61	to be made of something means to be formed of that something	nongold
62	a whole is formed by its parts	nongold
63	to be formed by is similar to being produced by	nongold
64	oxygen rich means a high amount of oxygen	nongold
65	unit is similar to part	nongold
66	emit means produce	nongold
67	quantity means amount	nongold
68	oxygen is a kind of resource	nongold
69	the compounds that make up ocean water are made of mostly oxygen	nongold
70	saturation of oxygen means oxidized	nongold
71	if something is made of something else , then that something else will be the component of that something	nongold
72	vapor is synonymous with gas	nongold
73	liquid; solid means nongaseous	nongold
74	oxygenated means having oxygen	nongold
75	a source of something emits; produces; generates; provides that something	nongold
76	an event is a kind of action	nongold
77	an element is a kind of  substance	nongold
78	guanine is a kind of nitrogenous base in DNA; RNA	nongold
79	carbon dioxide is more dense than air	nongold
80	if something causes a process then that something is required for that process	nongold
81	air is a kind of matter	nongold
82	the number of parts of something is a property of that something	nongold
83	a process is a kind of event	nongold
84	to give off means to be the source of	nongold
85	nitrogen fixation is when nitrogen becomes fixed by bacteria in the soil	nongold
86	can be means able to be	nongold
87	substances are made of matter	nongold
88	the air is a kind of substance	nongold
89	state means form	nongold
90	combustion is a kind of exothermic reaction	nongold
91	an  element is a kind of atom	nongold
92	oxygen has a positive impact on air quality	nongold
93	Earth's atmosphere has different layers	nongold
94	how many means what number	nongold
95	a compound is made of two or more elements that have been chemically combined	nongold
96	a type is synonymous with a kind	nongold
97	a part of a process means a stage in a process	nongold
98	make means produce	nongold
99	CO2 means carbon dioxide	nongold
