Question	The digestive system breaks food into simple substances that the body can use. What system carries these simple substances from the digestive system to other parts of the body?	question
Answer	circulatory	answer
0	the circulatory system is a kind of human; organ; body system	nongold
1	the circulatory system absorbs; carries food; substances from the digestive system to the rest of the body	nongold
2	the circulatory system absorbs; carries food; substances; oxygen from the digestive and respiratory systems to the rest of the body	gold
3	circulation the circulatory system transports blood throughout the body	nongold
4	blood is a part of the circulatory system	nongold
5	veins; arteries are a part of the circulatory system	nongold
6	the breaking down of food into simple substances occurs in the digestive system	gold
7	to carry means to transport	nongold
8	the respiratory system transfers oxygen to the circulatory system	nongold
9	the digestive system is a kind of body; human system	nongold
10	carrying something means moving that something	nongold
11	the heart is a part of the circulatory system	nongold
12	the digestive system is a kind of body; organ system	nongold
13	the digestive system breaks down food into nutrients for  the body	nongold
14	capillaries  are a part of the circulatory system	nongold
15	to carry means to move something	nongold
16	the circulatory system brings oxygen from the lungs to the rest of the body	nongold
17	the digestive system digests food for the body	nongold
18	to digest means to break down food	nongold
19	a body system is a part of the body; an animal	nongold
20	a food contains nutrients for living things	nongold
21	breaking food into nutrients means preparing food for cells	nongold
22	digestion is when stomach acid breaks down food	nongold
23	the excretory system is a kind of body system	nongold
24	the body is a part of an organism	nongold
25	an animal is a kind of living thing	nongold
26	carrier means the ones that carry	nongold
27	the stomach is a part of the  digestive system	nongold
28	an organism is a living thing	nongold
29	internal organs are a part of the body	nongold
30	digestion is a kind of bodily process	nongold
31	a human is a kind of animal	nongold
32	if something breaks , then that something cannot be used	nongold
33	bringing substances to the body is a kind of function	nongold
34	food is a kind of substance	nongold
35	to carry something means to contain something	nongold
36	a stomach is a part of a human's; animal's digestive system for the digestion of proteins	nongold
37	a body system is a kind of object	nongold
38	a component means a part of	nongold
39	a component of something means a part of that something	nongold
40	nutrients are a kind of substance	nongold
41	the function of something is what that something  is used to do	nongold
42	where something  comes from is a source of that something	nongold
43	swallowing  is when the esophagus carries; transports food from the mouth to the stomach	nongold
44	digestion is when food is absorbed into the blood stream	nongold
45	system means a set of objects	nongold
46	a process usually requires all of the stages in that process	nongold
47	the pancreas is a part of the digestive system	nongold
48	a source of something emits; produces; generates; provides that something	nongold
49	a part of a process means a stage in a process	nongold
50	arteries; veins transport nutrients; water; minerals throughout the body	nongold
51	separate is similar to break down	nongold
52	if something comes from something else then that something else is a source of that something	nongold
53	food contains carbohydrates	nongold
54	the body of an animal contains arteries; veins	nongold
55	to be used for something means to be required by that something	nongold
56	an animal is a kind of organism	nongold
57	organ system means body system	nongold
58	the respiratory system is a kind of human; organ; body system	nongold
59	distributing is similar to carrying	nongold
60	an animal; living thing requires nutrients for survival	nongold
61	an event is a kind of action	nongold
62	transporting is a kind of function	nongold
63	requiring is similar to needing help	nongold
64	the stomach is a kind of organ	nongold
65	nutrients are a kind of matter	nongold
66	an part of an object is smaller than the entire object	nongold
67	a calculator is used for adding; subtracting; multiplying; dividing	nongold
68	a process is a kind of event	nongold
69	helping bodily processes has a positive impact on an animal; an animal's health	nongold
70	the intestines are a part of the digestive system	nongold
71	a body part is a kind of object	nongold
72	breaking a part of the body means breaking a bone in that part of the body	nongold
73	if something transfers something else then that something is a source of something else	nongold
74	breaking down is a kind of function	nongold
75	to break down means to break into smaller pieces	nongold
76	the nervous system is a kind of body; organ system	nongold
77	helping something has a  positive impact on that something	nongold
78	a mechanism is a kind of system that performs a function	nongold
79	to transfer is similar to transport	nongold
80	can be means able to be	nongold
81	the small intestine is a part of the digestive system	nongold
82	if something is made of something else then that something can be broken down into that something else	nongold
83	carrying is similar to conducting	nongold
84	motion; movement means moving; to move	nongold
85	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
86	a living thing is a kind of object	nongold
87	an increase is a kind of change	nongold
88	breaking down is a kind of forming	nongold
89	eating;digestion is when an organism takes in nutrients from food into itself by eating	nongold
90	to bring means to transport	nongold
91	substances are made of molecules	nongold
92	the muscular system is a kind of body; organ system	nongold
93	a medium carries something to someplace	nongold
94	digestion of proteins occurs in the stomach; small intestine	nongold
95	a part of a living thing is a natural structure	nongold
96	living things perform biological processes	nongold
97	a structure of something is synonymous with a part of that something	nongold
98	a motion is a kind of event; action	nongold
99	transport means to move; to make travel	nongold
