Question	Many scientists think that burning fossil fuels has increased the amount of carbon dioxide in the atmosphere. What effect would the increase of carbon dioxide most likely have on the planet?	question
Answer	a warmer climate	answer
0	burning fossil fuels increases the carbon in the atmosphere	nongold
1	a climate is synonymous with an environment	nongold
2	colder; cooler means lower in temperature	nongold
3	as the amount of carbon dioxide in the atmosphere increases , the temperature of the planet; the atmosphere will increase	gold
4	warmer means greater; higher in temperature; warmth	gold
5	planets have climate	nongold
6	carbon dioxide is a kind of greenhouse gas	nongold
7	heat means temperature increases	nongold
8	climate is the usual kind of weather in a location over a period of time	gold
9	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
10	to cause means to have an effect	nongold
11	fossil fuels burning causes pollution	nongold
12	temperature is a measure of heat energy	nongold
13	to change means to have an effect	gold
14	increase means more	nongold
15	temperature is a property of weather	gold
16	cooler means colder	nongold
17	impact means effect	nongold
18	fossil fuels release carbon dioxide into the atmosphere	nongold
19	as distance from the equator decreases , the climate will become warmer	nongold
20	carbon dioxide is a kind of gas	nongold
21	temperature rise means become warmer	nongold
22	an increase is the opposite of a decrease	nongold
23	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
24	air temperature is a kind of temperature	nongold
25	worldwide temperature means atmospheric temperature	nongold
26	cold means low in temperature	nongold
27	Earth is a kind of planet	nongold
28	when carbon dioxide in the atmosphere is absorbed by plants , the amount of carbon dioxide in the atmosphere is reduced in the atmosphere	nongold
29	atmosphere means  air	nongold
30	an increase is a kind of change	gold
31	a source of something increases the amount of that something	nongold
32	heat has a great impact on weather	nongold
33	a decrease is a kind of change	nongold
34	if the environmental temperature; air temperature is too cold then an animal; a living thing in that environment may become cold	nongold
35	to lower means to decrease	nongold
36	to reduce means to decrease	nongold
37	temperature  rise means temperature increase	nongold
38	global warming is when worldwide temperature increases	nongold
39	change is a kind of impact	nongold
40	gases released during the use of fossil fuels causes global warming	nongold
41	as the amount of a source of something decreases , the amount of that something will decrease	nongold
42	to add means to increase	nongold
43	to impact means to affect	nongold
44	a scientist is a kind of human	nongold
45	winter has cold temperatures;weather	nongold
46	heat means heat energy	nongold
47	a fossil fuel is a kind of natural resource	nongold
48	water vapor is the largest amount of greenhouse gas in the atmosphere	nongold
49	temperature is a kind of condition	nongold
50	burning is a kind of action	nongold
51	the atmosphere of a planet holds heat	nongold
52	the greenhouse effect is when carbon in the air heats a planet's atmosphere	nongold
53	cold is a kind of weather	nongold
54	weather is a property of a environment	nongold
55	weather is  a measure of the condition of the air in a place at a certain time	nongold
56	precipitation is a kind of weather	nongold
57	as the cause of something decreases , that something will decrease	nongold
58	humidity is the amount of water vapor; moisture in the air; in the atmosphere	nongold
59	high is similar to increase	gold
60	winter means environmental; outdoor temperature decreases	nongold
61	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
62	oil is a kind of fossil fuel	nongold
63	a source of something emits; produces; generates; provides that something	nongold
64	a planet is a kind of celestial object; body	nongold
65	if something emits something else then that something increases the amount of that something else	nongold
66	fire causes burning	nongold
67	heating means adding heat	nongold
68	an environment means an area	nongold
69	as atmospheric temperature increases , the amount of water vapor able to be held by the atmosphere will increase	nongold
70	An example of a change in climate is  the average amount of annual precipitation decreases	nongold
71	carbon dioxide can be found in the air	nongold
72	the atmosphere contains gases; liquids; solids	nongold
73	less is similar to decrease	nongold
74	water vapor is a kind of greenhouse gas	nongold
75	if a planet cannot hold heat then that planet will have a large range of temperatures	nongold
76	air is a part of the environment	nongold
77	greenhouse gases are a part of the atmosphere	nongold
78	carbon dioxide is more dense than air	nongold
79	as the population of plants decreases , carbon in the atmosphere will increase	nongold
80	the Earth's atmosphere is made of .036 percent carbon dioxide by volume	nongold
81	low is similar to decrease	nongold
82	In the photosynthesis process carbon dioxide; water; sunlight has the role of  raw material	nongold
83	if something is required for a process then that something positively impacts that process	nongold
84	if the component of something changed , then the whole thing will change	nongold
85	less means a reduced amount	nongold
86	a planet contains environments	nongold
87	often is similar to likely	nongold
88	fossil fuels are a nonrenewable resource	nongold
89	to give off means to be the source of	nongold
90	variable means able to change	nongold
91	a plant absorbs carbon dioxide from the air for photosynthesis	nongold
92	adding heat means increasing temperature	nongold
93	if a planet does not have an atmosphere then that planet will not hold heat	nongold
94	the Earth's atmosphere is made of 0 to 4 percent hydrogen; water vapor by volume	nongold
95	reducing is a kind of change	nongold
96	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
97	most means over 50% of something	nongold
98	average amount of precipitation is a property of climate	nongold
99	if something causes a process then that something is required for that process	nongold
