Question	Angelo wants to know if the volume of water changes when it freezes. He measures the volume of water in its liquid state and then freezes it. Which tool did Angelo most likely use to measure the volume of the water?	question
Answer	a graduated cylinder	answer
0	a graduated cylinder is used to measure volume of a liquid; of an object	gold
1	a graduated cylinder is a kind of instrument for measuring volume of liquids or objects	gold
2	a graduated cylinder is a kind of container	nongold
3	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
4	instrument means tool	gold
5	phase means state	nongold
6	water is a kind of liquid at room temperature	gold
7	freezing is a kind of phase change	nongold
8	device means tool	nongold
9	a tool is a kind of object	nongold
10	temperature is a measure of heat energy	nongold
11	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
12	liquid is a kind of state of matter	nongold
13	Matter in the gas phase has variable volume	nongold
14	Matter in the liquid phase has definite volume	nongold
15	water is a kind of substance	nongold
16	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
17	water is a kind of matter	nongold
18	Matter in the solid phase has definite volume	nongold
19	a liquid is a kind of substance	nongold
20	a rain gauge is a kind of graduated cylinder	nongold
21	solid is a kind of state of matter	nongold
22	a container contains objects; material; substances	nongold
23	temperature changing can cause volume of the object to change	nongold
24	volume has no impact on boiling; melting; freezing point	nongold
25	freezing causes a solid to form	nongold
26	frozen means solid	nongold
27	density is a measure of mass of an object over volume; divided by volume	nongold
28	gas is a kind of state of matter	nongold
29	a liquid is a kind of fluid	nongold
30	water is a kind of object	nongold
31	a container is a kind of object	nongold
32	state of matter means physical state	nongold
33	volume is a property of matter	nongold
34	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
35	particles in objects are a kind of matter	nongold
36	a device is a kind of object	nongold
37	to add means to increase	nongold
38	when water freezes , that water expands	nongold
39	instrument means device	nongold
40	physical state means state of matter	nongold
41	size; amount of space means volume	nongold
42	a living thing is a kind of object	nongold
43	to lower means to decrease	nongold
44	a simple machine is a kind of tool	nongold
45	answering questions requires information	nongold
46	an instrument is a piece of equipment	nongold
47	a measuring cup is a kind of tool for measuring the volume of substances	nongold
48	state means form	nongold
49	temperature is a measure of kinetic energy of molecules	nongold
50	an increase is a kind of change	nongold
51	material means substance	nongold
52	matter with variable volume and shape assumes; expands to fill; takes the shape and size of its entire container	nongold
53	if an object is placed in a liquid , then the  increased volume of the liquid will be equal to the volume of that object	nongold
54	variable means able to change	nongold
55	increase means more	nongold
56	heat energy can change the state of matter	nongold
57	a solid is a kind of substance	nongold
58	heat means temperature increases	nongold
59	moisture means liquid; liquid water	nongold
60	boiling means the volume of a liquid decreases	nongold
61	heat means heat energy	nongold
62	milliliters is a kind of unit for measuring volume of liquids	nongold
63	substances are made of matter	nongold
64	liters are a kind of unit for measuring volume of liquids	nongold
65	an part of an object is smaller than the entire object	nongold
66	when a flexible container is filled with a substance , then the volume of the container will be the volume of the substance	nongold
67	objects are made of materials; substances; matter	nongold
68	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
69	contents means the substance in a container	nongold
70	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
71	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
72	the function of something is what that something  is used to do	nongold
73	state of matter at room temperature is a kind of physical property	nongold
74	a machine is a kind of  device	nongold
75	to reduce means to decrease	nongold
76	high is similar to increase	nongold
77	mass is a measure of the amount of matter in an object	nongold
78	state of matter is a kind of physical property	nongold
79	an increase is the opposite of a decrease	nongold
80	property is similar to measurement	nongold
81	a meter is a kind of unit for measuring distance; measuring length	nongold
82	freezing point means temperature at which a liquid freezes; below which a liquid freezes	nongold
83	a phase change is a kind of physical change	nongold
84	freezing means cold temperatures	nongold
85	quantity means amount	nongold
86	a decrease is a kind of change	nongold
87	the volume of a liquid displaced is similar to the volume of a liquid increased	nongold
88	a particle is a kind of object	nongold
89	evaporating is a kind of phase change	nongold
90	form means kind	nongold
91	a surface is a part of a material	nongold
92	gas is a kind of substance	nongold
93	a body of water is a source of water	nongold
94	ability to undergo a phase change is a property of a substance; material	nongold
95	as state of matter changes , mass will not change	nongold
96	seconds are used to measure time	nongold
97	a surface is a part of an object	nongold
98	placing an object into a liquid causes the volume of the liquid to increase by the volume of object under the liquid	nongold
99	seconds are a kind of unit for measuring time	nongold
