Question	Data in tables may also be presented in graphs. Which type of data would best be displayed on a circle graph?	question
Answer	the percent of various materials in solid waste	answer
0	a circle graph; pie graph can be used to display percents; ratios	gold
1	a circle graph; pie graph is used to describe how part of the data is related to all of the data	nongold
2	percents; ratios are a kind of data	gold
3	a circle is a kind of shape	nongold
4	a table is a kind of object	nongold
5	a type is synonymous with a kind	gold
6	to show means to display	nongold
7	a solid is a kind of substance	nongold
8	circular means having the shape of a circle	nongold
9	most means over 50% of something	nongold
10	trash is synonymous with waste	nongold
11	a line graph is used for showing change; data over time	nongold
12	dead organisms are a kind of waste	nongold
13	moving in a circle means moving in a circular motion	nongold
14	to display means to exhibit	nongold
15	material means substance	nongold
16	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
17	answering questions requires information	nongold
18	a line graph is a kind of graph of connected data points	nongold
19	diameter is a measure of length through the center of a circle	nongold
20	form means kind	nongold
21	garbage means waste	nongold
22	a material is a kind of resource	nongold
23	processes sometimes produce waste products	nongold
24	waste has a  negative impact on the environment	nongold
25	all living things eliminate waste	nongold
26	independent variables are usually placed on the x-axis; horizontal axis of a graph	nongold
27	recycling means reusing	nongold
28	a lot means large in amount; quantity	nongold
29	data means information	nongold
30	can be means able to be	nongold
31	a graph is used for organizing quantitative information over time	nongold
32	largest amount means most	nongold
33	quantity means amount	nongold
34	level is similar to amount; quantity	nongold
35	greatest means largest; highest; most amount of something	nongold
36	a surface is a part of a material	nongold
37	variable means able to change	nongold
38	category means kind	nongold
39	concentration means amount	nongold
40	lowest means least in value; amount; number	nongold
41	if an object is made of a material then that object has the properties of that material	nongold
42	dependent variables are usually placed on the y-axis; vertical axis of a graph	nongold
43	metal is a kind of material	nongold
44	best means most positive	nongold
45	a measurement is a kind of data	nongold
46	affected means changed	nongold
47	recycling reduces; decreases the amount of waste sent to landfills	nongold
48	recording data is similar to showing data	nongold
49	system means a set of objects	nongold
50	if a human discards an object then that object will become waste	nongold
51	classifying means grouping objects; materials by their properties	nongold
52	a mineral is a kind of solid; natural material	nongold
53	human waste often causes harm to an environment	nongold
54	a tool is a kind of object	nongold
55	a surface is a part of an object	nongold
56	organizing is sorting something by their properties in order	nongold
57	a source of something emits; produces; generates; provides that something	nongold
58	using raw materials increases waste	nongold
59	recyclability is a property of a material and includes ordered values of nonrecyclable; recyclable	nongold
60	a product is a kind of object	nongold
61	an object; material; substance comes from that object or material's source	nongold
62	a desk is a kind of table	nongold
63	high is similar to increase	nongold
64	less means a reduced amount	nongold
65	a rock is usually a solid	nongold
66	area; space is a kind of resource	nongold
67	waste must be removed	nongold
68	recycling is similar to reusing	nongold
69	objects are made of materials; substances; matter	nongold
70	to add means to increase	nongold
71	to show means to present	nongold
72	amount is similar to number	nongold
73	frozen means solid	nongold
74	if something is a raw material in a process then that something is required for that process	nongold
75	high means a lot of something	nongold
76	a producer is a kind of living thing	nongold
77	size; amount of space means volume	nongold
78	a ratio is a measure of one measure over another measure; divided by another measure	nongold
79	a container contains objects; material; substances	nongold
80	humans move waste to a  landfill for disposal;storage	nongold
81	an part of an object is smaller than the entire object	nongold
82	higher means greater; above in value; amount; number	nongold
83	usually means most of the time	nongold
84	to demonstrate means to exhibit	nongold
85	to be made of is similar to collection	nongold
86	100% probability means always	nongold
87	a Punnett square is used to show; identify; calculate the percent chance of a trait being passed down from a parent to its offspring	nongold
88	a human is a kind of animal	nongold
89	measuring sometimes requires  recording; learning an amount	nongold
90	image means visual depiction of an object	nongold
91	emit means produce	nongold
92	recycling resources; nonrenewable resources has a  positive impact on the environment; conservation of those resources	nongold
93	one in  two means half; 50%	nongold
94	made up of means contains; made of	nongold
95	solid is a kind of state of matter	nongold
96	person is synonymous with human	nongold
97	a component means a part of	nongold
98	a ratio is a measure of  one value divided by another value	nongold
99	composition means the (materials, substances) of which something is composed	nongold
