Question	Living things depend on energy from	question
Answer	the Sun	answer
0	to depend on; to rely on; to need means to require	gold
1	to be dependent on something means to depend on that something	nongold
2	life means living things	gold
3	if a living thing requires something then that something has a positive impact on that living thing	nongold
4	an animal is a kind of living thing	gold
5	the sun transfers solar energy; light energy; heat energy from itself to the planets;Earth through sunlight	nongold
6	the sun is a source of light; light energy called sunlight	gold
7	needing something means depending on that something	nongold
8	to be affected by something is similar to depending on something	nongold
9	the Sun is a kind of star	nongold
10	if something causes something else then that something else depends on that something	nongold
11	living things all require energy for survival	nongold
12	a living thing is a kind of object	nongold
13	the sun is the source of solar energy called sunlight	nongold
14	the sun is the source of energy for life on Earth	gold
15	sunlight means solar energy	nongold
16	solar energy is a kind of energy	nongold
17	requiring something means needing that something	nongold
18	sunlight is a kind of solar energy	nongold
19	where something  comes from is a source of that something	nongold
20	to be used for something means to be required by that something	nongold
21	if something comes from something else then that something else is a source of that something	nongold
22	an organism is a living thing	nongold
23	requiring is similar to needing help	nongold
24	a star is a kind of celestial object; celestial body	nongold
25	solar energy is a kind of light	nongold
26	a source of something emits; produces; generates; provides that something	nongold
27	a human is a kind of animal	nongold
28	food is a source of energy for animals; plants	gold
29	if an object; something is in the sunlight then that object; that something will absorb solar energy	nongold
30	an animal is a kind of organism	nongold
31	the sun  is the source of energy for physical cycles on Earth	gold
32	if something requires something else then that something requires a source of that something else	nongold
33	an animal; living thing requires nutrients for survival	gold
34	sunlight is a kind of light	nongold
35	if something causes a process then that something is required for that process	nongold
36	living things require respiration to use energy	nongold
37	a planet is a kind of celestial object; body	nongold
38	living things eat their food source	nongold
39	solar energy is a kind of heat energy	nongold
40	living things carry out basic life functions	nongold
41	a plant is a kind of living thing	gold
42	a plant; living thing requires food for survival	nongold
43	a food contains nutrients for living things	nongold
44	the sun is a source of radiation; heat called sunlight	nongold
45	nutrients are a source of energy for living things	nongold
46	sunshine means sunlight	nongold
47	if something gains something from something else then that something else is a source of that something	nongold
48	the sun is a kind of yellow dwarf	nongold
49	a star requires energy	nongold
50	a  plant requires sunlight for photosynthesis	gold
51	a process is a kind of event	nongold
52	light is a kind of energy	nongold
53	light is a kind of energy	nongold
54	helping something has a  positive impact on that something	nongold
55	solar energy is a renewable; inexhaustible resource	nongold
56	photosynthesis is a source of; makes food; energy for the plant by converting carbon dioxide, water, and sunlight into carbohydrates	nongold
57	if something transfers something else then that something is a source of something else	nongold
58	a plant is a kind of organism	nongold
59	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
60	the sun is not a star in the night sky	nongold
61	the Sun is the  star that is closest to Earth	nongold
62	a producer is a kind of living thing	nongold
63	Earth is a kind of planet	nongold
64	a source of something increases the amount of that something	nongold
65	an event is a kind of action	nongold
66	if something requires something else then that something else is important to that something	nongold
67	to provide something means to be the source of that something	nongold
68	photosynthesis means producers; green plants convert from carbon dioxide and water and solar energy into carbohydrates and food and oxygen for themselves	nongold
69	a process usually requires all of the stages in that process	nongold
70	resources sometimes are used for energy	nongold
71	an increase is a kind of change	nongold
72	an object; material; substance comes from that object or material's source	nongold
73	all living things grow	nongold
74	to impact means to affect	nongold
75	receiving sunlight  is synonymous with absorbing sunlight	nongold
76	eating; taking in food is used to get nutrients;energy by animals; living things	gold
77	organisms are a part of an environment	nongold
78	high is similar to increase	nongold
79	if something is required for a process then that something positively impacts that process	nongold
80	a tree is a kind of living thing	nongold
81	an insect is a kind of animal	nongold
82	all living things have life cycles	nongold
83	animals; living things require water for survival	nongold
84	answering questions requires information	nongold
85	organisms mean life	nongold
86	dying is the opposite of living; surviving	nongold
87	solar radiation means solar energy	nongold
88	all cells require energy	nongold
89	a tree is a kind of plant	nongold
90	an energy source is a kind of resource	nongold
91	food is a kind of resource	nongold
92	if a living thing dies then that living thing is dead	nongold
93	the sun rising is a kind of event	nongold
94	what something needs is a property of that something	nongold
95	animals; living things live and feed in their habitats; near their habitats	nongold
96	change is a kind of impact	nongold
97	reproduction increases the number; population of a living thing	nongold
98	if something is a raw material in a process then that something is required for that process	nongold
99	the sunlight occurs during the day	nongold
