Question	Two chemicals are mixed together in a beaker that is sitting in an ice water bath. The ice in the water melts as the chemicals react for one minute. What type of reaction is taking place?	question
Answer	exothermic, in which energy is released	answer
0	beaker is a kind of container	nongold
1	an exothermic process releases heat energy; light energy	gold
2	take place means happen	nongold
3	an exothermic reaction increases the amount of heat	gold
4	a bath  is a kind of container	nongold
5	a type is synonymous with a kind	nongold
6	a beaker is used for measuring the volume of substances	nongold
7	an endothermic reaction converts heat energy into chemical energy	nongold
8	melting is a kind of endothermic reaction	nongold
9	freezing is a kind of  exothermic process	nongold
10	an endothermic reaction absorbs heat energy from its surroundings	nongold
11	an endothermic process usually requires more heat energy from its surroundings than it gives off heat	nongold
12	combining; mixing two substances chemically causes chemical reactions	gold
13	nuclear reaction is a kind of exothermic reaction	nongold
14	converting is similar to releasing	nongold
15	melting means matter; a substance changes from a solid into a liquid by increasing heat energy	gold
16	most chemical reactions release or absorb heat energy	nongold
17	to emit means to release	nongold
18	water is a kind of liquid at room temperature	nongold
19	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	gold
20	exergonic chemical reactions only release energy	nongold
21	combustion is a kind of exothermic reaction	nongold
22	a hot pack reaction is a kind of exothermic reaction	nongold
23	produce is similar to release	nongold
24	if something releases something else then that something is the source of that something else	nongold
25	sitting is a kind of action	nongold
26	ice is a kind of solid	nongold
27	freezing means matter; a substance changes from a liquid into a solid by decreasing heat energy	nongold
28	producing is similar to releasing	nongold
29	form means kind	nongold
30	an mixture is formed by two or more substances combined together physically	nongold
31	chemicals means substances	gold
32	heat is a kind of energy	gold
33	methane reacting with oxygen is a kind of exothermic reaction	nongold
34	chemical change is a kind of chemical reaction	nongold
35	chemical energy is a kind of energy	nongold
36	water is an thermal; thermal energy conductor	nongold
37	cold pack reaction is a kind of endothermic reaction	nongold
38	adding heat to an object sometimes causes chemical reactions	nongold
39	water is a kind of substance	gold
40	temperature is a measure of heat energy	nongold
41	a container contains objects; material; substances	nongold
42	if something releases something else then that something else decreases in that something	nongold
43	to add means to increase	nongold
44	heat means heat energy	nongold
45	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
46	a source of something emits; produces; generates; provides that something	nongold
47	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	gold
48	chemical reactions releasing new substances means chemical reactions forming new substances	nongold
49	a liquid is a kind of substance	nongold
50	if something is in something , then something is exposed to something	nongold
51	chemical reactions cause chemical change	nongold
52	to give off means to be the source of	nongold
53	if something transfers something else then that something is a source of something else	nongold
54	absorbing energy causes objects; materials; substances to heat	nongold
55	melting is when solids are heated above their melting point	nongold
56	a chemical reaction is a kind of process	gold
57	melting is a kind of phase change	nongold
58	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
59	a reaction is a kind of process	nongold
60	the reaction between baking soda and vinegar is a kind of endothermic reaction	nongold
61	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
62	to exhale means to release	nongold
63	being in something means touching that something	nongold
64	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
65	if something emits something else then that something increases the amount of that something else	nongold
66	respiration releases energy	nongold
67	adding heat means increasing temperature	nongold
68	breaking down fat and sugar is a kind of exothermic reaction	nongold
69	chemical reactions cause new substances; different substances to form	nongold
70	to happen means to occur	nongold
71	freezing is a kind of phase change	nongold
72	if heat is added to a substance then that substance absorbs that heat	nongold
73	a mixture is a kind of substance	nongold
74	liquid is a kind of state of matter	nongold
75	ice is a kind of food	nongold
76	a body of water contains water	nongold
77	if a material; a substance is a mixture of two or more materials or substances then that material; substance is made; is formed; contains those materials; substances	nongold
78	an environment is a kind of place	nongold
79	water is a kind of matter	nongold
80	a solid is a kind of substance	nongold
81	if something transfers energy to something else then that something else absorbs that energy	nongold
82	an event is a kind of action	nongold
83	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
84	if an object is placed in a substance; in a location that is colder then that object will cool to the same temperature of that substance; of that location	nongold
85	solid is a kind of state of matter	nongold
86	An example of a chemical property is how a material reacts chemically	nongold
87	ice is colder than water in temperature	nongold
88	chemical reaction means chemical bonds change	nongold
89	chemical energy is a kind of potential energy	nongold
90	ice is cold in temperature	nongold
91	frozen means solid	nongold
92	a container is a kind of object	nongold
93	heat means temperature increases	nongold
94	food is a kind of chemical energy	nongold
95	being  on something; placed in something; placed over something means touching  that something	nongold
96	ice is a kind of water phase	nongold
97	an increase is a kind of change	nongold
98	substances are made of matter	nongold
99	a physical reaction is a kind of process	nongold
