Question	All matter is made up of particles called	question
Answer	atoms	answer
0	atoms are made of particles	nongold
1	matter; materials; substances are made of atoms; particles	gold
2	to be made of something means to be formed of that something	nongold
3	to be made of means to consist of	nongold
4	matter is made of molecules	nongold
5	made up of means contains; made of	nongold
6	an element is made of one kind of atoms	nongold
7	composed of means made of	nongold
8	a molecule is a kind of particle	nongold
9	substances are made of matter	nongold
10	particles in objects are a kind of matter	nongold
11	the basic unit of matter is atom	nongold
12	a pure substance is made of only one kind of atom; molecule	nongold
13	an atom is the smallest particle; unit that has the properties of an element	nongold
14	atom cannot be divided into smaller substances	nongold
15	a molecule is made of atoms chemically combined; bonded	nongold
16	composition is a property of an object; matter	nongold
17	substances are made of molecules	nongold
18	an  element is a kind of atom	nongold
19	objects are made of materials; substances; matter	nongold
20	if something is made of something else then that something can be broken down into that something else	nongold
21	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
22	all elements are a kind of pure substance	nongold
23	materials are made of matter	nongold
24	substances are made of elements	nongold
25	made of is similar to contains	nongold
26	the parts of something make up that something	nongold
27	state of matter is a kind of physical property	nongold
28	composition means the (materials, substances) of which something is composed	nongold
29	an object is made of its parts	nongold
30	a chemical property is the opposite of a physical property	nongold
31	a physical property is a kind of property	nongold
32	an atom is a kind of object	nongold
33	all the other means the rest of	nongold
34	combustibility is a property of matter and includes ordered values of combustible; incombustible	nongold
35	physical state means state of matter	nongold
36	can be means able to be	nongold
37	if something is made of something; a material then that something contains that something; that material	nongold
38	state of matter means physical state	nongold
39	chemical composition is a kind of property	nongold
40	if a substance is made of one element , then the substance is called an element	nongold
41	state means form	nongold
42	a molecule is the smallest particle; unit that has the properties of a compound	nongold
43	a molecule is a kind of object	nongold
44	solid is a kind of state of matter	nongold
45	an element is a kind of  substance	nongold
46	an atom is exceptionally small in size	nongold
47	classifying means grouping objects; materials by their properties	nongold
48	if something is made of something else , then that something else will be the component of that something	nongold
49	to be a combination of means to be made of	nongold
50	liquid is a kind of state of matter	nongold
51	a particle is a kind of object	nongold
52	material composition is a kind of chemical property	nongold
53	a whole is formed by its parts	nongold
54	a  chemical property is a kind of  property	nongold
55	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
56	an atom is made of protons; neutrons; electrons	nongold
57	structure is a property of an object; a material; a substance	nongold
58	state of matter at room temperature is a kind of physical property	nongold
59	particles in a liquid are close to each other	nongold
60	to be made of is similar to collection	nongold
61	to make means to form	nongold
62	a structure of something is synonymous with a part of that something	nongold
63	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
64	a solid is a kind of substance	nongold
65	if an object is made of something then the parts of that object are made of that something	nongold
66	a molecule is exceptionally small in size	nongold
67	classifying is when one sorts something by kind; type	nongold
68	the periodic table is systematically organized according to the structure of the atoms of the elements	nongold
69	material means substance	nongold
70	make means produce	nongold
71	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
72	compressibility is a property of  matter and includes ordered values of compressible; not compressible	nongold
73	if something is insoluble in something , then they will remain separated	nongold
74	particles in a solid are closer together than particles in a liquid	nongold
75	an element is a kind of material	nongold
76	atomic number is a property of elements	nongold
77	the structure  of an atom can be used for identifying the element	nongold
78	chemical compounds contain chemical bonds between atoms; between elements	nongold
79	if something is made of something else then the formation of that something requires that something else	nongold
80	all living and nonliving materials are made of elements	nongold
81	if the outermost electron shell of an atom is full; complete , then the  element of those atoms will not react with other elements easily	nongold
82	the number in chemical formula shows the number of atoms of each element in a molecule	nongold
83	break down is the opposite of put together	nongold
84	not is similar to the opposite of	nongold
85	if something is a part of something else then that something else contains that something	nongold
86	a photon is a kind of  particles	nongold
87	gas is a kind of state of matter	nongold
88	a component of something means a part of that something	nongold
89	chemical reactions do not cause the total number of atoms to change	nongold
90	a source of something emits; produces; generates; provides that something	nongold
91	an electron is a kind of charged particle	nongold
92	electrons surround; orbit the nucleus of an atom	nongold
93	chemical bonds are formed by chemically combining elements; atoms; molecules	nongold
94	charged particles are a kind of high-energy particles	nongold
95	water is a kind of matter	nongold
96	interatomic means existing or acting between atoms	nongold
97	to be formed by is similar to being produced by	nongold
98	form means kind	nongold
99	different types of matter have different chemical properties	nongold
