Question	Earthquake waves are recorded by seismograph machines. What does an earthquake wave transmit?	question
Answer	energy	answer
0	a seismograph is used to measure the earthquake waves	nongold
1	an earthquake wave is a kind of wave	gold
2	earthquake causes seismic waves	nongold
3	a seismometer is used to measure the strength or magnitude of an earthquake	nongold
4	a seismograph is used for measuring the size of an earthquake	nongold
5	a seismograph is a kind of tool for measuring the size of an earthquake	nongold
6	all waves transfer; transmit energy from one place to another	gold
7	earthquake  is a kind of vibration  of the ground	nongold
8	an earthquake usually occurs over a period of 10 to 30 seconds	nongold
9	sound is a kind of energy	nongold
10	sound is a kind of sound energy	nongold
11	an earthquake is a kind of natural; geological event	nongold
12	a vehicle transmits something	nongold
13	electromagnetic energy is a kind of energy	nongold
14	sound waves means sound energy	nongold
15	sound wave is a kind of wave	nongold
16	a machine is a kind of  device	nongold
17	to transmit means to carry to another place	nongold
18	electromagnetic wave is a kind of  wave	nongold
19	a machine is a kind of object	nongold
20	electromagnetic energy travels as electromagnetic waves	nongold
21	sound energy is transferred by vibrational waves	nongold
22	to send means to transfer	nongold
23	sound waves transfer energy	nongold
24	sound means sound energy	nongold
25	electrical energy is a kind of energy	nongold
26	a vibration is similar to a wave	nongold
27	mechanical energy is a kind of energy	nongold
28	a wave is a kind of object	nongold
29	earthquakes are most common along tectonic plate boundaries	nongold
30	sound wave is a kind of mechanical wave	nongold
31	recording is similar to measuring	nongold
32	electromagnetic wave is not a mechanical wave	nongold
33	waves contain mechanical energy	nongold
34	transmitance is when a wave goes through; transmits through a surface and travels in the  same direction relative to the angle of incidence	nongold
35	sound wave is similar to sound	nongold
36	a source of something emits; produces; generates; provides that something	nongold
37	tectonic plates being pushed together causes earthquakes	nongold
38	if a seismograph has different readings , then the wave it measured travel differently	nongold
39	an instrument is a piece of equipment	nongold
40	emit means send out	nongold
41	vibration is a kind of motion	nongold
42	an earthquake causes the ground to shake	nongold
43	electrical signals are made of electrical energy	nongold
44	a motion is a kind of event; action	nongold
45	an image transmits visual information	nongold
46	recording data is similar to showing data	nongold
47	acoustic signal is a kind of sound wave	nongold
48	instrument means device	nongold
49	amplitude is a property of wave	nongold
50	an event is a kind of action	nongold
51	frequency is a property of a wave; a particel of light; an event	nongold
52	recording an observation sometimes requires measuring	nongold
53	an earthquake changes Earth's surface quickly	nongold
54	magnetic energy is a kind of energy	nongold
55	can be means able to be	nongold
56	a wave is formed by the vibration of the source spreading around from the source	nongold
57	vibrations are a source of sound	nongold
58	instrument means tool	nongold
59	the refraction of seismic wave can be  used to interpret  the interior of structure of earth	nongold
60	radio wave is a kind of electromagnetic wave	nongold
61	a measurement is a kind of data	nongold
62	measuring sometimes requires  recording; learning an amount	nongold
63	heat is a kind of energy	nongold
64	intense means high in intensity	nongold
65	the function of something is what that something  is used to do	nongold
66	a simple machine is a kind of tool	nongold
67	electricity means electrical energy	nongold
68	wavelength is a property of wave	nongold
69	if something generates energy for something else then that something powers that something else	nongold
70	a complex machine is made of more than one simple machine	nongold
71	events occur at a specific place; at a specific time; with a specific frequency	nongold
72	emit means produce	nongold
73	a device is a kind of object	nongold
74	a landform is a kind of object	nongold
75	high-frequency sound waves have low; short wavelengths	nongold
76	a human is a kind of animal	nongold
77	form means kind	nongold
78	electromagnetic waves can be  used to transmit information  through space	nongold
79	answering questions requires information	nongold
80	electrical impulses are a kind of electrical energy	nongold
81	an object; material; substance comes from that object or material's source	nongold
82	sound is produced when mechanical energy is transformed into sound energy	nongold
83	if something is passed down to something else then that something else receives that something	nongold
84	waves travel outward from the source	nongold
85	to be a source of something means to cause that something	nongold
86	a tool is a kind of object	nongold
87	receive means get	nongold
88	sound waves spread in all directions away from their source	nongold
89	refraction is when a wave goes through; transmits through; passes through a surface; a material; an object and travels in a different direction relative to the angle of incidence	nongold
90	to happen means to occur	nongold
91	volume; sound intensity is a property of sound; sound energy and includes ordered values of quiet; normal; loud	nongold
92	electromagnetic radiation means electromagnetic energy	nongold
93	a tectonic plate is a kind of object	nongold
94	affected means changed	nongold
95	resources sometimes are used for energy	nongold
96	mechanical force is a kind of mechanical energy	nongold
97	if something transfers something else then that something is a source of something else	nongold
98	media; medium means the material something travel through	nongold
99	data means information	nongold
