Question	What is a worldwide increase in temperature called?	question
Answer	global warming	answer
0	global warming is when worldwide temperature increases	gold
1	heat means temperature increases	nongold
2	to add means to increase	nongold
3	an increase is a kind of change	nongold
4	worldwide temperature means atmospheric temperature	nongold
5	temperature is a measure of heat energy	nongold
6	a decrease is a kind of change	nongold
7	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
8	heat means heat energy	nongold
9	a change is a kind of event	nongold
10	high is similar to increase	nongold
11	an increase is the opposite of a decrease	nongold
12	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
13	if something emits something else then that something increases the amount of that something else	nongold
14	a source of something increases the amount of that something	nongold
15	adding heat means increasing temperature	nongold
16	warmer means greater; higher in temperature; warmth	nongold
17	an event is a kind of action	nongold
18	temperature is a property of weather	nongold
19	heating means adding heat	nongold
20	a process is a kind of event	nongold
21	warm means medium heat energy; temperature	nongold
22	global warming is a kind of environmental problem	nongold
23	increase means more	nongold
24	a climate is synonymous with an environment	nongold
25	something that happens is a kind of event	nongold
26	temperature  rise means temperature increase	nongold
27	hot means high in heat energy; temperature	nongold
28	answering questions requires information	nongold
29	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
30	cooling means temperature decreases	nongold
31	warm means warm temperature	nongold
32	variable means able to change	nongold
33	cold means low in temperature	nongold
34	a source of something emits; produces; generates; provides that something	nongold
35	low is similar to decrease	nongold
36	affected means changed	nongold
37	to lower means to decrease	nongold
38	to change means to cause a change	nongold
39	change is a kind of process	nongold
40	events occur at a specific place; at a specific time; with a specific frequency	nongold
41	as temperature during the day increases , the temperature in an environment will increase	nongold
42	temperature changing can cause phase changes	nongold
43	change is a kind of impact	nongold
44	action can cause change	nongold
45	to reduce means to decrease	nongold
46	amount of water in a body of water increases by storms; rain; glaciers melting; snow melting; ice melting	nongold
47	annual means once per year	nongold
48	water is a kind of liquid at room temperature	nongold
49	season is a major yearly temperature change	nongold
50	to impact means to affect	nongold
51	if something releases something else then that something is the source of that something else	nongold
52	impact means effect	nongold
53	to change means to have an effect	nongold
54	as the amount of a source of something decreases , the amount of that something will decrease	nongold
55	a part of a process means a stage in a process	nongold
56	warm; becoming warm means heat is added	nongold
57	temperature rise means become warmer	nongold
58	greenhouse gases building up can cause global warming	nongold
59	if something releases something else then that something else decreases in that something	nongold
60	a factor impacts something	nongold
61	winter means environmental; outdoor temperature decreases	nongold
62	if something causes an increase in something else then that something produces that something else	nongold
63	adding something is a kind of change	nongold
64	Earth is a kind of planet	nongold
65	water is in the liquid state , called liquid water , for temperatures between 273; 32; 0 and 373; 212; 100 K; F; C	nongold
66	too much is similar to increase	nongold
67	warm up means increase temperature	nongold
68	less is similar to decrease	nongold
69	water is in the solid state , called ice , for temperatures between 0; -459; -273 and 273; 32; 0 K; F; C	nongold
70	to be a source of something means to cause that something	nongold
71	as the cause of something decreases , that something will decrease	nongold
72	to happen means to occur	nongold
73	gases released during the use of fossil fuels causes global warming	nongold
74	extreme means very high in value	nongold
75	to cause an event is similar to being involved in that event	nongold
76	to cause means to have an effect	nongold
77	increasing is a kind of order	nongold
78	colder; cooler means lower in temperature	nongold
79	if something causes a process then that something is required for that process	nongold
80	as the altitude increases ,  the temperature of the air will increase in the stratosphere	nongold
81	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
82	melting is a kind of phase change	nongold
83	can be means able to be	nongold
84	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
85	heat has a great impact on weather	nongold
86	evaporating is a kind of phase change	nongold
87	phase means state	nongold
88	as altitude increases , the temperature of the air will decrease in the troposphere	nongold
89	if an event occurs by adding something then that event requires that something	nongold
90	climate is the usual kind of weather in a location over a period of time	nongold
91	little is similar to decrease	nongold
92	winter has cold temperatures;weather	nongold
93	freezing is a kind of phase change	nongold
94	an object moving from a cool place to a warm place causes the object's temperature to increase	nongold
95	An example of a change in climate is  the average amount of annual precipitation decreases	nongold
96	the freezing point of water; melting point of water is 32F; 0C; 273K	nongold
97	greater means higher; more in value	nongold
98	ocean temperatures change slowly	nongold
99	deplete is similar to decrease	nongold
