Question	Which of the following describes how a microwave oven heats food?	question
Answer	Water molecules in the food absorb the energy of microwave radiation.	answer
0	microwave radiation is used for heating food by microwaves by heating water molecules in the food	gold
1	a molecule is a kind of particle	nongold
2	absorbing energy causes objects; materials; substances to heat	gold
3	a molecule is made of atoms chemically combined; bonded	nongold
4	an oven is a source of heat	nongold
5	water is an thermal; thermal energy conductor	nongold
6	a microwave cooks food faster than an oven does	nongold
7	substances are made of molecules	nongold
8	electromagnetic radiation means electromagnetic energy	nongold
9	matter; materials; substances are made of atoms; particles	nongold
10	microwave is a kind of electromagnetic wave	nongold
11	radiation is when electromagnetic waves transfers heat and light energy	nongold
12	if something transfers energy to something else then that something else absorbs that energy	nongold
13	absorbing sunlight causes objects to heat	nongold
14	matter is made of molecules	nongold
15	radiation is when heat is transferred through waves; particles	nongold
16	water is a kind of liquid at room temperature	nongold
17	water absorbs light energy	nongold
18	if heat is added to a substance then that substance absorbs that heat	nongold
19	water is a kind of substance	gold
20	heat means heat energy	nongold
21	light is a kind of electromagnetic radiation	nongold
22	molecules; atoms are constantly; always moving; vibrating in substance;matter	nongold
23	temperature is a measure of heat energy	nongold
24	thermal energy is a kind of energy	nongold
25	a molecule is a kind of object	nongold
26	heat is a kind of energy	nongold
27	water is a kind of matter	nongold
28	to receive sunlight means to absorb sunlight	nongold
29	electromagnetic energy is a kind of energy	nongold
30	an atom is a kind of object	nongold
31	metal is a thermal; thermal energy conductor	nongold
32	a stove is used for cooking by generating heat	nongold
33	a stove generates heat for cooking usually	nongold
34	a source of heat can be used to heat something	nongold
35	a source of heat can be used to heat something	nongold
36	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
37	atoms are made of particles	nongold
38	to add means to increase	nongold
39	an oven is a kind of electrical device	nongold
40	heating elements are usually a part of an oven	nongold
41	heating means adding heat	nongold
42	most chemical reactions release or absorb heat energy	nongold
43	heat energy is synonymous with thermal energy	nongold
44	substances are made of matter	nongold
45	a molecule of water is made of 2 hydrogen atoms and 1 oxygen atom	nongold
46	the properties of something are used for describing that something	nongold
47	baking is when a human makes food by adding heat	nongold
48	to give off means to be the source of	nongold
49	a pure substance is made of only one kind of atom; molecule	nongold
50	thermal conduction is when materials conduct heat through those materials through collision of particles	nongold
51	a source of something emits; produces; generates; provides that something	nongold
52	materials are made of matter	nongold
53	microwave is a part of the electromagnetic spectrum	nongold
54	a particle is a kind of object	nongold
55	adding heat means increasing temperature	nongold
56	receiving sunlight  is synonymous with absorbing sunlight	nongold
57	if something transfers something else then that something is a source of something else	nongold
58	objects are made of materials; substances; matter	nongold
59	a thermal conductor is made of materials that conduct thermal energy	nongold
60	food is a kind of chemical energy	nongold
61	food is a kind of substance	nongold
62	water is a kind of compound	nongold
63	a molecule is exceptionally small in size	nongold
64	a molecule is the smallest particle; unit that has the properties of a compound	nongold
65	an atom is the smallest particle; unit that has the properties of an element	nongold
66	radiation is a kind of process	nongold
67	conductivity is a property of a material; substance	nongold
68	if an object is made of a material then that object has the properties of that material	nongold
69	if a thermal conductor; an object is exposed to a source of heat then that conductor; that object may become hot; warm	nongold
70	temperature is a measure of kinetic energy of molecules	nongold
71	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
72	heat means the transfer of thermal energy	nongold
73	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
74	light is a kind of energy	nongold
75	light is a kind of energy	nongold
76	baking is similar to cooking	nongold
77	particles in objects are a kind of matter	nongold
78	an electric stove changes electrical energy into heat energy	nongold
79	using a raw material sometimes requires absorbing that raw material	nongold
80	living things are made of organic molecules	nongold
81	water is a kind of object	nongold
82	water is in the gas state , called water vapor; steam , for temperatures between 373; 212; 100 and 100000000000 K; F; C	nongold
83	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
84	a hot; warm something is a source of heat	nongold
85	light energy can be used to heat up  an object by radiation	nongold
86	In a chemical reaction reactants have the role of molecules; substances that chemically combine	nongold
87	liquid is a kind of state of matter	nongold
88	cooking food requires adding heat energy to the food	nongold
89	water is a kind of water phase	nongold
90	radiation means radiant energy	nongold
91	solar energy is a kind of heat energy	nongold
92	an insulator is a kind of material	nongold
93	heat means temperature increases	nongold
94	sunlight produces heat	nongold
95	absorption is a kind of event	nongold
96	a heating element converts electrical energy; electricity into heat energy for heating	nongold
97	a thermal energy conductor transfers heat from warmer objects; hotter objects to cooler objects	nongold
98	material means substance	nongold
99	if food is cooked then heat energy is added to that food	nongold
