Question	Which unit is used to indicate the amount of energy in food?	question
Answer	calorie	answer
0	calories ( cal ) are a  metric unit used for measuring the amount of energy in food generally used for values between 1.0 and 10000.0	gold
1	food is a source of energy for animals; plants	nongold
2	quantity means amount	nongold
3	food is a kind of substance	nongold
4	nutrients are a source of energy for living things	nongold
5	food is a kind of chemical energy	nongold
6	a food contains nutrients for living things	nongold
7	a source of something increases the amount of that something	nongold
8	seconds are a kind of unit for measuring time	nongold
9	eating; taking in food is used to get nutrients;energy by animals; living things	nongold
10	heat is a kind of energy	nongold
11	increase means more	nongold
12	resources sometimes are used for energy	nongold
13	food is a kind of object	nongold
14	a source of something emits; produces; generates; provides that something	nongold
15	nutrients are a kind of substance	nongold
16	consumption means use	nongold
17	eating something decreases the amount of that something	nongold
18	nutrients are a kind of matter	nongold
19	answering questions requires information	nongold
20	to depend on; to rely on; to need means to require	nongold
21	seconds are used to measure time	nongold
22	to be used for something means to be required by that something	nongold
23	a human is a kind of animal	nongold
24	chemical energy is a kind of energy	nongold
25	food is what an animal eats	nongold
26	when one kind of energy changes into another kind of energy , the total amount of energy is constant	nongold
27	an animal needs to eat food for nutrients	nongold
28	temperature is a measure of heat energy	nongold
29	to add means to increase	nongold
30	high is similar to increase	nongold
31	food is a kind of resource	nongold
32	minutes are a kind of unit for measuring time	nongold
33	amount is similar to number	nongold
34	a meter is a kind of unit for measuring distance; measuring length	nongold
35	food contains carbohydrates	nongold
36	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
37	an increase is the opposite of a decrease	nongold
38	if something emits something else then that something increases the amount of that something else	nongold
39	hours are a kind of unit for measuring time	nongold
40	heat means heat energy	nongold
41	indication is similar to a piece of information	nongold
42	less means a reduced amount	nongold
43	to eat means to consume food	nongold
44	seconds ( s; sec ) are a  metric unit used for measuring time generally used for values between 1.0 and 300.0	nongold
45	less is similar to decrease	nongold
46	a lot means large in amount; quantity	nongold
47	an animal is a kind of living thing	nongold
48	the function of something is what that something  is used to do	nongold
49	unit is similar to part	nongold
50	an animal is a kind of organism	nongold
51	a living thing is a kind of object	nongold
52	if the amount of; quantity of something stops decreasing then the amount of; quantity of that something may  increase	nongold
53	particles in objects are a kind of matter	nongold
54	living things all require energy for survival	nongold
55	period is similar to amount of time	nongold
56	if something causes an increase in something else then that something produces that something else	nongold
57	an organism is a living thing	nongold
58	a plant; living thing requires food for survival	nongold
59	if an object; a substance makes something then that object; that substance is a source of that thing	nongold
60	requiring something means needing that something	nongold
61	material means substance	nongold
62	can be means able to be	nongold
63	an event is a kind of action	nongold
64	a component of something means a part of that something	nongold
65	variable means able to change	nongold
66	a nutrient is a kind of object	nongold
67	if something requires something else then that something requires a source of that something else	nongold
68	if an animal consumes more calories than needed for daily activities then that animal will gain weight	nongold
69	if something generates energy for something else then that something powers that something else	nongold
70	greatest means largest; highest; most amount of something	nongold
71	a supply of something is a source of that something	nongold
72	to give off means to be the source of	nongold
73	if something causes a process then that something is required for that process	nongold
74	if something is given off of something , then something is the product of something	nongold
75	diet means what an animal eats	nongold
76	an increase is a kind of change	nongold
77	a unit for measuring time is a kind of time interval	nongold
78	different substances usually have different amount of chemical energy	nongold
79	a component means a part of	nongold
80	concentration means amount	nongold
81	faster means increased rate	nongold
82	taking in something means receiving; absorbing; getting something	nongold
83	most means over 50% of something	nongold
84	a ratio is a measure of one measure over another measure; divided by another measure	nongold
85	meters ( m ) are a  metric; SI unit used for measuring length; distance generally used for values between 1.0 and 1000.0	nongold
86	nutrients are a kind of material	nongold
87	less is the opposite of more	nongold
88	faster means an increase; higher in speed	nongold
89	an animal requires energy to move	nongold
90	nutrients are a kind of resource	nongold
91	if an event occurs by adding something then that event requires that something	nongold
92	rate is similar to speed	nongold
93	nutrients are simpler than food	nongold
94	a type is synonymous with a kind	nongold
95	to give is similar to to cause	nongold
96	light is a kind of energy	nongold
97	light is a kind of energy	nongold
98	an animal; living thing requires nutrients for survival	nongold
99	glucose is a kind of substance	nongold
