Question	An engineer must calculate the potential energy of a roller coaster car at the top of an incline. Which information would best help the engineer determine the potential energy of the car?	question
Answer	the mass of the roller coaster car at full capacity	answer
0	if an object is at rest at the top of an incline then that object's mechanical energy is all potential	nongold
1	a roller coaster  is a kind of  object	nongold
2	potential energy is a kind of energy	nongold
3	calculation means measurement	nongold
4	a hill is a kind of incline	nongold
5	to measure means to calculate	nongold
6	potential energy means stored energy	nongold
7	determining often requires measuring; observing	nongold
8	as the mass of an object increases , the potential energy of that object will increase	gold
9	potential energy is a measure of the energy of an object due to position relative to other objects	nongold
10	a car is a kind of object	gold
11	calculating speed requires knowing distance travelled	nongold
12	moving changes potential energy; stored energy into kinetic energy and heat energy	nongold
13	a car is a kind of vehicle	nongold
14	timing; multiplying is a kind of calculating	nongold
15	answering questions requires information	nongold
16	helping means something can be done; completed more easily; better	nongold
17	calculating is similar to estimating	nongold
18	gravitational potential energy is a kind of potential energy	nongold
19	helping something has a  positive impact on that something	nongold
20	potential is a kind of ability	nongold
21	mass is a kind of information	nongold
22	a vehicle is a kind of object	nongold
23	data means information	nongold
24	as an object moves down , potential energy will decrease	nongold
25	to be used  for something means to help to do that something	nongold
26	best means most positive	nongold
27	motion; movement means moving; to move	nongold
28	mechanical energy of a system includes the sum of kinetic energy and potential energy  in the system	nongold
29	the bottom is the lowest part of something	nongold
30	to help; to benefit means to be of use	nongold
31	changes potential energy into kinetic energy through motion	nongold
32	helping means to assist in a change	nongold
33	as kinetic energy increases , the potential energy will decrease	nongold
34	if a property affects a value then that property is needed to calculate that value	nongold
35	as the altitude of an object increases ,  the  potential energy of the object  will increase	nongold
36	an increase is the opposite of a decrease	nongold
37	high is similar to increase	nongold
38	must have means require	nongold
39	mechanical energy is a kind of energy	nongold
40	an increase is a kind of change	nongold
41	location is a kind of information	nongold
42	at the top of a place means at the highest point of the place	nongold
43	identifying is similar to determining	nongold
44	the ground is at the bottom of an area	nongold
45	lowering is a kind of motion	nongold
46	stopping a moving object changes kinetic energy into potential energy	nongold
47	mass; weight is a property of matter; objects; materials	nongold
48	to lift means to move up	nongold
49	speed is a measure of how fast an object is moving	nongold
50	inclined means sloping	nongold
51	to add means to increase	nongold
52	motion is a source of kinetic energy in an object	nongold
53	amount is a property of something and includes ordered  values of none; least; little; some; half; much; many; most; all	nongold
54	kinetic energy is a kind of mechanical energy	nongold
55	below means lower down	nongold
56	speed is a measure of distance travelled by an object over time; divided by time; per unit of time	nongold
57	to travel up means to rise	nongold
58	downhill means down	nongold
59	a climber is a kind of human	nongold
60	can be means able to be	nongold
61	gravitational potential energy is a measure of the product of weight and height	nongold
62	increase means more	nongold
63	low means down	nongold
64	density is a measure of mass of an object over volume; divided by volume	nongold
65	wheels are a part of a car	nongold
66	to enable is to help	nongold
67	variable means able to change	nongold
68	a machine is a kind of object	nongold
69	getting information sometimes requires observing; observation	nongold
70	building something often requires measuring the materials	nongold
71	distance moved; distance travelled is a measure of how far an object moves	nongold
72	determining is similar to controlling	nongold
73	requiring is similar to needing help	nongold
74	as an object is moving down , the speed of the object  will increase	nongold
75	determining the type of an organism requires having information about that organism	nongold
76	to be used for something means to be required by that something	nongold
77	An example of mechanical energy is an object in motion	nongold
78	mass is a property of objects; matter	nongold
79	mass is a measure of the amount of matter in an object	nongold
80	greatest means largest; highest; most amount of something	nongold
81	a vehicle is a kind of tool for travel; transport	nongold
82	An example of an object with kinetic energy is an object in motion	nongold
83	level is similar to amount; quantity	nongold
84	affected means changed	nongold
85	extreme means very high in value	nongold
86	motion is when moves an object; something to a direction	nongold
87	as the mass of an object increases , the force of gravity on that object will increase	nongold
88	knowing the properties of something means knowing information about that something	nongold
89	temperature is a measure of heat energy	nongold
90	massive means great in mass	nongold
91	height is a measure of length from the top of an object to the bottom of an object	nongold
92	to help means to aid	nongold
93	low means low in elevation; height; altitude	nongold
94	information is used to describe something	nongold
95	greater means higher; more in value	nongold
96	a decrease is a kind of change	nongold
97	to be helpful means to help to do	nongold
98	a source of something emits; produces; generates; provides that something	nongold
99	a property is a kind of information	nongold
