Question	The temperature in a hot star is high enough to pull electrons away from atoms. What state of matter results from this process?	question
Answer	plasma	answer
0	plasma is formed by electrons separating from atoms in stars	gold
1	plasma is a kind of state of matter	gold
2	hot means high in heat energy; temperature	nongold
3	to cause means to result in	nongold
4	a star is very hot in temperature	gold
5	temperature is a measure of heat energy	nongold
6	pulling is a kind of motion	nongold
7	an atom is made of protons; neutrons; electrons	nongold
8	matter; materials; substances are made of atoms; particles	nongold
9	pulling away is similar to separating	gold
10	state of matter means physical state	nongold
11	heat means temperature increases	nongold
12	an electron is a kind of charged particle	nongold
13	liquid is a kind of state of matter	nongold
14	physical state means state of matter	nongold
15	gas is a kind of state of matter	nongold
16	heat means heat energy	nongold
17	a molecule is a kind of particle	nongold
18	to produce means to result in	nongold
19	cold means low in temperature	nongold
20	high is similar to increase	nongold
21	a pull is a kind of force	nongold
22	a hot; warm something is a source of heat	nongold
23	heat energy can change the state of matter	nongold
24	state of matter is a kind of physical property	nongold
25	adding heat means increasing temperature	nongold
26	atoms are made of particles	nongold
27	temperature; heat energy is a property of objects; weather and includes ordered values of cold; cool; warm; hot	nongold
28	a star is a source of light; light energy through nuclear reactions	nongold
29	to move away means to increase distance	nongold
30	low is similar to decrease	nongold
31	pull is similar to attract	nongold
32	boiling;evaporation means matter; a substance changes from a liquid into a gas by increasing heat energy	nongold
33	state of matter at room temperature is a kind of physical property	nongold
34	temperature  rise means temperature increase	nongold
35	a star produces light and heat	nongold
36	a hot substance is a source of heat	nongold
37	formation of a state of matter is a kind of process	gold
38	solid is a kind of state of matter	nongold
39	electrons surround; orbit the nucleus of an atom	nongold
40	heating means adding heat	nongold
41	a pure substance is made of only one kind of atom; molecule	nongold
42	to lower means to decrease	nongold
43	away is a kind of direction	nongold
44	a star is made of gases	nongold
45	electrons are found farthest from the center of the atom	nongold
46	an  element is a kind of atom	nongold
47	a phase change is when matter; a substance changes from one state of matter into another state of matter	nongold
48	cooling means temperature decreases	nongold
49	an element is made of one kind of atoms	nongold
50	if an object; a substance; a location absorbs solar energy then that object; that substance will increase in temperature	nongold
51	matter is made of molecules	nongold
52	stars are some of the hottest objects	nongold
53	change is a kind of process	nongold
54	to add means to increase	nongold
55	low is the opposite of high	nongold
56	warm up means increase temperature	nongold
57	state of matter is a property of matter and includes ordered values of solid; liquid; gas	nongold
58	toward is the opposite of away	nongold
59	a star is a kind of celestial object; celestial body	nongold
60	moving away from the source increases the distance	nongold
61	a molecule is made of atoms chemically combined; bonded	nongold
62	producing is a kind of process	nongold
63	heating is the opposite of cooling	nongold
64	if a star runs out of hydrogen , it becomes hotter; more luminous	nongold
65	an ion with negative charge is formed by atom  gaining electrons	nongold
66	cooling is a kind of process	nongold
67	substances are made of matter	nongold
68	an atom is the smallest particle; unit that has the properties of an element	nongold
69	cooling;colder means removing;reducing;decreasing heat;temperature	nongold
70	if something absorbs; requires more heat than it gives off in an reaction , then something will be cold in temperature	nongold
71	a source of something emits; produces; generates; provides that something	nongold
72	radiation is a kind of process	nongold
73	warmer means greater; higher in temperature; warmth	nongold
74	colder; cooler means lower in temperature	nongold
75	boiling point is the highest temperature a liquid can reach	nongold
76	an atom is a kind of object	nongold
77	repel means move away	nongold
78	low means down	nongold
79	a part of a process means a stage in a process	nongold
80	to be formed by is to be the result of	nongold
81	blue stars have the hottest temperature	nongold
82	heat means the transfer of thermal energy	nongold
83	an increase is a kind of change	nongold
84	higher means greater; above in value; amount; number	nongold
85	state means form	nongold
86	boiling is when liquids are heated above their boiling point	nongold
87	extreme means very high in value	nongold
88	hydrogen is a kind of gas at room temperature	nongold
89	as heat is transferred from something to something else , the temperature of that something will decrease	nongold
90	a state is a kind of place	nongold
91	an ion with positive charge is formed by atom  losing electrons	nongold
92	water is a kind of liquid at room temperature	nongold
93	a physical reaction is a kind of process	nongold
94	a process is a kind of event	nongold
95	hot is the opposite of  cold	nongold
96	a reaction is a kind of process	nongold
97	condensing is when gasses are  cooled below their boiling point	nongold
98	greater means higher; more in value	nongold
99	increase means more	nongold
