Question	Most types of cacti survive the dry conditions of a desert because they hold water in their stems. This is an example of	question
Answer	an adaptation.	answer
0	an adaptation; an ability has a positive impact on an animal's; living thing's survival; health; ability to reproduce	gold
1	dry means low in amount of water; wetness; moisture	gold
2	a desert environment is dry	nongold
3	drying means amount of water; amount of liquid; wetness decreases	nongold
4	a desert is a kind of environment	gold
5	a dry environment is low in availability of water	nongold
6	a desert environment is low in availability of water; availability of food	nongold
7	a cactus stem is used for storing water	gold
8	a desert environment receives low rainfall	gold
9	a cactus lives in the desert	nongold
10	a cactus stores water	gold
11	many desert animals want the water stored inside a cactus	nongold
12	a type is synonymous with a kind	nongold
13	a plants; living things require water for survival; to grow	gold
14	storing water is a kind of adaptation	gold
15	a desert environment usually has a lot of sunlight	nongold
16	a cactus is a kind of plant	gold
17	moist means high in moisture	nongold
18	a forest environment receives more rainfall than a desert	nongold
19	wet is the opposite of dry	nongold
20	adaptations are used for survival	gold
21	adapting is when a living thing responds to a change in an environment	nongold
22	an adaptation is a kind of change	nongold
23	changes in an environment cause animals; plants to adapt to survive	nongold
24	a desert environment usually is hot in temperature	nongold
25	storing water increases the water available to organisms in a dry environment	gold
26	a desert is a kind of land feature	nongold
27	a plant; living thing requires food for survival	nongold
28	to store means to hold	gold
29	an adaptation is an adaptive feature	nongold
30	a stem is used to store water by some plants	nongold
31	an adaptation is a kind of characteristic	nongold
32	as dryness increases in an environment , the available water in that environment will decrease	nongold
33	a grassland environment receives more rainfall than a desert	nongold
34	animals; living things require water for survival	nongold
35	a kind of something is an example of that something	nongold
36	if water vapor is limited to reach a location , then that location    will be dry	nongold
37	moisture means liquid; liquid water	nongold
38	plants absorb nutrients; water; oxygen from soil into themselves through their roots	nongold
39	if a plant; crop requires less water then that plant; crop will survive in a drought	nongold
40	an environment means an area	gold
41	An example of an environment is a forest; a river; a grassland; an ocean	nongold
42	a plant is a kind of living thing	nongold
43	an animal; living thing requires nutrients for survival	nongold
44	a stem is often a part of plant	nongold
45	water is a part of an environment	nongold
46	animals adapt to their environment	nongold
47	to lower means to decrease	gold
48	to depend on; to rely on; to need means to require	nongold
49	condition is a property of an environment	nongold
50	moist means humid	nongold
51	an adaptation  is  a change in a population over successive generations that  helps  individuals organisms in that population to  survive; reproduce	nongold
52	to reduce means to decrease	nongold
53	adapt is similar to evolve	nongold
54	Antarctica is a kind of desert	nongold
55	a type of something is a kind of property of that something	nongold
56	an increase is the opposite of a decrease	gold
57	precipitation is when water falls from the sky	nongold
58	adaptation is when an organism develops a trait over time for survival	nongold
59	rainfall means precipitation	nongold
60	as the amount of rainfall increases in an area , the amount of available water in that area will increase	gold
61	vegetation means plants	nongold
62	containing something is similar to holding something	nongold
63	if a living thing requires something then that something has a positive impact on that living thing	nongold
64	plants are a part of the environment	nongold
65	a plant requires water to grow	nongold
66	a plant is a kind of organism	gold
67	living in an environment causes an organism to adapt to that environment	nongold
68	dry conditions can cause fire	nongold
69	high is similar to increase	nongold
70	well-suited is similar to adapted	nongold
71	a plant requires a specific climate to grow and survive	nongold
72	a plant requires soil for survival; to grow	nongold
73	most means over 50% of something	nongold
74	containing is similar to holding	nongold
75	a vine is a kind of stem	nongold
76	an animal is a kind of living thing	nongold
77	temperature is a kind of condition	nongold
78	water is a kind of natural resource	nongold
79	water is a kind of natural resource	nongold
80	increase means more	nongold
81	drying up means losing all water	nongold
82	surroundings means environment	nongold
83	a leaf performs photosynthesis; gas exchange	nongold
84	a wet object is a source of water	nongold
85	an instinctive behavior is a kind of inherited characteristic; behavioral adaptation	nongold
86	water is a kind of substance	nongold
87	drier means lower in amount of water; wetness; moisture	nongold
88	a living thing is a kind of object	nongold
89	if an organism can live in an environment then that organism can withstand the conditions of that environment	nongold
90	roots hold soil in place	nongold
91	heat means heat energy	nongold
92	an environment is similar to an ecosystem	nongold
93	survive means live	nongold
94	survive means live	nongold
95	organism requires liquid water to survive	nongold
96	low is similar to decrease	nongold
97	a plant; living thing requires nutrients to grow	nongold
98	a plant stem is the vehicle for transporting water and food from roots to the rest of the plant	nongold
99	temperature is a measure of heat energy	nongold
